Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stilostomella subspinosa,Pullenia coryelli,Oridorsalis umbonatus,Heterolepa grimsdalei,Globocassidulina subglobosa (small form),Globocassidulina subglobosa (large form),Cibicidoides praemundulus,Cibicidoides havanensis,Bolivinopsis gryzbowski,Vulvulina spinosa,Stilostomella nuttalli,Pullenia bulloides,Praebulimina sp.,Nuttallides umbonifera,Gyroidinoides planulatus,Gyroidinoides girardanus,Pullenia subcylindrica,Lenticulina vortex,Sphaeroidina bulloides,Chrysalogonium equisetiformis,Anomalinoides semicribratus (poreless),Stilostomella gracillima,Pleurostomella sp.,Stilostomella insecta,Pullenia quinqueloba,Planulina renzi,Oridorsalis umbonatus (smooth margin),Oridorsalis umbonatus  (scallopped margin),Globocassidulina subglobosa (medium size),Cibicidoides kullenbergi,Anomalinoides semicribratus,Stilostomella lepidula,Nodosariid (large fragments),Gyroidinoides neosoldanii,Favocassidulina favus,Pleurostomella alternans,Epistominella exigua,Eggerella bradyi,Melonis pacificus,Cibicides wuellerstorfi,Melonis pompilioides,Melonis affinis,Laticarinina pauperata,Bolivinopsis praelonga,Pyrgo murrhina,Pleurostomella subcylindrica,Lagenid taxa,Pleurostomella brevis,Nodosaria stiliformis,Miliolid taxa,Lenticulina sp.,Discanomalina semipunctata,Nodosaria tholigera,Ehrenbergina trigona,Cibicidoides bradyi,Dentalina communis,Triloculina lucernula,Textularia cf. T. flintii,Karreriella bradyi,Siphotextularia catenata,Uvigerina interruptacostata,Uvigerina hispidocostata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,115, 710,A,  1,H,CC,  14.00,      9.4600,Boersma  ,Benthic Foraminifers                         ,               ,VG                ,                        ,                 ,                     ,                     ,                                        ,F                                       ,                         ,                       ,                       ,                 ,                      ,+                 ,                ,+                     ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,F/C                                  ,                                          ,R                                        ,                        ,                           ,                      ,R                           ,+                        ,R                    ,                        ,                    ,+               ,                 ,+                      ,R                   ,               ,                      ,                      ,R             ,                            ,T           ,                     ,                     ,R            ,               ,                          ,                   ,                    ,                   ,                  ,                     ,                         ,+                 ,                        ,F                          ,T                       ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,115, 710,A,  2,H, 1, 120.00,     10.7000,Boersma  ,Benthic Foraminifers                         ,               ,M                 ,                        ,                 ,                     ,                     ,R                                       ,R                                       ,                         ,                       ,                       ,                 ,                      ,F                 ,                ,T                     ,T                       ,                        ,                      ,                  ,+                     ,                             ,                                      ,                        ,                  ,                     ,                    ,               ,F                                    ,T                                         ,R                                        ,                        ,+                          ,                      ,                            ,T                        ,+                    ,T                       ,                    ,+               ,                 ,+                      ,R                   ,+              ,                      ,                      ,              ,                            ,R           ,                     ,                     ,F            ,T              ,                          ,                   ,                    ,                   ,                  ,+                    ,T                        ,                  ,R                       ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,                  ,              ,115, 710,A,  2,H, 5, 120.00,     16.7000,Boersma  ,Benthic Foraminifers                         ,               ,M                 ,                        ,                 ,                     ,                     ,+                                       ,                                        ,                         ,                       ,                       ,                 ,                      ,+                 ,                ,                      ,                        ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,+                   ,               ,R                                    ,T                                         ,                                         ,+                       ,                           ,                      ,                            ,                         ,T                    ,                        ,F                   ,F               ,                 ,                       ,F/C                 ,+              ,+                     ,                      ,+             ,                            ,F/C         ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,                  ,+                    ,T                        ,T                 ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pliocene   ,                 ,                  ,              ,115, 710,A,  3,H, 1, 120.00,     20.4000,Boersma  ,Benthic Foraminifers                         ,               ,VP                ,                        ,                 ,                     ,                     ,+                                       ,                                        ,                         ,                       ,                       ,                 ,                      ,R                 ,                ,T                     ,T                       ,                        ,                      ,                  ,                      ,                             ,                                      ,                        ,                  ,                     ,F                   ,               ,R                                    ,                                          ,                                         ,                        ,                           ,                      ,T                           ,R                        ,                     ,                        ,R                   ,                ,                 ,                       ,F                   ,               ,T                     ,                      ,              ,                            ,            ,                     ,                     ,             ,               ,                          ,                   ,                    ,                   ,+                 ,                     ,                         ,                  ,                        ,                           ,                        ,from 115 SR. Chapter 20. Table 16. pages 362-363.
