Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Valvulineria laevigata	Uvigerina senticosa	Uvigerina peregrina	Uvigerina auberiana	Stilostomella spp.	Pyrgo spp.	Pullenia bulloides	Oridorsalis umbonatus	Nuttallides umbonifera	Nonionella atlantica	Nodosaria spp.	Melonis sp.	Melonis pompilioides	Melonis barleeanus	Lagena spp.	Hoeglundina elegans	Gyroidinoides spp.	Globocassidulina subglobosa	Globobulimina affinis	Gavelinopsis translucens	Fontbotia wuellerstorfi	Epistominella exigua	Elphidium spp.	Eggerella bradyi	Cibicidoides kullenbergi	Chilostomella oolina	Cassidulina crassa	Cassidulina carinata	Bulimina marginata	Bulimina gr. costata	Bulimina alazanensis	Bulimina aculeata	Brizalina subaenariensis	Bolivinita quadrilatera	Bolivina pseudopunctata	Bolivina paula	Comment



  IR	                 	                 	                  	              	172	1055	C	  1	H	CC	   9.00	      8.4900	Poli     	Benthic Foraminifers                         	A              	VG                	-                     	-                  	-                  	-                  	-                 	-         	-                 	T                    	R                     	F                   	-             	           	-                   	T                 	F          	-                  	-                 	C                          	-                    	F                       	-                      	-                   	R             	T               	T                       	-                   	R                 	C                   	T                 	-                   	                    	                 	-                       	                       	-                      	A             	Abundant Pteropods

  IR	                 	                 	                  	              	172	1055	C	  2	H	CC	  15.00	     18.0700	Poli     	Benthic Foraminifers                         	C              	G                 	R                     	-                  	-                  	-                  	-                 	-         	-                 	-                    	R                     	R                   	-             	           	-                   	-                 	-          	-                  	T                 	C                          	-                    	F                       	-                      	-                   	F             	-               	-                       	-                   	R                 	C                   	T                 	-                   	                    	                 	-                       	                       	R                      	C             	       

  IR	                 	                 	                  	              	172	1055	C	  3	H	CC	  13.00	     27.6000	Poli     	Benthic Foraminifers                         	C              	G                 	T                     	-                  	-                  	-                  	-                 	-         	-                 	T                    	T                     	R                   	-             	           	-                   	T                 	T          	-                  	R                 	C                          	-                    	F                       	-                      	-                   	R             	-               	-                       	-                   	R                 	C                   	T                 	-                   	                    	                 	-                       	                       	R                      	C             	Common fragments

  IR	                 	                 	                  	              	172	1055	C	  4	H	CC	  16.00	     37.3800	Poli     	Benthic Foraminifers                         	C              	G                 	T                     	-                  	-                  	-                  	-                 	-         	-                 	-                    	F                     	F                   	-             	           	-                   	-                 	-          	-                  	-                 	F                          	-                    	-                       	-                      	-                   	-             	-               	-                       	-                   	-                 	-                   	T                 	-                   	                    	                 	-                       	                       	-                      	A             	Isodimensional specimens, might be displaced.

  IR	                 	                 	                  	              	172	1055	C	  5	H	CC	  19.00	     47.0800	Poli     	Benthic Foraminifers                         	C              	G                 	-                     	-                  	-                  	-                  	-                 	T         	-                 	-                    	-                     	-                   	-             	-          	-                   	T                 	-          	-                  	A                 	-                          	-                    	-                       	-                      	-                   	-             	F               	C                       	-                   	-                 	-                   	F                 	R                   	-                   	-                	-                       	-                      	-                      	-             	       

