Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera pulchra,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies/neoabies,Scapholithus fossilis,Rhabdosphaera clavigera,Reticulofenestra pseudoumbilica(5-7microns),Pseudoemiliania lacunosa,Helicosphaera kamptneri,Gephyrocapsa spp. small (<3.5 microns),Gephyrocapsa oceanica (4-5.5 microns)  ,Discoaster variabilis,Discoaster sp.,Discoaster quinqueramus,Discoaster pentaradiatus,Discoaster brouweri,Dictyococcites sp.,Cyclicargolithus floridanus,Coccolithus pelagicus,Calcidiscus leptoporus,Pontosphaera discopora,Discoaster triradiatus,Discoaster surculus,Discosphaera tubifera,Pontosphaera japonica,Holodiscolithus macroporus,Ceratolithus cristatus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  1,R, 2,  22.00,     50.2200,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,                     ,                       ,                          ,rS                         ,R                    ,S                      ,                                           ,                        ,S                      ,C                                     ,R                                      ,                     ,rR            ,rR                     ,                        ,rR                 ,S                 ,rR                         ,                     ,C                     ,                      ,                      ,                   ,S                    ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  2,R, 1, 104.00,     59.1400,Staerker ,Nannofossils                                 ,R              ,E                 ,                         ,                     ,                       ,                          ,rS                         ,R                    ,S                      ,                                           ,                        ,S                      ,C                                     ,S                                      ,                     ,rR            ,rS                     ,                        ,rR                 ,S                 ,rS                         ,                     ,C                     ,                      ,                      ,                   ,S                    ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  3,R, 1,  93.00,     68.6300,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,                       ,rR                        ,rC                         ,S                    ,C                      ,                                           ,C                       ,S                      ,A                                     ,S                                      ,                     ,rR            ,rS                     ,                        ,rR                 ,S                 ,rR                         ,                     ,C                     ,                      ,                      ,                   ,S                    ,                     ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Middle Pleistocene,Late Pleistocene ,CN14a             ,              ,134, 830,B,  4,R, 2,  39.00,     78.9900,Staerker ,Nannofossils                                 ,R              ,E                 ,C                        ,C                    ,rR                     ,                          ,rC                         ,S                    ,C                      ,R                                          ,C                       ,S                      ,A                                     ,S                                      ,                     ,rR            ,rS                     ,rR                      ,rR                 ,S                 ,rS                         ,R                    ,C                     ,                      ,                      ,rR                 ,S                    ,R                    ,                          ,                      ,from ODP Leg 134 SR Chapter 10 Table 6 p 210
