Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Bolboforma indistincta	Bolboforma eocena	Bolboforma sp. B	Bolboforma sp. cf. B. geomaris	Bolboforma lamari	Bolboforma geomari	Bolboforma sp. A	Bolboforma pustula	Bolboforma latdorfensis	Comment



  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 703	A	 11	H	 6	 140.00	     99.3000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                	                              	                 	                  	                	A                 	                       	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 703	A	 12	H	 3	 140.00	    104.3000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                	                              	                 	                  	                	C                 	R                      	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 703	A	 12	H	 5	 140.00	    107.3000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                	                              	                 	                  	R               	F                 	F                      	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 703	A	 12	H	 6	 140.00	    108.8000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                	                              	                 	                  	R               	R                 	R                      	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 703	A	 12	H	 7	  55.00	    109.4500	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                	                              	                 	                  	                	R                 	                       	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Early Oligocene  	                 	B. latdorfensis   	              	114	 703	A	 13	H	 1	 120.00	    110.6000	Spiegler 	Bolboforms                                   	               	                  	R                     	                 	                	                              	                 	                  	                	R                 	C                      	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Late Eocene      	                 	B. geomari        	              	114	 703	A	 13	H	 2	 120.00	    112.1000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	A               	R                             	C                	R                 	F               	                  	                       	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Late Eocene      	                 	B. geomari        	              	114	 703	A	 13	H	 4	 120.00	    115.1000	Spiegler 	Bolboforms                                   	               	                  	                      	                 	                	R                             	R                	                  	                	                  	                       	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Late Eocene      	                 	B. geomari        	              	114	 703	A	 15	H	 2	  25.00	    130.1500	Spiegler 	Bolboforms                                   	               	                  	R                     	                 	                	                              	A                	                  	R               	                  	                       	from ODP Leg 114 SR Chapter 18 Table 5 p.330

  SR	Late Eocene      	                 	B. eocena         	              	114	 703	A	 15	H	 3	  25.00	    131.6500	Spiegler 	Bolboforms                                   	               	                  	                      	R                	                	                              	R                	                  	                	                  	                       	from ODP Leg 114 SR Chapter 18 Table 5 p.330

