Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis sp. 2	Naviculopsis pandalata	Naviculopsis foliacea	Naviculopsis eobiapiculata	Naviculopsis constricta (long form)	Distephanus speculum pentagonus	Distephanus crux var. 1	Distephanus crux s. ampl.	Distephanus crux loeblichii	Dictyocha sp. cf. D.hexacantha	Dictyocha sp. (asperoid)	Dictyocha quadria	Dictyocha bryonalis	Dictyocha aspera	Dictyocha acuta	Corbisema triacantha	Corbisema sp. 2	Corbisema regina	Corbisema jerseyensis (with equilateral basal ring)	Corbisema jerseyensis	Corbisema hastata miranda	Corbisema amicula	Bachmannocena   apiculata monolineata	Bachmannocena paulschulzii	Bachmannocena oamaruensis	Bachmannocena apiculata inflata	Bachmannocena apiculata glabra	Bachmannocena apiculata curvata	Bachmannocena apiculata apiculata	Naviculopsis constricta (short form)	Dictyocha torta	Dictyocha quadria (with cylindrical spines)	Corbisema triacantha mediana	Corbisema hastata incohata	Corbisema apiculata apiculata	Bachmannocena apiculata evexa	Naviculopsis trispinosa trispinosa	Dictyocha spinosa	Dictyocha deflandrei completa	Dictyocha aspera  martinii	Corbisema xenica	Corbisema toxeuma	Corbisema angularis	Dictyocha hexacantha	Dictyocha deflandrei deflandrei	Corbisema sp. cf. C.archangelskiana (with small basal spines)	Dictyocha elata var. media	Corbisema triacantha convexa	Corbisema katharinae	Bachmannocena paulschulzii (with cylindrical spines)	Distephanus sp. cf. D.boliviensis	Dictyocha fibula formicata	Naviculopsis sp. 3	Naviculopsis biapiculata biapiculata	Bachmannocena  concava	Bachmannocena sp. 1	Naviculopsis trispinosa eminula	Naviculopsis biapiculata var. 1	Naviculopsis biapiculata nodulifera	Distephanus speculum patulus	Distephanus quinquangellus	Naviculopsis danica	Distephanus boliviensis (hemisphaericoid)	Bachmannocena pappii	Dictyocha alta	Corbisema lamellifera	Caryocha depressa	Bachmannocena apiculata apiculata (aberrant form)	Dictyocha pentagona	Corbisema archangelskiana	Distephanus speculum hemisphaericus	Distephanus sp. cf. D.raupii	Distephanus raupii	Distephanus crux darwinii	Distephanus speculum triommata	Distephanus speculum binoculus	Distephanus speculum	Corbisema bimucronata rotatoria	Distephanus sp. aff. D.raupii (with 3 apical windows)	Distephanus stradneri	Distephanus hannai	Naviculopsis lata	Distephanus schauinslandii	Dictyocha deflandrei sp. 1	Distephanus crux var. 2	Distephanus crux scutulatus	Distephanus crux parvus	Dictyocha sp. aff. Dictyocha medusa	Caryocha ichikawai	Naviculopsis ponticula spinosa	Naviculopsis navicula	Distephanus speculum var. 1	Naviculopsis ponticula ponticula	Distephanus antarcticus	Comment



  SR	Early Miocene    	                 	N. ponticula (Cies)	              	114	 703	A	  3	H	 2	  40.00	     16.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	55                	                      	                     	                          	                                   	                               	                       	                         	                           	                              	                        	                 	                   	                	               	88                  	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	2                              	1                                	                                    	               	                                           	22                          	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	5                                	                          	                  	                                    	                      	                   	                               	                               	                                   	42                          	                          	                   	1                                        	                    	              	                     	                 	                                                 	                   	                         	2                                  	                            	                  	                         	                              	2                             	46                  	                               	                                                     	                     	                  	                 	                          	                          	                       	3                          	                       	                                   	                  	25                            	                     	                           	P                               	6                      	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Miocene    	                 	N. ponticula (Cies)	              	114	 703	A	  3	H	 3	  40.00	     17.8000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	                               	                       	                         	                           	                              	                        	                 	                   	                	               	232                 	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	                               	                                 	                                    	               	                                           	32                          	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	1                           	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	2                           	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	2                             	3                             	28                  	                               	                                                     	                     	                  	                 	                          	                          	                       	                           	                       	                                   	                  	                              	                     	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Miocene    	                 	C.triacantha mediana	              	114	 703	A	  3	H	 5	  40.00	     20.8000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	1                              	                       	29                       	1                          	                              	                        	                 	                   	                	               	93                  	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	1                              	                                 	                                    	               	                                           	1                           	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	16                               	                          	                  	                                    	                      	                   	                               	                               	                                   	1                           	                          	                   	2                                        	                    	              	                     	                 	                                                 	                   	                         	5                                  	1                           	                  	1                        	4                             	2                             	123                 	                               	                                                     	                     	                  	1                	                          	                          	                       	                           	2                      	                                   	                  	                              	                     	16                         	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72

  SR	Early Miocene    	                 	D.raupii/C.triacan.	              	114	 703	A	  4	H	 3	  40.00	     27.3000	Ciesielski	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                  	                      	                     	                          	                                   	                               	                       	                         	                           	                              	                        	                 	                   	                	               	1                   	               	                	                                                   	                     	                         	                 	                                     	                          	                         	                               	                              	1                              	                                 	                                    	               	                                           	                            	                          	                             	                             	                                  	                 	                             	                          	                	                 	                   	                    	                               	                                                             	                          	                            	                    	                                                    	                                 	                          	                  	                                    	                      	                   	                               	                               	                                   	                            	                          	                   	                                         	                    	              	                     	                 	                                                 	                   	                         	                                   	                            	                  	                         	                              	                              	3                   	                               	                                                     	                     	                  	                 	                          	                          	                       	1                          	                       	                                   	                  	3                             	1                    	                           	                                	                       	from ODP Leg 114 SR Chapter 4 Table 7 p 68-72
