Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Podocyrtis papalis,Lithocyclia ocellus,Dictyoprora mongolfieri,Calocycloma ampulla,Calocyclas  sp.,Eusyringium fistuligerum,Tympanomma binoctonum,Tessarospyris pododendros,Stichocorys wolffii,Stichocorys delmontensis,Stichocorys armata,Siphostichartus praecorona,Phormostichoartus fistula,Eucyrtidium cienkowskii,Didymocyrtis violina,Didymocyrtis tubaria,Didymocyrtis mammifera,Cyrtocapsella tetrapera,Clatrocyclas cabrilloensis,Carpocanopsis favosa,Calocycletta virginis,Calocycletta robusta,Acrosphaera trepanata,Tepka perforata,Stylatractus universus,Liriospyris stauropora,Eucyrtidium punctatum,Dorcadospyris dentata,Cyrtocapsella japonica,Cyrtocapsella cornuta,Clathrocanium sphaerocephalum,Calocycletta costata,Liriospyris parkerae,Didymocyrtis laticonus,Dendrospyris bursa,Larcospira moschkovskii,Diartus petterssoni,Didymocyrtis antepenultima,Stichocorys radicula,Stichocorys peregrina,Siphocampe crustula,Periphaena decora,Dictyophimus splendens,Diartus hughesi,Botryostrobus bramlettei pretumidulus,Stichopodium biconica,Pseudocubus vema,Lamprocyclas hannai,Spongodiscus osculosus,Pseudocubus warreni,Lamprocyrtis daniellae,Lamprocyclas margatensis,Eucyrtidium teuscheri orthoporus,Eucyrtidium teuscheri group,Eucyrtidium calvertense,Botryostrobus auritus/australis,Anthocyrtidium pliocenica,Stichopilium bicorne,Octopyle stenozona,Eucyrtidium infundibulum,Didymocyrtis avita,Botryostrobus bramlettei tumidulus,Anthocyrtidium ophirense,Anthocyrtidium ehrenbergi,Acrosphaera pseudarktios,Acrosphaera murrayana,Theocorythium vetulum,Prunopyle antarctica,Lamprocyrtis neoheteroporos,Eucyrtidium indiensis,Didymocyrtis tetrathalamus,Anthocyrtidium zanguebaricum,Anthocyrtidium nosicaae,Acrosphaera cyrtodon,Theocalyptra davisiana,Siphocampe caryoforma,Pterocanium korotnevi,Eucyrtidium teuscheri teuscheri,Phormostichoartus pitomorphus,Lamprocyrtis nigriniae,Dictyophimus infabricatus,Amphirhopalum ypsilon,Pterocorys minythorax,Theocorythium trachelium,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR5               ,NR3-NR4       ,112, 682,A,  2,H,CC,  18.00,     18.9300,De Wever ,Radiolarians                                 ,R              ,G                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,                      ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,                   ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,P                              ,                         ,P                   ,P                 ,                        ,                  ,P                                 ,                        ,                         ,                        ,P                    ,                     ,                    ,                           ,                     ,P                         ,P                           ,                       ,                    ,P                     ,                     ,P                    ,P                              ,                             ,P                     ,P                        ,                     ,P                    ,P                       ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,NR5               ,NR3-NR4       ,112, 682,A,  3,H,CC,  24.00,     28.0600,De Wever ,Radiolarians                                 ,R              ,M                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,P                  ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,P                              ,                         ,P                   ,                  ,P                       ,                  ,P                                 ,                        ,                         ,P                       ,P                    ,                     ,P                   ,                           ,                     ,P                         ,                            ,P                      ,                    ,P                     ,                     ,P                    ,P                              ,P                            ,P                     ,                         ,P                    ,P                    ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,NR7               ,NR6           ,112, 682,A,  4,H,CC,  25.00,     37.1000,De Wever ,Radiolarians                                 ,F              ,G                 ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,P                  ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,                                ,                           ,                       ,P                              ,                         ,                    ,                  ,P                       ,                  ,P                                 ,P                       ,                         ,                        ,P                    ,                     ,                    ,P                          ,P                    ,P                         ,P                           ,P                      ,                    ,P                     ,P                    ,P                    ,P                              ,P                            ,P                     ,P                        ,P                    ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pliocene    ,                 ,NR7               ,NR6           ,112, 682,A,  5,X,CC,  15.00,     39.9100,De Wever ,Radiolarians                                 ,               ,                  ,                  ,                   ,                       ,                   ,               ,                        ,                     ,                         ,                   ,                        ,                  ,                          ,                         ,                       ,                    ,                    ,                      ,                       ,                          ,                    ,                     ,                    ,                     ,               ,P                     ,                      ,                     ,                     ,                      ,                     ,                             ,                    ,                    ,                      ,                  ,                       ,                   ,                          ,                    ,                     ,P                  ,                 ,                      ,               ,                                     ,                     ,                ,                   ,                      ,                   ,                      ,                        ,P                               ,                           ,                       ,P                              ,                         ,                    ,P                 ,P                       ,                  ,P                                 ,                        ,                         ,                        ,P                    ,                     ,P                   ,P                          ,P                    ,                          ,P                           ,                       ,                    ,P                     ,P                    ,P                    ,P                              ,P                            ,                      ,                         ,                     ,                     ,                        ,from ODP Leg 112 SR Chapter 12 Table AppxB p.195-197
