Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinellopsis seminulina,Orbulina universa,Globorotalia sphericomiozea,Globorotalia margaritae,Globorotalia crassaformis,Globorotalia conomiozea,Neogloboquadrina humerosa,Neogloboquadrina acostaensis,Globigerina decoraperta,Globigerinoides ruber,Globigerinoides extremus,Globorotalia aequilaterus,Globigerinoides sacculifer,Dentoglobigerina altispira globosa,Dentoglobigerina altispira altispira,Neogloboquadrina pachyderma,Globigerina quinqueloba,Globigerina bulloides,Globorotalia crassaformis cf. viola,Globorotalia puncticulata,Globorotalia hirsuta,Globigerinoides obliquus,Globorotalia inflata,Neogloboquadrina dutertrei,Globorotalia crassaformis viola,Globigerinita glutinata,Globigerina umbilicata,Globigerinoides conglobatus,Globorotaloides hexagona,Globorotalia truncatulinoides,Globorotalia tosaensis,Globorotalia cavernula,Globigerinoides ruber (pink),Globigerinella siphonifera,Globorotalia scitula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Pleistocene,,,175,1085,A,1,H,CC,9.00,3.5900,Christensen,Planktonic Foraminifers,A,VG,,+,,,+,,,,,+,,,+,,,A,+,A,,,+,,A,+,,,+,,,+,,,-,+,+,fragments common
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Pleistocene,,,175,1085,A,2,H,CC,8.00,13.6200,Christensen,Planktonic Foraminifers,,,,+,,,+,,,,,+,,,,,,+,+,+,,,+,,D,+,,+,+,,,+,,,-,+,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,,,,175,1085,A,4,H,CC,14.00,31.5600,Christensen,Planktonic Foraminifers,,,,+,,,,,,,,,,,,,,,+,+,,,+,+,A,,+,,,,,+,,+,,,,G. obliqus LO = N22 possible cvernula
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Pleistocene,,,175,1085,A,7,H,CC,15.00,61.0300,Christensen,Planktonic Foraminifers,,,+,+,,,+,,,,,+,+,,+,,,+,,+,,,,+,D,+,+,,,,+,+,+,,,,,extremus may be transitional from obliquus or it may be reworked or it may hafve an extended range here
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IR,,Pleistocene,,,175,1085,A,9,H,CC,38.00,80.1200,Christensen,Planktonic Foraminifers,C,G,,+,,,+,,,,,+,,,,,,,+,+,+,,+,+,+,,+,+,,,,,,,,,,
