Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Subbotina varianta	Subbotina patagonica	Subbotina hardingae	Subbotina cf. S. hornibrooki	Pseudohastigerina micra	Planorotalites reissi	Planorotalites chapmani	Planorotalites australiformis	Guembelitria triseriata	Cassigerinelloita amekiensis	Acarinina primitiva	Acarinina pentacamerata	Acarinina cuneicamerata	Acarinina cf. A. collactea	Subbotina velascoensis	Acarinina wilcoxensis	Acarinina soldadoensis	Acarinina broedermanni	Subbotina linaperta s.s.	Acarinina matthewsae	Acarinina coalingensis	Acarinina spinuloinflata	Acarinina bullbrooki	Subbotina linaperta s.l.	Pseudohastigerina sp.	Subbotina eocaena	Muricoglobigerina senni	Chiloguembelina cubensis	Praetenuitella sp. 1	Globigerinatheka index	Chiloguembelina crinita	Morozovella spinulosa	Globorotaloides suteri	Subbotina corpulenta	Globigerina leroyi	Acarinina collactea	Catapsydrax unicavus	Subbotina angiporoides	Morozovella cf. M.quetra	Globigerina cf. G. praebulloides	Praetenuitella sp. 2	Praetenuitella sp. 3	Subbotina spp.	Subbotina yeguaensis	Subbotina gortanii	Catapsydrax echinatus	Acarinina aculeata	Paragloborotalia nana	Paragloborotalia pseudocontinuosa	Globorotaloides aff. testarugosa	Praetenuitella insolita	Subbotina utilisindex	Globigerinatheka barri	Subbotina pseudovenezuelana	Tenuitella gemma	Neogloboquadrina pachyderma	Globigerina bulloides	Turborotalia quinqueloba	Globorotalia scitula	Comment



  SR	Neogene          	                 	                  	              	119	 738	B	  1	H	CC	  10.00	      3.9500	Huber    	Planktonic Foraminifers                      	A              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	A                          	R                    	R                       	R                   	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Neogene          	                 	                  	              	119	 738	B	  2	H	CC	   8.00	     13.7400	Huber    	Planktonic Foraminifers                      	R              	G                 	                  	                    	                   	                            	                       	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	                        	                    	                      	                       	                     	                      	                    	                  	                   	                    	                      	                        	                                	                    	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	                     	                      	                           	                	A                          	R                    	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  3	H	 4	  90.00	     18.9000	Huber    	Planktonic Foraminifers                      	F              	G                 	                  	                    	                   	                            	?                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	A                       	                    	                      	                       	                     	R                     	                    	                  	                   	C                   	F                     	                        	                                	F                   	                    	              	                    	                  	F                    	                  	                     	                                 	                                	                       	F                    	                      	R                          	R               	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.

  SR	Early Oligocene  	                 	AP13              	              	119	 738	B	  3	H	 5	  90.00	     20.4000	Huber    	Planktonic Foraminifers                      	C              	G                 	                  	                    	                   	                            	R                      	                     	                       	                             	                       	                            	                   	                       	                       	                          	                      	                     	                      	                      	                        	                    	                      	                        	                    	                        	                     	                 	                       	F                       	                    	                      	                       	                     	R                     	                    	                  	                   	A                   	C                     	                        	                                	F                   	                    	              	                    	                  	                     	                  	                     	                                 	                                	                       	R                    	                      	R                          	F               	                           	                     	                        	                    	from 119 SR.Chapter 24.Table 1.page 429.
