Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Zygrhablithus bijugatus	Sphenolithus moriformis	Reticulofenestra samodurovii	Reticulofenestra daviesii	Neococcolithes dubius	Discoaster sublodoensis	Discoaster spp.	Discoaster lodoensis	Discoaster barbadiensis	Coccolithus pelagicus	Coccolithus formosus	Chiasmolithus solitus	Chiasmolithus expansus	Toweius magnicrassus	Chiasmolithus grandis	Discoaster praebifax	Nannotetrina cristata	Markalius inversus	Rhabdosphaera perlonga	Blackites spinosus	Discoaster saipanensis	Chiasmolithus gigas	Reticulofenestra onusta	Nannotetrina fulgens	Reticulofenestra umbilica	Helicosphaera spp.	Pontosphaera sp.	?Pyrocyclus (unspecified taxon or taxa)	Discoaster bifax	Lapideacassis sp.	Thoracosphaera spp.	Clausicoccus fenestratus	Reticulofenestra reticulata	Chiasmolithus altus	Chiasmolithus oamaruensis	Cyclicargolithus floridanus	Reticulofenestra bisecta	Reticulofenestra bisecta filewiczii	Isthmolithus recurvus	Bicolumnus ovatus	Reticulofenestra oamaruensis	Reticulofenestra perplexa	Reticulofenestra gelida	Gephyrocapsa caribbeanica	Comment



  SR	Pliocene         	Pleistocene      	                  	              	119	 738	B	  1	H	CC	  10.00	      3.9500	Wei      	Nannofossils                                 	R              	P                 	                       	                       	                            	                         	                     	                       	               	                    	                       	F                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	                         	                  	                	                                       	                	                 	                   	                        	                           	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	R                        	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Pliocene         	Pleistocene      	                  	              	119	 738	B	  2	H	CC	   8.00	     13.7400	Wei      	Nannofossils                                 	R              	M                 	                       	                       	                            	                         	                     	                       	               	                    	                       	F                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	                         	                  	                	                                       	                	                 	                   	                        	                           	                   	                         	                           	                        	                                   	                     	                 	                            	                         	                       	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 738	B	  3	H	 3	  43.00	     16.9300	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                            	                         	                     	                       	               	                    	                       	F                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	                         	                  	                	                                       	                	                 	                   	                        	                           	                   	                         	                           	                        	                                   	                     	                 	                            	A                        	A                      	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

  SR	Miocene          	                 	                  	              	119	 738	B	  3	H	 3	  66.00	     17.1600	Wei      	Nannofossils                                 	A              	G                 	                       	                       	                            	                         	                     	                       	               	                    	                       	V                    	                    	                     	                      	                    	                     	                    	                     	                  	                      	                  	                      	                   	                       	                    	rR                       	                  	                	                                       	                	                 	                   	                        	                           	                   	                         	                           	                        	                                   	rR                   	                 	                            	R                        	C                      	                         	from 119 SR Chapter 26 Table 4 fold-out back pocket.

