Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tranolithus orionatus,Rhagodiscus achylostaurion,Prediscosphaera columnata,Hayesites irregularis,Flabellites oblongus,Eprolithus floralis,Staurolithites glaber,Rhagodiscus angustus,Nannoconus spp.,Eiffellithus turriseiffelii,Eiffellithus monechiae,Cylindralithus nudus,Watznaueria barnesae,Manivitella pemmatoidea,Watznaueria britannica,Axopodorhabdus albianus,Rhagodiscus asper,Gartnerago nanum,Lithraphidites acutus,Micula staurophora,Eiffellithus eximius,Discoaster tamalis,Discoaster surculus,Discoaster brouweri,Ceratolithus rugosus,Calcidiscus macintyrei,Amaurolithus spp.,Pseudoemiliania lacunosa,Gephyrocapsa large,Gephyrocapsa (small),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14b,CN14b,,198,1213,A,1,R,CC,13.00,8.3800,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,                    ,                   ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,                        ,                  ,A                   ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a,CN13b,,198,1213,A,2,R,CC,12.00,12.9100,nannos   ,Nannofossils                                 ,A              ,M                 ,                     ,                          ,                         ,                     ,                    ,                   ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,A                       ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN14a,CN13b,,198,1213,A,3,R,CC,6.00,27.6000,nannos   ,Nannofossils                                 ,A              ,P                 ,                     ,                          ,                         ,                     ,                    ,                   ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,                   ,                    ,                      ,                 ,C                       ,F                 ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,CN12d,CN12d,,198,1213,A,4,R,CC,9.00,29.9000,nannos   ,Nannofossils                                 ,A              ,P                 ,                     ,                          ,                         ,                     ,                    ,                   ,                     ,                    ,               ,                           ,                      ,                    ,                    ,                       ,                      ,                       ,                 ,                ,                     ,                  ,                    ,                  ,                   ,C                  ,F                   ,C                     ,                 ,R                       ,                  ,                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
