Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster brouweri	Discoaster berggrenii	Calcidiscus leptoporus	Coccolithus pelagicus	Umbilicosphaera sibogae	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster neohamatus	Coronocyclus nitescens	Reticulofenestra pseudoumbilicus	Helicosphaera sellii	Amaurolithus primus	Calcidiscus macintyrei	Amaurolithus delicatus	Discoaster intercalaris	Discoaster challengeri	Amaurolithus ninae	Discoaster pansus	Discoaster blackstockae	Amaurolithus amplificus	Scapholithus fossilis	Rhabdosphaera clavigera	Discoaster asymmetricus	Ceratolithus cristatus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus tricorniculatus	Pseudoemiliania lacunosa	Ceratolithus rugosus	Discoaster triradiatus	Discoaster tamalis	Gephyrocapsa spp. (small)	Umbellosphaera tenuis	Gephyrocapsa margerelii	Gephyrocapsa oceanica	Gephyrocapsa lumina	Umbellosphaera irregularis	Pontosphaera japonica	Oolithotus antillarum	Gephyrocapsa caribbeanica	Reticulofenestra asanoi	Helicosphaera hyalina	Discosphaera tubifera	Thorosphaera flabellata	Helicosphaera neogranulata	Helicosphaera inversa	Emiliania huxleyi	Helicosphaera wallichii	Comment

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	A	  5	H	CC	  21.00	     41.2000	nannos   	Nannofossils                                 	A              	G                 	                           	F                    	D                    	                     	                       	                        	                     	                   	                     	F                     	                     	F                      	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	R                    	F                      	                       	R                     	                    	                   	                            	F                       	                    	                      	                  	A                        	                     	C                      	A                    	                   	                          	                     	                     	R                        	                       	                     	                     	R                      	R                         	R                    	                 	                       	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	A	  6	H	CC	  29.00	     50.9300	nannos   	Nannofossils                                 	A              	G                 	                           	F                    	D                    	                     	                       	                        	                     	                   	                     	F                     	                     	F                      	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	F                      	                       	F                     	                    	                   	                            	C                       	                    	                      	                  	A                        	                     	                       	                     	                   	                          	R                    	R                    	                         	R                      	R                    	R                    	                       	                          	                     	                 	                       	       

  IR	Pleistocene      	Pleistocene      	NN19b             	NN19b         	184	1143	A	  7	H	CC	  12.00	     59.9400	nannos   	Nannofossils                                 	A              	G                 	                           	F                    	D                    	                     	                       	                        	                     	                   	                     	C                     	                     	C                      	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	C                      	                       	R                     	                    	                   	                            	C                       	                    	                      	                  	A                        	                     	F                      	C                    	                   	R                         	R                    	R                    	R                        	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Quaternary       	Quaternary       	NN19              	NN19b         	184	1143	A	  8	H	CC	  22.00	     69.8700	nannos   	Nannofossils                                 	A              	G                 	                           	F                    	A                    	                     	                       	                        	                     	                   	                     	F                     	                     	                       	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	C                       	                    	                      	                  	A                        	                     	R                      	C                    	C                  	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Quaternary       	Quaternary       	NN19b             	NN19b         	184	1143	A	  9	H	CC	  25.00	     79.1600	nannos   	Nannofossils                                 	A              	G                 	                           	F                    	A                    	                     	                       	                        	                     	                   	                     	F                     	                     	F                      	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	R                      	                       	R                     	                    	                   	                            	C                       	                    	                      	                  	D                        	R                    	C                      	C                    	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	NN19a
