Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Sphenolithus abies/neoabies	Helicosphaera carteri	Florisphaera profunda	Discoaster variabilis	Discoaster quinqueramus	Discoaster pentaradiatus	Discoaster loeblichii	Discoaster brouweri	Discoaster berggrenii	Calcidiscus leptoporus	Coccolithus pelagicus	Umbilicosphaera sibogae	Triquetrorhabdulus rugosus	Discoaster surculus	Discoaster neohamatus	Coronocyclus nitescens	Reticulofenestra pseudoumbilicus	Helicosphaera sellii	Amaurolithus primus	Calcidiscus macintyrei	Amaurolithus delicatus	Discoaster intercalaris	Discoaster challengeri	Amaurolithus ninae	Discoaster pansus	Discoaster blackstockae	Amaurolithus amplificus	Scapholithus fossilis	Rhabdosphaera clavigera	Discoaster asymmetricus	Ceratolithus cristatus	Ceratolithus armatus	Ceratolithus acutus	Amaurolithus tricorniculatus	Pseudoemiliania lacunosa	Ceratolithus rugosus	Discoaster triradiatus	Discoaster tamalis	Gephyrocapsa spp. (small)	Umbellosphaera tenuis	Gephyrocapsa margerelii	Gephyrocapsa oceanica	Gephyrocapsa lumina	Umbellosphaera irregularis	Pontosphaera japonica	Oolithotus antillarum	Gephyrocapsa caribbeanica	Reticulofenestra asanoi	Helicosphaera hyalina	Discosphaera tubifera	Thorosphaera flabellata	Helicosphaera neogranulata	Helicosphaera inversa	Emiliania huxleyi	Helicosphaera wallichii	Comment
  IR	Late Miocene     	Late Miocene     	CN9b              	CN9b          	184	1143	A	 35	X	CC	  33.00	    317.2800	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	R                    	C                      	C                       	                     	C                  	A                    	R                     	R                    	                       	R                         	R                  	                     	R                     	R                               	                    	R                  	R                     	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9b              	CN9b          	184	1143	A	 36	X	CC	  41.00	    326.8600	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	                     	F                      	C                       	                     	C                  	A                    	R                     	                     	                       	                          	R                  	R                    	R                     	R                               	                    	R                  	R                     	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9b          	184	1143	A	 37	X	CC	  32.00	    336.6600	nannos   	Nannofossils                                 	A              	M                 	A                          	R                    	C                    	R                    	C                      	F                       	                     	C                  	A                    	R                     	R                    	                       	                          	R                  	                     	R                     	R                               	R                   	R                  	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 38	X	CC	  33.00	    345.7900	nannos   	Nannofossils                                 	A              	M                 	A                          	R                    	C                    	R                    	C                      	F                       	R                    	F                  	A                    	R                     	                     	                       	                          	R                  	                     	                      	R                               	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 39	X	CC	  27.00	    355.0100	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	R                    	F                      	F                       	R                    	F                  	A                    	R                     	R                    	                       	                          	R                  	                     	R                     	R                               	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 40	X	CC	  43.00	    363.2300	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	F                    	F                      	F                       	                     	C                  	A                    	R                     	R                    	                       	                          	R                  	R                    	R                     	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 41	X	CC	  49.00	    373.8600	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	                     	F                      	F                       	                     	F                  	C                    	R                     	R                    	                       	R                         	R                  	R                    	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 42	X	CC	  42.00	    382.2300	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	                     	F                      	F                       	                     	F                  	C                    	R                     	R                    	R                      	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 43	X	CC	  17.00	    384.3700	nannos   	Nannofossils                                 	A              	G                 	A                          	R                    	C                    	F                    	F                      	F                       	R                    	F                  	C                    	R                     	R                    	                       	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

  IR	Late Miocene     	Late Miocene     	CN9a              	CN9a          	184	1143	A	 44	X	CC	  39.00	    400.4900	nannos   	Nannofossils                                 	A              	M                 	A                          	R                    	C                    	F                    	F                      	F                       	F                    	F                  	C                    	R                     	                     	                       	                          	                   	                     	                      	                                	                    	                   	                      	                      	                       	                      	                  	                 	                       	                       	                     	                       	                       	                      	                    	                   	                            	                        	                    	                      	                  	                         	                     	                       	                     	                   	                          	                     	                     	                         	                       	                     	                     	                       	                          	                     	                 	                       	       

