Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dex.)	Globorotalia inflata (4 chambered)	Globorotalia inflata (3 chambered)	Globigerinoides tenellus	Globigerinoides ruber (white)	Globigerinita iota	Globigerina cryophila (dex.)	Orbulina universa	Globorotalia tosaensis (dex.)	Globorotalia sp. 1	Globorotalia crassaformis	Globorotalia cf. tosaensis (dex.)	Globigerina bulloides	Pulleniatina obliquiloculata	Neogloboquadrina dutertrei	Globorotalia tumida	Globigerinoides trilobus	Globigerinoides gomitulus	Globigerinita glutinata	Globigerina falconensis	Sphaeroidinella dehiscens	Globigerinita uvula	Globigerina calida	Globorotalia scitula	Globorotalia menardii	Globigerinoides sacculifer	Globigerinella aequilateralis (symmetrical)	Globigerina digitata	Globoquadrina hexagona	Globigerinoides conglobatus	Globorotalia scitula gigantea	Globorotalia hirsuta	Globorotalia truncatulinoides (dex.)	Globigerina quinqueloba	Neogloboquadrina pachyderma (sin.)	Comment



  SR	                 	                 	                  	              	126	 793	A	  1	H	 1	   1.00	      0.0100	Herman   	Planktonic Foraminifers                      	               	                  	                                  	                                  	                                  	                        	                             	                  	                            	                 	                             	                  	                         	                                 	                     	                            	                          	                   	                        	                         	                       	                       	                         	                   	                  	                    	                     	                          	                                           	                    	                      	                           	                             	                    	                                    	+                      	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  1	H	 1	   6.00	      0.0600	Herman   	Planktonic Foraminifers                      	               	                  	+                                 	+                                 	+                                 	+                       	+                            	                  	                            	+                	                             	                  	                         	                                 	                     	                            	                          	                   	+                       	                         	+                      	                       	                         	                   	                  	                    	                     	                          	                                           	                    	                      	                           	                             	                    	                                    	+                      	+                                 	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  3	H	 4	   0.00	     18.0000	Herman   	Planktonic Foraminifers                      	               	                  	                                  	+                                 	+                                 	                        	                             	                  	                            	                 	+                            	                  	                         	                                 	                     	                            	                          	+                  	                        	                         	                       	                       	                         	                   	                  	                    	+                    	                          	                                           	                    	                      	                           	                             	                    	+                                   	                       	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

  SR	                 	                 	                  	              	126	 793	A	  4	H	CC	  14.00	     32.5400	Herman   	Planktonic Foraminifers                      	               	                  	+                                 	+                                 	+                                 	                        	+                            	                  	+                           	+                	+                            	                  	+                        	                                 	                     	+                           	+                         	+                  	+                       	                         	+                      	                       	                         	                   	                  	+                   	                     	                          	+                                          	                    	                      	+                          	                             	                    	+                                   	+                      	                                  	from ODP Leg 126 SR Chapter 18 Table 5 p 281

