Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zygodiscus xenotus,Thoracosphaera sp.,Stradneria crenulata,Reinhardtites levis,Prediscosphaera cretacea,Prediscosphaera arkhangelskyi,Placozygus fibuliformis,Phanulithus obscurus,Nephrolithus frequens,Nephrolithus corystus,Misceomarginatus pleniporus,Micula decussata,Microrhabdulus decoratus,Lucianorhabdus cayeuxii,Lithraphidites carniolensis,Kamptnerius magnificus,Glaukolithus compactus,Gartnerago obliquum,Eiffellithus turriseiffelii,Cribrosphaerella ehrenbergii,Cretarhabdus conicus,Chiastozygus garrisonii,Broinsonia furtiva,Broinsonia enormis,Biscutum magnum,Biscutum dissimilis,Biscutum constans,Arkhangelskiella specillata,Ahmuellerella octoradiata,Thoracosphaera operculata,Manivitella pemmatoidea,Lucianorhabdus arcuatus,Eiffellithus gorkae,Chiastozygus sp.,Repagalum parvidentatum,Prediscosphaera stoveri,Cribrosphaerella daniae,Arkhangelskiella cymbiformis,Watznaueria barnesae,Prediscosphaera spinosa,Placozygus sigmoides,Staurolithus sp.,Prediscosphaera bukryi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 17,X,CC,  20.00,    151.2000,Resiwati ,Nannofossils                                 ,C              ,P-M               ,                  ,R                 ,                    ,C                  ,R                       ,                             ,R                      ,C                   ,                     ,C                    ,F                          ,A               ,R                       ,C                      ,                           ,C                     ,C                     ,                   ,R                          ,R                           ,                    ,R                      ,                  ,C                 ,R              ,                   ,R                ,R                          ,C                        ,                         ,                       ,                       ,R                  ,                ,                       ,                       ,                       ,                            ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 18,X,CC,  16.00,    156.8600,Resiwati ,Nannofossils                                 ,C              ,P-M               ,                  ,                  ,                    ,C                  ,                        ,                             ,                       ,R                   ,                     ,                     ,R                          ,A               ,                        ,C                      ,                           ,C                     ,C                     ,                   ,                           ,C                           ,                    ,                       ,                  ,                  ,               ,                   ,                 ,R                          ,                         ,                         ,                       ,                       ,                   ,                ,C                      ,                       ,                       ,                            ,                    ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 19,N, 1,  47.00,    160.2700,Resiwati ,Nannofossils                                 ,C              ,M                 ,                  ,                  ,R                   ,C                  ,F                       ,                             ,                       ,C                   ,F                    ,F                    ,F                          ,A               ,R                       ,C                      ,                           ,C                     ,A                     ,F                  ,F                          ,C                           ,F                   ,F                      ,                  ,                  ,R              ,R                  ,                 ,F                          ,C                        ,                         ,                       ,                       ,R                  ,R               ,F                      ,R                      ,                       ,                            ,                    ,                       ,R                   ,                ,R                     ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,CC24              ,              ,121, 754,A, 19,N,CC,  12.00,    160.4700,Resiwati ,Nannofossils                                 ,C              ,P                 ,                  ,                  ,                    ,C                  ,                        ,                             ,                       ,C                   ,                     ,                     ,R                          ,A               ,                        ,C                      ,                           ,C                     ,C                     ,                   ,                           ,R                           ,                    ,                       ,                  ,C                 ,               ,                   ,                 ,R                          ,R                        ,                         ,                       ,                       ,                   ,                ,                       ,                       ,                       ,R                           ,R                   ,                       ,                    ,                ,                      ,from ODP Leg 121 SR Chapter 5 Table 2 p 148
