Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Theocorys redondoensis,Stichocorys armata,Lychnocanoma nipponica nipponica,Lithopera renzae,Gondwanaria hister,Eucyrtidium cienkowskii,Didymocyrtis prismatica,Cyrtocapsella cornuta,Stichocorys wolffii,Phormostichoartus crustula,Eucyrtidium asanoi,Collosphaera huxleyi,Siphostichartus corona,Diartus petterssoni,Cyrtocapsella japonica,Anthocyrtidium ehrenbergi,Spirema circularis,Stichocorys delmontensis,Diartus hughesi,Lychnocanoma nipponica magnacornuta,Botryostrobus praetumidulus,Stylosphaera angelina,Phormostichoartus doliolum,Phormostichoartus corbula,Eucyrtidium calvertense,Botryostrobus bramlettei,Axoprunum angelinum,Stylatractus universus,Stauroxiphos communis,Dictyophimus splendens,Anthocyrtidium pliocenica,Amphymenium amphistylium,Gondwanaria dogieli,Ceratocyrtis histricosa,Botryostrobus tumidulus,Actinomma popofskii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),167,1010,E,  8,H,CC,   8.00,     75.8900,Caulet   ,Radiolarians                                 ,R              ,M                 ,                      ,                  ,                                ,                ,                  ,                       ,                       ,                     ,                   ,                          ,                  ,                    ,                      ,                   ,                      ,                         ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,                       ,                        ,                   ,                      ,                     ,T                     ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),167,1010,E,  9,H,CC,   0.00,     85.1200,Caulet   ,Radiolarians                                 ,R              ,M                 ,                      ,                  ,                                ,                ,                  ,                       ,                       ,                     ,                   ,                          ,                  ,                    ,                      ,                   ,                      ,+                        ,                  ,                        ,               ,                                   ,                           ,                     ,                          ,                         ,+                      ,                        ,                   ,T                     ,                     ,                      ,                         ,                        ,+                  ,+                      ,+                      ,+                  ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. penultima (RN8),S. peregrina (N Pac),167,1010,E, 10,H,CC,   0.00,     94.5900,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,+                               ,                ,                  ,                       ,                       ,                     ,+                  ,                          ,                  ,                    ,                      ,                   ,                      ,                         ,                  ,+                       ,               ,                                   ,+                          ,                     ,                          ,                         ,                       ,                        ,                   ,+                     ,+                    ,+                     ,+                        ,+                       ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,D. petterssoni (RN6),D. antepenultima RN7,167,1010,E, 11,H,CC,  21.00,    104.5400,Caulet   ,Radiolarians                                 ,C              ,M                 ,                      ,                  ,                                ,                ,                  ,                       ,                       ,                     ,                   ,+                         ,                  ,                    ,                      ,                   ,                      ,+                        ,                  ,+                       ,+              ,                                   ,                           ,+                    ,+                         ,+                        ,+                      ,+                       ,+                  ,                      ,                     ,                      ,                         ,                        ,                   ,                       ,                       ,                   ,from IR. Ch 4. Tables 6 and 7.,
