Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina altispira globosa,Globorotalia continuosa,Globigerina woodi,Globigerina bulloides,Orbulina suturalis,Globorotaloides variabilis,Globorotaloides trema,Globigerina quinqueloba,Globorotalia mayeri,Globigerina apertura,Neogloboquadrina acostaensis,Sphaeroidinellopsis seminulina,Globorotaloides hexagona,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides extremus,Globigerina nepenthes,Sphaeroidinella dehiscens,Globigerinoides bollii,Globorotalia puncticulata,Globorotalia crassaformis,Globorotalia cf. Gr. sphericomiozea,Globorotalia cf. Gr. cibaoensis,Neogloboquadrina humerosa,Neogloboquadrina asanoi,Globorotalia inflata,Globorotalia crassula,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  3,H,CC,  28.00,     28.4600,Kennett  ,Planktonic Foraminifers                      ,A              ,M                 ,                                  ,                       ,                 ,                     ,                  ,                          ,                     ,                       ,                   ,                    ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,                         ,                      ,R                        ,                         ,                                   ,                               ,A                        ,R                      ,C                   ,R                    ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  4,H,CC,  16.00,     37.7600,Kennett  ,Planktonic Foraminifers                      ,C              ,M                 ,                                  ,                       ,                 ,                     ,                  ,                          ,                     ,                       ,                   ,                    ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,R                        ,                      ,C                        ,R                        ,R                                  ,R                              ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  5,H,CC,  22.00,     47.4400,Kennett  ,Planktonic Foraminifers                      ,R              ,M                 ,                                  ,                       ,                 ,                     ,                  ,                          ,                     ,                       ,                   ,                    ,                            ,                              ,                        ,                        ,                             ,                        ,                     ,R                        ,R                     ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,167,1010,E,  6,H,CC,  19.00,     56.9000,Kennett  ,Planktonic Foraminifers                      ,C              ,G                 ,                                  ,                       ,R                ,                     ,                  ,                          ,                     ,                       ,                   ,                    ,R                           ,R                             ,R                       ,R                       ,R                            ,R                       ,R                    ,                         ,                      ,                         ,                         ,                                   ,                               ,                         ,                       ,                    ,                     ,from IR.Ch 4.Table 9.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
