leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
47,398,D,3,4,15.0,26.0,318.50,323.15,323.26,, NANNO (CALCAREOUS) CHALK, N9-WHITE,,, NODULAR CHAL K ?,,,, FIRM*,,abb632c6374a918eccf928144ae44413
47,398,D,3,4,26.0,59.0,318.50,323.26,323.59,, NANNO (CLAY) CHALK, 5GY8/1-LIGHT GREENISH GRAY," THICK IRREGULAR LAMINAE AT 55-59 CM, THIN IRREGULAR LAMINAE AT 33 CM, BURROW AT 39 CM",, CHALK NODULES AT 30 CM,,,, FIRM*,,877676c52b0bc4871b77e28a788384b9
47,398,D,3,4,59.0,84.0,318.50,323.59,323.84,, NANNO (CALCAREOUS) CHALK, N9-WHITE," DARK HOLLOW BURROWS AT 59-67 CM AND 71 CM, SHARP DISCONTINUITY A T UPPER BOUNDARY",, NODULAR CHALK ?,,,, FIRM*,,15971aefceea2268467eecb683d92c1a
47,398,D,3,4,84.0,150.0,318.50,323.84,324.50,, NANNO (CLAY) CHALK, 5GY8/1-LIGHT GREENISH GRAY," SLIGHTLY SILTY THIN IRREGULAR LAMINAE AT 99-109 CM, BURROWS AT 113 CM 115-118 CM 124-125 CM",,,,,, FIRM*,,1430b92a2eb21535b4c726f1fcc5813f
47,398,D,3,5,0.0,75.0,318.50,324.50,325.25,, NANNO (CLAY) CHALK, 5GY8/1-LIGHT GREENISH GRAY, BURROWS AT 27 CM 29 CM 40 CM,, CHALK NODULE AT 73 CM,,, WELL PRESERVED, FIRM*,,22dbe063869b6f3f7ae398c730867e7c
47,398,D,3,5,75.0,86.0,318.50,325.25,325.36,, NANNO (CALCAREOUS) CHALK, N9-WHITE," BURROWS THRO UGHOUT, CHONDRITE AT 83 CM",,,,," WELL PRESERVED, DISCONT INUITY AT UPPER BOUNDARY", FIRM*,,a441d00945c34577bde9a5c06f95f0fd
47,398,D,3,5,86.0,140.0,318.50,325.36,325.90,, NANNO (CLAY) CHALK, 5GY8/1-LIGHT GREENISH GRAY," DARK HOLLOW BURROW AT 110-113 CM, CHONDRITE AT 95 CM , BURROW AT 90 CM",,,,, WELL PRESERVED, FIRM*,,3ab65c4724664cd25727d497c2f6591d
47,398,D,3,6,0.0,13.0,318.50,326.00,326.13,, NANNO (CALCAREOUS) CHALK, N9-WHITE,,, CHALK NODULE AT 10 CM,,,, FIRM*,,16dbadec316ebd26f50218263394bac7
47,398,D,3,6,13.0,55.0,318.50,326.13,326.55,, NANNO (CLAY) CHALK, 5GY8/1-LIGHT GREENISH GRAY N9-WHITE*," BURROWS AT 15-16 CM 19 CM 37-38 CM, N9 NANNO (CALCAR EOUS) CHALK AT 35-40 CM, SLIGHT DISCONTINUITY AT 35 CM",,,,,, FIRM,,130f1d9cbfa35778f87b14820de0bc2b
47,398,D,3,6,55.0,68.0,318.50,326.55,326.68,, NANNO (CALCAREOUS) CHALK, N9-WHITE, BURROWS AT 5 5-62 CM,,,,, SHARP DISCONTINUITY AT UPPER BOUNDARY, FI RM*,,18a2ba8913e25af1b063c0425bfbd3aa
