Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Umbellosphaera irregularis	Triquetrorhabdulus rugosus	Sphenolithus spp.	Scyphosphaera spp.	Reticulofenestra spp.	Pontosphaera spp.	Placolith (small)	Oolithotus fragilis	Helicosphaera spp.	Helicosphaera sp. aff. H. intermedia	Helicosphaera sellii	Helicosphaera carteri	Hayaster perplexus	Discoaster variabilis	Discoaster surculus	Discoaster spp.	Discoaster sp. aff. D. pentaradiatus	Discoaster quinqueramus	Discoaster challengeri	Discoaster brouweri	Coccolithus pelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Discoaster sp. aff. D. giganteus	Discoaster archipelagoensis	Discoaster andamanensis	Discoaster pentaradiatus	Amaurolithus amplificus	Amaurolithus primus	Reticulofenestra pseudoumbilica	Amaurolithus tricorniculatus	Amaurolithus delicatus	Discoaster intercalaris	Amaurolithus ninae	Discoaster quadramus	Calcidiscus sp. A	Discoaster calcaris	Discoaster toralis	Amaurolithus spp.	Discoaster challengeri var. nellensis	Amaurolithus delicatus/primus intergrade	Triquetrorhabdulus farnsworthii	Minylitha convallis	Discoaster blackstockae	Discoaster deflandrei	Dictyococcites spp.	Rhabdosphaera spp.	Discoaster sp. cf. D. loeblichii	Discoaster pansus	Discoaster bollii	Discoaster asymmetricus	Dictyococcites spp. (<4 microns)	Discoaster phyllodus	Discoaster mendomobensis	Discoaster extensus	Ceratolithus acutus	Amaurolithus bizarrus	Ceratolithus rugosus	Pseudoemiliania lacunosa	Emiliania ovata	Discoaster tamalis	Discoaster dilatus	Helicosphaera wallichii	Gephyrocapsids (small)	Gephyrocapsa caribbeanica	Gephyrocapsa oceanica	Helicosphaera inversa	Comment



  SR	Pleistocene      	                 	CN14b             	              	135	 840	B	  1	X	 1	  33.00	      0.3300	Quinterno	Nannofossils                                 	A              	M                 	F                         	                          	                 	                  	                     	F                	A                	F                  	                  	                                    	                    	F                    	                  	                     	                   	               	                                    	                       	                      	                   	                     	                      	                      	                                	                           	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	F                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	A                     	A                        	F                    	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Pleistocene      	                 	CN14b             	              	135	 840	B	  1	X	CC	  18.00	      1.5300	Quinterno	Nannofossils                                 	A              	G                 	R                         	                          	                 	R                 	                     	F                	A                	C                  	                  	                                    	                    	C                    	                  	                     	                   	               	                                    	                       	                      	                   	                     	                      	R                     	                                	                           	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	A                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	A                     	A                        	A                    	F                    	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Pleistocene      	                 	CN14b             	              	135	 840	B	  1	X	CC	  41.00	      1.7600	Quinterno	Nannofossils                                 	V              	G                 	R                         	                          	                 	                  	                     	R                	                 	F                  	                  	                                    	rR                  	F                    	                  	                     	                   	               	                                    	                       	                      	                   	                     	                      	                      	                                	                           	                       	                        	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	                  	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	                    	                        	               	                  	                  	                       	V                     	A                        	A                    	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282

  SR	Late Pliocene    	                 	CN13b             	              	135	 840	B	  3	X	CC	   0.00	     18.9000	Quinterno	Nannofossils                                 	V              	G                 	                          	                          	                 	                  	C                    	C                	V                	F                  	C                 	                                    	R                   	C                    	R                 	                     	rF                 	rC             	rR                                  	                       	                      	rF                 	                     	F                     	C                     	                                	                           	                       	rF                      	                       	                   	                               	                            	                      	                       	                  	                    	                 	                   	                  	                 	                                     	                                        	                               	                   	                       	                     	                   	F                 	                                	                 	                 	                       	                                	                    	                        	                   	                   	                     	R                   	C                       	A              	                  	                  	R                      	C                     	C                        	                     	                     	from ODP Leg 135 Table 3 p 270-272 & Figure 7 p 282
