Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Turborotalia cerroazulensis,Truncorotaloides rohri,Subbotina linaperta,Subbotina hagni,Subbotina eocaena,Morozovella spinulosa,Hantkenina dumblei,Globigerinatheka mexicana,Globigerinatheka index,Chiloguembelina cubensis,Catapsydrax dissimilis,Acarinina bullbrooki,Porticulasphaera semiinvoluta,Hantkenina alabamensis,Subbotina cryptomphala,Pseudohastigerina micra,Turborotalia pomeroli,Globigerinatheka semiinvoluta,Subbotina venezuelana,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  1,H,CC,  22.00,      9.4000,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                  ,F              ,F                ,                     ,                  ,P                        ,                      ,                        ,F                     ,                    ,                             ,                      ,                      ,                       ,                     ,P                            ,F                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  2,H,CC,  22.00,     19.4300,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,F                          ,                      ,F                  ,F              ,F                ,                     ,                  ,R                        ,                      ,                        ,F                     ,                    ,                             ,                      ,                      ,                       ,R                    ,P                            ,F                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  3,H,CC,  27.00,     29.1200,Bellier  ,Planktonic Foraminifers                      ,C              ,G                 ,R                          ,                      ,F                  ,F              ,F                ,                     ,                  ,R                        ,                      ,                        ,F                     ,                    ,                             ,                      ,                      ,R                      ,                     ,P                            ,R                    ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  4,H,CC,  14.00,     38.4200,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,R                          ,                      ,F                  ,F              ,F                ,                     ,                  ,                         ,                      ,                        ,F                     ,                    ,                             ,                      ,                      ,R                      ,P                    ,R                            ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,Middle Eocene    ,Late Eocene      ,                  ,P15           ,171,1052,F,  5,H,CC,  26.00,     47.9700,Bellier  ,Planktonic Foraminifers                      ,A              ,G                 ,F                          ,                      ,F                  ,F              ,F                ,                     ,                  ,R                        ,                      ,                        ,F                     ,                    ,F                            ,F                     ,                      ,R                      ,                     ,                             ,                     ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
