Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Cytherella cf. serratula,Krithe sp.,gen. 2 sp.,Paranesidea sp.,Pseudobosquetina mucronalatum,Poseidonamicus major,Henryhowella melobesioides,Buntonia mackenziei,Bradleya dictyon,Agrenocythere spinoza,gen. 1 sp.,gen. 3 sp.,Buntonia cf. rosenfeldi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN14b             ,              ,159, 959,A,  1,H, 4,  60.00,      5.1000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,+         ,          ,               ,                             ,                    ,+                         ,+                  ,                ,                     ,+         ,+         ,+                      ,Identified valves = 11. Total valves = 13. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Quaternary       ,                 ,CN13a             ,              ,159, 959,A,  2,H, 4,  60.00,     14.2000,Guernet  ,Ostracodes                                   ,               ,                  ,+                       ,          ,          ,               ,                             ,+                   ,+                         ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 3. Total valves = 6. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12c             ,              ,159, 959,A,  3,H, 4,  60.00,     23.7000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,          ,          ,               ,                             ,                    ,+                         ,                   ,                ,                     ,+         ,          ,                       ,Identified valves = 3. Total valves = 3. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN12a             ,              ,159, 959,A,  4,H, 4,  60.00,     33.2000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,+              ,+                            ,                    ,                          ,                   ,                ,                     ,+         ,          ,                       ,Identified valves = 4. Total valves = 4. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN11b             ,              ,159, 959,A,  5,H, 4,  60.00,     42.7000,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,               ,+                            ,                    ,                          ,                   ,                ,                     ,          ,          ,                       ,Identified valves = 3. Total valves = 3. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,CN11a             ,              ,159, 959,A,  6,H, 4,  58.00,     52.1800,Guernet  ,Ostracodes                                   ,               ,                  ,                        ,+         ,          ,+              ,                             ,                    ,                          ,                   ,+               ,+                    ,          ,          ,                       ,Identified valves = 7. Total valves = 7. From Leg 159SR Ch 38 Table 1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
