Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tehamadinium tenuiceras	Tehamadinium mazaganensis	Tanyosphaeridium variecalamus	Spiniferites scabratus	Spiniferites ramosus reticulatus	Spiniferites ramosus ramosus	Pterodinium cingulatum cingulatum	Pterodinium cf cornutum	Protoellipsodinium conulum	Pervosphaeridium truncatum	Pervosphaeridium paucispinum	Palaeohystrichophora infusoriodes	Oligosphaeridium complex	Oligosphaeridium ?asterigerum	Odontochitina operculata	Odontochitina costata	Litosphaeridium conispinum	Litosphaeridium arundum	Kleithriasphaeridium tubulosum	Hystrichodinium pulchrum densispinum	Gonyaulacysta cassidata	Dinopterygium cladoides	Danea chibanis	Cyclonephelium compactum	Cyclonephelium chabaca	Cribroperidinium intricatum	Coronifera striolata	Codoniella psygma	Chlamydophorella nyei	Cassiculosphaeridia reticulata	Canningia sp A. MPK 	Ascodinium diversum	Spiniferites multibrevis	Spiniferites hyperacanthus	Pterodinium cingulatum granulatum	Dapsilidinium laminaspinosum	Coronifera oceanica	Chlamydophorella discreta	Adnatosphaeridium tutulosum	Xiphophoridium alatum	Subtilisphaera? habibi	Scriniodinium attadalense	Protoellipsodinium seghire	Maghrebinia chleuh	Kiokansium williamsii	Florentinia mantellii	Ascodinium verrucosum verrucosum	Ascodinium implanum	Achomosphaera ramulifera	Xenascus plotei	Systematophora? sp. MAZ 	Spiniferites lenzii	Prolixosphaeridium parvispinum	Aldorfia deflandrei	Hapsocysta peridictya	Pterodinium cingulatum intermedium	Litosphaeridium siphoniphorum	Epelidosphaeridia spinosa	Callaoisphaeridium asymmetricum	Achomosphaera sagena	Oligosphaeridium pulcherrimum	Maghrebinia perforata mirabilia	Dinoflagellate Forma B	Compositosphaeridium? bahamaensis	Achomosphaera triangulata	Comment



  SR	Cenomanian       	                 	                  	              	101	 635	B	  8	R	CC	  16.00	     63.2600	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	                         	                             	                      	                                	R                           	R                                	                       	                          	R                         	R                           	                                 	                        	R                            	R                       	                     	                          	                       	                              	                                    	                       	                       	              	                        	R                     	                           	                    	                 	                     	                              	R                   	                   	R                       	                          	                                 	                            	                   	                         	                           	R                    	                      	                         	                          	                  	                     	                     	R                               	                   	                        	               	                        	R                  	                              	                   	                     	                                  	F                            	                         	R                              	                    	                             	                               	R                     	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Cenomanian       	                 	                  	              	101	 635	B	  9	R	 1	  53.00	     71.1300	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	                         	                             	                      	                                	                            	                                 	                       	                          	                          	                            	                                 	                        	                             	                        	                     	R                         	                       	                              	                                    	                       	                       	              	                        	                      	                           	                    	                 	                     	                              	                    	R                  	                        	                          	                                 	                            	                   	                         	                           	                     	                      	                         	                          	                  	                     	                     	                                	                   	                        	               	                        	                   	                              	                   	                     	                                  	R                            	                         	                               	                    	                             	                               	                      	                                 	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Cenomanian       	                 	                  	              	101	 635	B	 10	R	 2	  75.00	     82.3500	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	                         	                             	                      	                                	                            	                                 	                       	                          	                          	                            	                                 	R                       	                             	                        	R                    	                          	                       	                              	R                                   	                       	                       	              	                        	                      	R                          	                    	                 	                     	                              	F                   	                   	                        	R                         	                                 	R                           	                   	                         	                           	                     	                      	                         	                          	R                 	                     	                     	                                	R                  	                        	               	                        	                   	                              	                   	                     	                                  	R                            	                         	                               	F                   	                             	                               	R                     	R                                	                         	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125

  SR	Cenomanian       	                 	                  	              	101	 635	B	 11	R	 1	  78.00	     90.3800	Masure   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	                       	                         	                             	                      	                                	                            	                                 	                       	                          	                          	                            	R                                	                        	R                            	                        	                     	R                         	                       	                              	                                    	                       	                       	              	R                       	R                     	                           	                    	                 	                     	                              	                    	                   	                        	                          	                                 	                            	R                  	                         	R                          	                     	                      	                         	R                         	                  	R                    	                     	                                	                   	                        	R              	                        	                   	                              	                   	                     	                                  	R                            	                         	R                              	R                   	R                            	R                              	R                     	R                                	R                        	from Masure; ODP 101 SR Chapter 7 Figure 3 p 125
