Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Tylote (spined taxa),Tylostyle taxa,Strongyle taxa,"Sponge or Orosphaerid (""branches"")",Spine (straight and rough),Spheraster taxa,Rhax taxa,Plagiodichotriaene taxa,Phyllotriaene taxa,Oxea taxa,Oxea (spined taxa),Orthodichotriaene taxa,Mesh taxa,Hexactines  taxa,Dictyonine (fragments),Desma taxa,Caltrop taxa,Anatriaene taxa,Subtylostyle taxa,Protriaene taxa,Diplagiodichotriaene taxa,Curved spine (rough),Sterraster taxa,Plagiotriaene taxa,Calthrop  (spined taxa) ,Style taxa,Toxon taxa,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 14,H, 4, 106.00,    122.9600,Palmer-Julson,Sponge Spicules                              ,               ,                  ,                    ,F             ,R             ,                                  ,                          ,F              ,         ,C                      ,F                 ,A        ,                  ,R                     ,         ,                ,                      ,F         ,A           ,R              ,                 ,R              ,R                        ,                    ,               ,R                 ,                        ,C         ,R         ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 15,H, 3, 100.00,    131.0000,Palmer-Julson,Sponge Spicules                              ,               ,                  ,                    ,R             ,C             ,                                  ,                          ,R              ,         ,R                      ,F                 ,R        ,R                 ,R                     ,         ,                ,                      ,C         ,A           ,R              ,                 ,R              ,C                        ,                    ,R              ,                  ,                        ,F         ,          ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 16,H, 1, 105.00,    137.6500,Palmer-Julson,Sponge Spicules                              ,               ,                  ,R                   ,              ,R             ,A                                 ,                          ,               ,R        ,A                      ,R                 ,R        ,R                 ,R                     ,R        ,R               ,R                     ,F         ,R           ,R              ,                 ,               ,                         ,F                   ,               ,                  ,R                       ,          ,          ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 17,H, 1, 105.00,    147.1500,Palmer-Julson,Sponge Spicules                              ,               ,                  ,F                   ,              ,R             ,A                                 ,R                         ,R              ,F        ,C                      ,R                 ,R        ,R                 ,R                     ,F        ,R               ,R                     ,F         ,F           ,R              ,                 ,               ,                         ,                    ,R              ,R                 ,                        ,          ,          ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 18,H, 1, 105.00,    156.7500,Palmer-Julson,Sponge Spicules                              ,               ,                  ,                    ,R             ,R             ,A                                 ,                          ,R              ,R        ,F                      ,F                 ,C        ,R                 ,R                     ,F        ,R               ,F                     ,F         ,R           ,R              ,R                ,F              ,R                        ,C                   ,               ,                  ,                        ,          ,          ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,101, 628,A, 19,H, 1,  50.00,    165.7000,Palmer-Julson,Sponge Spicules                              ,               ,                  ,R                   ,R             ,F             ,A                                 ,R                         ,R              ,R        ,C                      ,R                 ,R        ,R                 ,R                     ,R        ,R               ,F                     ,F         ,R           ,R              ,                 ,               ,                         ,                    ,               ,                  ,                        ,          ,          ,from Palmer; ODP 101 SR Chapter 10 Figure 2 p 161
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
