Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spongotrochus glacialis,Pseudocubus vema,Phorticium clevei,Eucyrtidium calvertense,Desmospyris spongiosa,Cycladophora pliocenica,Antarctissa robusta,Antarctissa cylindrica,Botryopera triloba,Antarctissa denticulata,Saccospyris praeantarctica,Rhizosphaera antarctica,Ceratocyrtis histricosa,Triceraspyris antarctica,Saccospyris conithorax,Saccospyris antarctica,Cycladophora davisiana,Gondwanaria dogieli,Antarctissa strelkovi,Lithelius nautiloides,Pterocanium trilobum,Prunopyle antarctica,Phormostichoartus multiseriatus,Cycladophora bicornis,Phormostichoartus furcaspiculata,Spongodiscus osculosus,Plectacantha sp.,Botryostrobus tumidulus,Mitrocalpis araneafera,Eucyrtidium teuscheri teuscheri,Actinomma delicatulum,Theocorys redondoensis,Pterocorys clausus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  2,H, 2,  53.00,     11.0300,Caulet   ,Radiolarians                                 ,A              ,G                 ,                       ,                ,                 ,                       ,                     ,                       ,                   ,                      ,A                 ,A                      ,                          ,                       ,                       ,R                       ,R                     ,R                     ,R                     ,                   ,R                    ,                     ,                    ,                    ,F                              ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  2,H,CC,  14.00,     14.2700,Caulet   ,Radiolarians                                 ,C              ,G                 ,A                      ,                ,C                ,                       ,                     ,                       ,                   ,                      ,A                 ,                       ,                          ,C                      ,                       ,C                       ,                      ,C                     ,                      ,                   ,R                    ,R                    ,                    ,                    ,                               ,C                    ,                                ,                      ,                ,                       ,R                     ,R                              ,                     ,                      ,R                 ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  3,H,CC,  19.00,     24.8200,Caulet   ,Radiolarians                                 ,F              ,M                 ,C                      ,                ,                 ,                       ,                     ,                       ,                   ,                      ,                  ,A                      ,                          ,                       ,                       ,                        ,                      ,                      ,                      ,                   ,R                    ,R                    ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,                      ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,A. denticulata Zone,              ,119, 736,A,  4,H,CC,  33.00,     32.9400,Caulet   ,Radiolarians                                 ,F              ,G                 ,C                      ,                ,                 ,                       ,                     ,                       ,                   ,                      ,                  ,A                      ,                          ,                       ,                       ,C                       ,                      ,C                     ,                      ,                   ,                     ,                     ,                    ,                    ,                               ,                     ,                                ,                      ,                ,                       ,R                     ,                               ,                     ,                      ,                  ,from 119 SR Chapter 28 Table 1 page 515.
