Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Stichocorys wolffii	Stichocorys delmontensis	Diartus petterssoni	Diartus hughesi	Cyrtocapsella japonica	Botryostrobus miralestensis	Siphostichartus corona	Calocycletta caepa	Stichocorys johnsoni	Solenosphaera omnitubus omnitubus	Stichocorys peregrina	Theocorythium vetulum	Stylatractus universus	Pterocanium prismatium	Phormostichoartus fistula	Phormostichoartus doliolum	Lychnodictyum audax	Didymocyrtis penultima	Anthocyrtidium pliocenica	Anthocyrtidium jenghisi	Spongaster tetras	Amphirhopalum ypsilon	Theocorythium trachelium trachelium	Lamprocyrtis heteroporos	Theocalyptra davisiana	Lamprocyrtis neoheteroporos	Pterocorys minythorax	Anthocyrtidium angulare	Lamprocyrtis nigriniae	Collosphaera tuberosa	Comment



  SR	                 	                 	RN16              	              	138	 848	B	  1	H	 1	 110.00	      1.1000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	                      	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	R                    	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	RN16              	              	138	 848	B	  1	H	CC	  12.00	      2.2000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	-                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	R                    	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	RN16              	              	138	 848	B	  2	H	 1	  60.00	      2.8000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	-                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	R                    	Reworked older fauna = Trace; from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P12               	              	138	 848	B	  2	H	 2	  60.00	      4.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	R                    	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

  SR	                 	                 	P12               	              	138	 848	B	  2	H	 3	 110.00	      6.3000	Moore    	Radiolarians                                 	A              	G                 	                   	                        	                   	               	                      	                           	                      	                  	                    	                                 	                     	                     	R                     	                      	                         	                          	                   	                      	                         	                       	R                	R                    	R                                  	                        	R                     	                           	R                    	                       	R                     	R                    	from ODP Leg 138 SR Chapter 11 Fig 5 pp 206-207

