Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),,Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Stoverius achylosus,Rhagodiscus asper,Prediscosphaera columnata,Microstaurus chiastius,Gephyrorhabdus coronadventis,Flabellites oblongus,Eiffellithus turriseiffelii,Axopodorhabdus dietzmannii,Rucinolithus irregularis,Radiolithus planus,Gartnerago praeobliquum,Braarudosphaera stenorhetha,Tranolithus phacelosus,Eprolithus floralis,Watznaueria britannica,Parhabdolithus achylostaurion,Lithraphidites alatus,Braarudosphaera africana,Nannoconus truitti ssp rectangularis,Nannoconus truitti,Lithraphidites acutum spp. eccentricum,Corollithion kennedyi,Axopodorhabdus albianus,Rhagodiscus angustus,Quadrum intermedium,Quadrum gartneri,Lithastrinus moratus,Quadrum eneabrachium,Microrhabdulus decoratus,Eprolithus eptapetalus,Nannoconus elongatus,Micula decussata,Marthasterites furcatus,Lithastrinus septenarius,Eiffellithus eximius,Reinhardtites anthophorus,Lithastrinus grillii,Ceratolithoides verbeekii,Aspidolithus parcus parcus,Aspidolithus parcus constrictus,Quadrum sissinghii,Ceratolithoides aculeus,Rucinolithus magnus,Reinhardtites levis,Quadrum gothicum,Prediscosphaera grandis,Arkhangelskiella specillata,Micula murus,Lithraphidites quadratus,Arkhangelskiella cymbiformis,Lithraphidites praequadratus,Lithraphidites kennethii,Lithraphidites grossopectinatus,Lithraphidites carniolensis carniolensis,Prediscosphaera majungae,Micula prinsii,Pseudomicula quadrata,Ceratolithoides kamptneri,Nannoconus kamptneri,Thoracosphaera operculata,Cruciplacolithus primus,Braarudosphaera bigelowii,Thoracosphaera spp.,Octolithus multiplus,Neobiscutum romeinii,Neobiscutum parvulum,Neocrepidolithus neocrassus,Placozygus sigmoides,Markalius inversus,Biantholithus sparsus,Prinsius petalosus,Neochiastozygus primitivus,Cyclagelosphaera reinhardtii,Cruciplacolithus primus (small),Chiastozygus ultimus,Prinsius dimorphosus,Cruciplacolithus tenuis,Cruciplacolithus edwardsii,Neochiastozygus saepes,Ericsonia robusta,Chiasmolithus danicus,Ellipsolithus macellus,Prinsius bisulcus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP3,,171,1050,C,2,R,CC,20.00,336.9700,Watkins  ,Nannofossils                                 ,A              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,+                      ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,+                      ,+                         ,                      ,                 ,                     ,+                     ,+                ,No Sphenolithus or Fasciculiths
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP3,,171,1050,C,3,R,CC,0.00,343.4600,Watkins  ,Nannofossils                                 ,A              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,+                      ,                         ,                   ,                    ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,+                      ,+                         ,                      ,+                ,+                    ,+                     ,+                ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,CP3,,171,1050,C,4,R,6,61.00,354.4100,Watkins  ,Nannofossils                                 ,C              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,+                      ,                         ,                   ,+                   ,                    ,                    ,                           ,                    ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,+                      ,+                         ,                      ,+                ,                     ,+                     ,                 ,Cretaceous reworking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,Early Paleocene  ,                  ,              ,,171,1050,C,5,R,CC,25.00,364.1000,Mita     ,Nannofossils                                 ,R              ,M                 ,                   ,                 ,                         ,                      ,                            ,                    ,                           ,                          ,                        ,                  ,                       ,                           ,                      ,                   ,                      ,                             ,                     ,                        ,                                    ,                  ,                                      ,                     ,                       ,                    ,                   ,                ,                    ,                    ,                        ,                      ,                    ,                ,                       ,                        ,                    ,                         ,                    ,                         ,                          ,                               ,                  ,                       ,                   ,                   ,                ,                       ,                           ,            ,                        ,                            ,                            ,                        ,                               ,                                        ,                        ,              ,                     ,                         ,                    ,                         ,                       ,                         ,                   ,                    ,                    ,                    ,                           ,R                   ,                  ,                     ,                  ,                          ,                            ,                               ,                    ,                    ,R                      ,+                         ,R                     ,R                ,+                    ,                      ,                 ,"ground material rich ,no Ellipsolithus Zone CP2"
