Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Thalassiothrix longissima	Thalassiosira trifulta	Thalassiosira oestrupii	Thalassiosira gravida vegetative	Rhizosolenia hebetata f. hebetata	Proboscia curvirostris	Navicula spp.	Chaetoceros spp. (resting spores)	Thalassiosira gravida spore	Rhizosolenia hebetata f. semispina	Actinocyclus curvatulus	Stephanopyxis turris	Porosira glacialis	Paralia sulcata	Thalassiosira nidulus	Nitzschia grunowii	Biddulphia spp.	Thalassiosira anguste-lineata	Thalassionema nitzschioides	Coscinodiscus marginatus	Bacterosira fragilis	Thalassiosira nordenskioeldii	Thalassiosira decipiens	Detonula confervacea	Thalassiosira hyalina	Rhaphoneis spp.	Coscinodiscus asteromphalus	Nitzschia cylindrica	Nitzschia panduriformis	Coscinodiscus oculus-iridis	Coscinodiscus radiatus	Rhizosolenia styliformis	Proboscia alata	Comment



  SR	                 	                 	                  	              	152	 919	A	  1	H	 1	  41.00	      0.4100	Koc      	Diatoms                                      	C              	G                 	C                        	F                     	R                      	C                               	                                 	                      	R            	C                                	C                          	                                  	C                      	                    	R                 	R              	                     	R                 	R              	R                            	                           	F                       	R                   	R                            	                       	                    	R                    	               	R                          	                    	                       	                           	R                     	R                       	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  1	H	 5	  41.00	      6.4100	Koc      	Diatoms                                      	A              	G                 	C                        	C                     	R                      	C                               	                                 	                      	R            	A                                	C                          	                                  	F                      	                    	                  	               	                     	                  	               	R                            	                           	                        	R                   	                             	                       	C                   	F                    	               	R                          	R                   	                       	                           	                      	R                       	R              	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  2	H	 1	  41.00	      8.4100	Koc      	Diatoms                                      	C              	G                 	F                        	C                     	                       	C                               	                                 	                      	             	F                                	C                          	                                  	C                      	                    	R                 	               	                     	R                 	               	F                            	                           	                        	R                   	                             	                       	C                   	R                    	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  2	H	 2	  40.00	      9.9000	Koc      	Diatoms                                      	A              	G                 	C                        	R                     	R                      	C                               	                                 	                      	R            	F                                	F                          	                                  	C                      	                    	R                 	R              	                     	F                 	R              	R                            	                           	                        	                    	R                            	                       	C                   	R                    	               	                           	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

  SR	                 	                 	                  	              	152	 919	A	  2	H	 3	  41.00	     11.4100	Koc      	Diatoms                                      	C              	M                 	F                        	C                     	R                      	C                               	R                                	                      	             	F                                	C                          	                                  	C                      	                    	R                 	R              	                     	R                 	               	R                            	                           	R                       	R                   	                             	                       	R                   	R                    	               	R                          	                    	                       	                           	                      	                        	               	From Leg 152  sr; Ch 15; Table 1; p 212-213

