Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Lychnocanoma nipponica nipponica	Eucyrtidium cienkowskii	Cyrtocapsella japonica	Cyrtocapsella tetrapera	Theocorys redondoensis	Stylacontarium acquilonium	Stichocorys peregrina	Dictyophimus splendens	Stichocorys spp. group	Stichocorys delmontensis	Ommatartus sp C	Eucyrtidium pseudoinflatum	Lychnocanoma grande	Eucyrtidium biconicum	Diartus aff. hughesi	Amphymenium challengerae	Desmospyris spongiosa	Stylatractus universus	Cycladophora pliocenica	Spongoplegma antarcticum	Pseudocubus vema	Antarctissa strelkovi	Antarctissa sp. G	Antarctissa denticulata	Spongoplegma medianum	Didymocyrtis tetrathalamus tetrathalamus	Comment



  IR	                 	                 	                  	              	189	1171	A	  1	H	CC	   8.00	      7.0200	rads     	Radiolarians                                 	C              	VG                	                                	                       	                      	                       	                      	                          	                     	                      	                      	                        	               	                          	                   	                     	                    	                        	                     	C                     	                       	F                       	                	F                    	                 	C                      	                     	                                        	typical Antarctic fauna

  IR	                 	                 	                  	              	189	1171	A	  2	H	CC	  18.00	     16.1000	rads     	Radiolarians                                 	C              	VG                	                                	F                      	                      	                       	                      	R                         	                     	                      	T                     	                        	               	                          	                   	                     	                    	                        	                     	R                     	                       	F                       	                	F                    	                 	                       	T                    	T                                       	Lacking Ant. and Cyc.  one Artiscinae. temp?

  IR	                 	                 	                  	              	189	1171	A	  3	H	CC	  17.00	     24.7600	rads     	Radiolarians                                 	C              	VG                	                                	                       	                      	                       	                      	R                         	R                    	                      	R                     	                        	               	                          	                   	F                    	                    	                        	                     	R                     	C                      	F                       	                	R                    	T                	F                      	                     	                                        	2/3 LO Ant. sp. G

  IR	                 	                 	                  	              	189	1171	A	  4	H	CC	  20.00	     35.7800	rads     	Radiolarians                                 	C              	VG                	                                	R                      	                      	                       	                      	F                         	                     	                      	                      	                        	               	                          	                   	C                    	                    	                        	F                    	                      	F                      	R                       	F               	                     	                 	                       	                     	                                        	3/4 LO P vema

  IR	                 	                 	                  	              	189	1171	A	  5	H	CC	  18.00	     45.3600	rads     	Radiolarians                                 	C              	VG                	                                	                       	                      	                       	                      	F                         	T                    	                      	T                     	                        	               	                          	                   	F                    	                    	                        	F                    	T                     	F                      	                        	                	                     	                 	                       	                     	                                        	4/5 FO P vema

  IR	                 	                 	                  	              	189	1171	A	  6	H	CC	  17.00	     55.1700	rads     	Radiolarians                                 	F              	G                 	                                	                       	                      	                       	                      	F                         	F                    	                      	F                     	                        	               	                          	R                  	R                    	                    	                        	R                    	                      	                       	                        	                	                     	                 	                       	                     	                                        	5/6 LCO Lyc grande

  IR	                 	                 	                  	              	189	1171	A	  7	H	CC	  25.00	     64.2000	rads     	Radiolarians                                 	C              	G                 	                                	                       	                      	                       	                      	F                         	C                    	T                     	C                     	F                       	               	                          	F                  	F                    	F                   	C                       	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	6/7 LO Am challengerae. temperate

  IR	                 	                 	                  	              	189	1171	A	  8	H	CC	  14.00	     73.0500	rads     	Radiolarians                                 	C              	G                 	F                               	                       	                      	                       	                      	R                         	A                    	T                     	A                     	C                       	               	                          	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	7/8 FO Am challengerae. temperate

  IR	                 	                 	                  	              	189	1171	A	  9	H	CC	  19.00	     82.4000	rads     	Radiolarians                                 	C              	G                 	R                               	R                      	T                     	                       	                      	R                         	R                    	R                     	R                     	R                       	F              	T                         	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	temperate

  IR	                 	                 	                  	              	189	1171	A	 10	H	CC	  14.00	     92.6600	rads     	Radiolarians                                 	C              	G                 	R                               	R                      	R                     	                       	                      	F                         	F                    	R                     	                      	                        	               	                          	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	non antarctic

  IR	                 	                 	                  	              	189	1171	A	 11	H	CC	  13.00	    102.4900	rads     	Radiolarians                                 	C              	G                 	R                               	R                      	F                     	                       	                      	                          	                     	                      	                      	                        	               	                          	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	10/11 FO D splendeus. non-antarctic

  IR	                 	                 	                  	              	189	1171	A	 12	H	CC	   5.00	    110.6200	rads     	Radiolarians                                 	C              	G                 	T                               	T                      	A                     	                       	T                     	                          	                     	                      	                      	                        	               	                          	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	11/12 RD C japonica, non-antarctic

  IR	                 	                 	                  	              	189	1171	A	 13	X	CC	  20.00	    113.6600	rads     	Radiolarians                                 	F              	M                 	T                               	R                      	C                     	T                      	                      	                          	                     	                      	                      	                        	               	                          	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	       

  IR	                 	                 	                  	              	189	1171	A	 14	X	CC	  15.00	    120.5300	rads     	Radiolarians                                 	C              	G                 	T                               	T                      	A                     	                       	                      	                          	                     	                      	                      	                        	               	                          	                   	                     	                    	                        	                     	                      	                       	                        	                	                     	                 	                       	                     	                                        	       

