Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Paragloborotalia nympha	Paragloborotalia mayeri	Paragloborotalia continuosa	Globorotalia panda	Globorotalia miotumida	Globorotalia juanai	Globorotalia conoidea	Globigerinita uvula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Orbulina universa	Globoturborotalita woodi	Globoturborotalita decoraperta	Globoturborotalita apertura	Globorotalia paralenguaensis	Globorotalia limbata	Paragloborotalia nana	Globoturborotalita nepenthes	Globorotalia miozea	Globorotalia conomiozea	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma	Globorotalia sphericomiozea	Globorotalia puncticuloides	Globorotalia puncticulata	Globigerina falconensis	Globorotalia scitula	Globorotalia crassula	Globorotalia crassaformis	Globorotalia inflata	Globorotalia crassaconica	Globigerina umbilicata	Globigerina calida	Globorotalia tosaensis	Globorotalia crassacarina	Globigerinella aequilateralis	Globorotalia truncatulinoides	Globorotalia triangula	Comment



  IR	                 	                 	                  	SN14          	189	1171	A	  1	H	CC	   8.00	      7.0200	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                       	                           	                  	                      	                   	                     	                   	+                      	+                      	+                    	+                	                        	                              	                           	                            	                    	                     	                            	                   	                       	+                                      	                           	                           	                           	                         	+                      	+                   	+                    	+                        	+                   	                         	+                     	+                 	                      	+                        	                             	+                            	+                     	Gr. truncatulinoides rare (1 specimen)

  IR	                 	                 	                  	SN13          	189	1171	A	  2	H	CC	  18.00	     16.1000	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                       	                           	                  	                      	                   	                     	                   	+                      	+                      	+                    	+                	                        	                              	                           	                            	                    	                     	                            	                   	                       	+                                      	                           	                           	                           	                         	+                      	+                   	+                    	+                        	+                   	+                        	+                     	                  	+                     	+                        	+                            	                             	                      	Gr. truncatulinoides extremely rare or altogether absent; not reliable datum!

  IR	                 	                 	                  	SN13          	189	1171	A	  3	H	CC	  17.00	     24.7600	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                       	                           	                  	                      	                   	                     	+                  	+                      	+                      	+                    	+                	                        	                              	                           	                            	                    	                     	                            	                   	                       	+                                      	                           	                           	                           	                         	+                      	+                   	+                    	+                        	+                   	+                        	+                     	+                 	                      	                         	                             	                             	                      	       

  IR	                 	                 	                  	SN12b         	189	1171	A	  4	H	CC	  20.00	     35.7800	forams   	Planktonic Foraminifers                      	A              	VG                	                       	                       	                           	                  	                      	                   	                     	                   	+                      	+                      	+                    	                 	                        	                              	                           	                            	                    	                     	                            	                   	                       	+                                      	                           	                           	+                          	+                        	+                      	+                   	+                    	+                        	                    	                         	                      	                  	                      	                         	                             	                             	                      	       

