Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra gelida	Coccolithus pelagicus	Coccolithus miopelagicus	Calcidiscus macintyrei	Calcidiscus leptoporus	Reticulofenestra perplexa	Reticulofenestra pseudoumbilica	Helicosphaera spp.	Sphenolithus moriformis	Discoaster spp.	Triquetrorhabdulus rugosus	Reticulofenestra minuta	Discoaster surculus	Discoaster asymmetricus	Amaurolithus delicatus	Pseudoemiliania lacunosa	Gephyrocapsa > 4.5	Comment



  IR	                 	                 	                  	              	189	1171	A	  1	H	CC	   8.00	      7.0200	nannos   	Nannofossils                                 	A              	G                 	                       	                     	                        	                      	                      	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	A                 	       

  IR	                 	                 	                  	              	189	1171	A	  2	H	CC	  18.00	     16.1000	nannos   	Nannofossils                                 	A              	G                 	                       	A                    	                        	                      	A                     	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	A                 	       

  IR	                 	                 	                  	              	189	1171	A	  3	H	CC	  17.00	     24.7600	nannos   	Nannofossils                                 	A              	G                 	                       	A                    	                        	C                     	                      	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	F                       	                  	       

  IR	                 	                 	                  	              	189	1171	A	  4	H	CC	  20.00	     35.7800	nannos   	Nannofossils                                 	A              	G                 	F                      	C                    	                        	C                     	C                     	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	  5	H	CC	  18.00	     45.3600	nannos   	Nannofossils                                 	A              	G                 	F                      	                     	                        	C                     	                      	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	  6	H	CC	  17.00	     55.1700	nannos   	Nannofossils                                 	A              	G                 	C                      	                     	                        	C                     	A                     	                         	                               	                  	                       	               	                          	                       	R                  	R                      	R                     	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	  7	H	CC	  25.00	     64.2000	nannos   	Nannofossils                                 	A              	G                 	                       	C                    	                        	                      	                      	                         	                               	                  	                       	R              	                          	D                      	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	  8	H	CC	  14.00	     73.0500	nannos   	Nannofossils                                 	A              	G                 	A                      	                     	                        	C                     	                      	                         	                               	                  	                       	               	F                         	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	  9	H	CC	  19.00	     82.4000	nannos   	Nannofossils                                 	A              	G                 	D                      	                     	                        	C                     	                      	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	 10	H	CC	  14.00	     92.6600	nannos   	Nannofossils                                 	A              	G                 	A                      	                     	                        	C                     	C                     	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	 11	H	CC	  13.00	    102.4900	nannos   	Nannofossils                                 	A              	M                 	A                      	A                    	                        	A                     	A                     	                         	C                              	                  	F                      	F              	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	 12	H	CC	   5.00	    110.6200	nannos   	Nannofossils                                 	A              	M                 	D                      	A                    	                        	C                     	C                     	                         	F                              	R                 	                       	               	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	 13	X	CC	  20.00	    113.6600	nannos   	Nannofossils                                 	A              	M                 	D                      	F                    	                        	F                     	C                     	C                        	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	                  	       

  IR	                 	                 	                  	              	189	1171	A	 14	X	CC	  15.00	    120.5300	nannos   	Nannofossils                                 	A              	M                 	A                      	C                    	A                       	F                     	C                     	                         	                               	                  	                       	               	                          	                       	                   	                       	                      	                        	                  	       

