Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group,Group Abundance,Group Preservation,Sphaeroidinella dehiscens,Globorotalia tumida,Globorotalia crassaformis,Globigerinoides trilobus,Globigerinoides quadrilobatus,Globigerinoides ruber,Sphaeroidinella dehiscens s.l.,Pulleniatina primalis,Orbulina universa,Neogloboquadrina humerosa,Globigerinoides sacculifer,Globigerinoides extremus,Globigerinoides conglobatus,Pulleniatina obliquiloculata,Neogloboquadrina acostaensis,Globorotalia margaritae,Globigerinoides fistulosus,Globigerinella siphonifera,Dentoglobigerina altispira,Pulleniatina praecursor,Globorotalia menardii,Neogloboquadrina dutertrei,Comment
IR,,,,,180,1116,A,1,R,1,106.00,1.0600,Resig,Planktonic Foraminifers,F,M,,F,,F,,F,,,R,F,R,,F,R,,,,,,,,,
IR,,Late Pliocene,,N21,180,1116,A,2,R,CC,16.00,8.0500,Perembo,Planktonic Foraminifers,A,M,F,F,F,R,F,R,,,R,A,,,,A,,,F,R,,,F,R,
IR,,Late Pliocene,N20,N21,180,1116,A,4,R,CC,22.00,26.2700,Perembo,Planktonic Foraminifers,C,M,R,,F,F,F,F,,,R,A,F,R,F,A,A,,,F,,,R,,
IR,,Pliocene,N19,N20,180,1116,A,5,R,1,133.00,35.1300,Resig,Planktonic Foraminifers,F,M,R,,,F,,,,,,F,R,,,R,,,,,,,,,
IR,,,,,180,1116,A,7,R,CC,27.00,48.8900,Resig,Planktonic Foraminifers,R,P,,,,,,R,,,,,,,,,R,,,,,,,,
IR,,Pliocene,,N20,180,1116,A,9,R,CC,23.00,64.3400,Perembo,Planktonic Foraminifers,C,P,R,R,R,F,F,,,,,F,,,,R,,,,,,,,,
IR,,,,,180,1116,A,12,R,1,17.00,91.5700,Perembo,Planktonic Foraminifers,R,P,,,,R,R,R,,,,F,,R,,,,,,,,,,,
IR,,Late Pliocene,N20,N21,180,1116,A,13,R,CC,31.00,104.1200,Resig,Planktonic Foraminifers,C,M,F,F,R,F,F,F,,,R,F,F,F,F,,,,F,,,F,,,
IR,,Late Pliocene,N20,N21,180,1116,A,14,R,CC,20.00,112.1100,Resig,Planktonic Foraminifers,F,P,R,,,F,,F,,,R,F,,F,,,,,R,,,,,,
IR,,Late Pliocene,N20,N21,180,1116,A,15,R,2,9.00,121.5600,Perembo,Planktonic Foraminifers,A,M,R,R,F,A,A,,,,F,A,F,,F,A,F,R,R,F,R,,,,
IR,,Pliocene,,N20,180,1116,A,15,R,CC,31.00,123.8600,Resig,Planktonic Foraminifers,C,M,,F,F,,,R,R,F,R,F,F,R,R,,,,,,,,,,
IR,,,,,180,1116,A,16,R,CC,9.00,136.1400,Resig,Planktonic Foraminifers,R,P,,R,,,R,R,,,,,,,,,,,,,,,,,age is indeterminate
IR,,Pliocene,,N20,180,1116,A,17,R,CC,18.00,142.6600,Perembo,Planktonic Foraminifers,R,P,R,R,R,R,R,,,,,,,,,,,,,,,,,,
