Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra minutula,Reticulofenestra minuta,Reticulofenestra pseudoumbilica(5-7microns),Pseudoemiliania ovata,Pseudoemiliania lacunosa,Helicosphaera carteri var. walichii,Gephyrocapsa spp. (small),Florisphaera profunda,Discoaster spp.,Discoaster brouweri,Coccolithus pelagicus,Calcidiscus leptoporus,Sphenolithus spp.,Calcidiscus macintyrei,Helicosphaera carteri,Gephyrocapsa oceanica,Gephyrocapsa muellerae,Gephyrocapsa caribbeanica,Ceratolithus cristatus,Syracosphaera spp.,Coccolithus pelagicus (with bar),Pontosphaera multipora,Gephyrocapsa large,Helicosphaera sellii,Umbilicosphaera sibogae var. sibogae,Umbilicosphaera sibogae var. foliosa,Gephyrocapsa omega,Syracosphaera pulchra,Reticulofenestra spp.,Reticulofenestra pseudoumbilica (>7microns),Cyclolithus annulus,Pontosphaera japonica,Discoaster quinqueramus,Umbellosphaera tenuis,Umbilicosphaera rotula,Rhabdosphaera clavigera,Reticulofenestra asanoi,Pontosphaera discopora,Emiliania huxleyi,Ceratolithus cristatus var. telesmus,Scyphosphaera apsteinii,Rhabdosphaera clavigera var. stylifera,Scapholithus fossilis,Helicosphaera inversa,Umbilicosphaera hulburtiana,Discoaster variabilis,Neosphaera coccolithomorpha,Scyphosphaera spp.,Oolithotus fragilis,Braarudosphaera bigelowii,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1175,A,  1,H,CC,  21.00,      7.1100,Boeckel  ,Nannofossils                                 ,C              ,G                 ,                         ,                       ,                                           ,                     ,F                       ,                                   ,F                        ,A                    ,               ,                   ,                     ,C                     ,                 ,                      ,C                    ,A                    ,C                     ,                         ,R                     ,R                 ,                                ,                      ,                  ,                    ,C                                   ,C                                   ,                  ,F                    ,                     ,                                           ,R                  ,F                    ,                       ,F                    ,                      ,F                      ,                       ,                      ,D                ,                                    ,                       ,                                      ,                     ,                     ,                           ,                     ,                           ,                  ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN21              ,NN21          ,190,1175,A,  2,H,CC,  26.00,     16.1100,nannos   ,Nannofossils                                 ,C              ,VG                ,                         ,                       ,                                           ,                     ,                        ,F                                  ,A                        ,C                    ,               ,                   ,                     ,F                     ,                 ,                      ,C                    ,A                    ,C                     ,                         ,                      ,F                 ,F                               ,                      ,                  ,                    ,F                                   ,C                                   ,                  ,F                    ,F                    ,                                           ,                   ,F                    ,                       ,F                    ,                      ,F                      ,                       ,                      ,A                ,                                    ,                       ,                                      ,F                    ,                     ,F                          ,                     ,                           ,                  ,F                  ,F                        ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,190,1175,A,  3,H, 3,  75.00,     20.4500,Boeckel  ,Nannofossils                                 ,A              ,P                 ,                         ,                       ,                                           ,                     ,                        ,                                   ,                         ,A                    ,               ,                   ,                     ,F                     ,                 ,                      ,F                    ,C                    ,A                     ,                         ,R                     ,                  ,                                ,                      ,                  ,                    ,F                                   ,                                    ,                  ,F                    ,                     ,                                           ,F                  ,F                    ,                       ,F                    ,                      ,                       ,                       ,                      ,A                ,                                    ,                       ,                                      ,                     ,                     ,                           ,                     ,                           ,                  ,                   ,                         ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,NN21              ,NN21          ,190,1175,A,  3,H,CC,  22.00,     26.3900,nannos   ,Nannofossils                                 ,C              ,VG                ,                         ,                       ,                                           ,                     ,                        ,R                                  ,A                        ,A                    ,               ,                   ,                     ,F                     ,                 ,                      ,F                    ,A                    ,C                     ,                         ,                      ,F                 ,R                               ,                      ,                  ,                    ,C                                   ,C                                   ,                  ,F                    ,F                    ,                                           ,                   ,                     ,                       ,                     ,                      ,                       ,                       ,                      ,A                ,                                    ,                       ,                                      ,                     ,                     ,F                          ,                     ,                           ,                  ,                   ,                         ,       
