Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Placolith (small),Coccolithus pelagicus,Gephyrocapsa spp. (small),Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,B,  1,H,CC,  14.00,      2.0200,Olafsson ,Nannofossils                                 ,R              ,M                 ,                 ,R                    ,                         ,                         ,from Leg 145 SR; Ch 39; Table 15; p 632
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,B,  2,H,CC,  14.00,     11.8500,Olafsson ,Nannofossils                                 ,R              ,M                 ,                 ,R                    ,                         ,                         ,from Leg 145 SR; Ch 39; Table 15; p 632
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,B,  4,H, 3,  78.00,     24.7800,Olafsson ,Nannofossils                                 ,A              ,M                 ,                 ,F                    ,A                        ,R                        ,from Leg 145 SR; Ch 39; Table 15; p 632
,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,145, 887,B,  4,H,CC,  15.00,     30.5500,Olafsson ,Nannofossils                                 ,C              ,M                 ,F                ,C                    ,                         ,                         ,from Leg 145 SR; Ch 39; Table 15; p 632
,,,,,,,,,,,,,,,,,,,,,
