Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Valvulineria spp.,Stainforthia complanata,Globocassidulina spp.,Rosalina sp. A,Epistominella spp.,Elphidium spp.,Buliminella elegantissima,Nonionella spp.,Chilostomella oolina,Lagenid taxa,Gyroidina spp.,Epistominella cf. E. vitrea,Cibicides wuellerstorfi,Epistominella pacifica,Cassidulina laevigata carinata,Valvulineria laevigata,Valvulineria cf. V. inequalis,Triloculina sp. A,Suggrunda eckisi,Rutherfordoides sp. A,Globobulimina pacifica,Cassidulinoides spp.,Nonion sp.,Nonionellina labradorica,Chilostomellina fimbriata (?),Valvulineria sp. A,Stainforthia spp.,Globobulimina ovula,Eponides turgida,Cibicidoides sp. A,Pullenia bulloides,Cibicidoides spp.,Melonis pompilioides,Bolivina pacifica,Uvigerina senticosa,Textularia sp. A,Sphaeroidina bulloides,Oridorsalis tener,Gyroidinoides altiformis,Gyroidina sp. A,Eggerella bradyi,Bolivina seminuda,Stainforthia rotunda,Cibicides spp.,Uvigerina dirupta,Pullenia salisburyi,Karreriella sp. A,Globobulimina cf. G. pacifica,Miliolina spp.,Globobulimina affinis,Quinqueloculina sp.,Pyrgo murrhina,Melonis barleeanus,Gyroidinoides planulatus,Uvigerina hispida,Hoeglundina elegans,Bulimina cf. B. inflata,Cibicides kullenbergi,Bulimina rostrata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  1,R, 1,   0.00,      0.0000,Brunner  ,Benthic Foraminifers                         ,A              ,G                 ,                 ,                       ,+                    ,              ,                  ,              ,                         ,               ,+                   ,+           ,              ,                           ,+                      ,                      ,+                             ,                      ,                             ,+                ,                ,                     ,+                     ,                    ,          ,                        ,                             ,                  ,                 ,                   ,+               ,                  ,                  ,                 ,+                   ,                 ,+                  ,                ,+                     ,                 ,+                       ,               ,                ,                 ,                    ,              ,+                ,                   ,                 ,                             ,              ,                     ,                   ,+             ,                  ,+                       ,                 ,                   ,                       ,+                    ,+                ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  1,R, 1,  61.00,      0.6100,Brunner  ,Benthic Foraminifers                         ,C              ,G                 ,                 ,                       ,+                    ,              ,                  ,              ,                         ,               ,+                   ,            ,              ,                           ,+                      ,+                     ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,+                 ,                 ,+                  ,+               ,                  ,                  ,                 ,+                   ,+                ,+                  ,                ,                      ,                 ,+                       ,+              ,                ,+                ,                    ,              ,                 ,                   ,                 ,                             ,              ,+                    ,+                  ,+             ,                  ,+                       ,+                ,+                  ,+                      ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  1,R,CC,  13.00,      3.5600,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,                 ,+                      ,+                    ,+             ,                  ,              ,                         ,               ,+                   ,+           ,              ,+                          ,+                      ,                      ,                              ,                      ,                             ,                 ,                ,                     ,                      ,                    ,          ,                        ,                             ,                  ,                 ,                   ,                ,                  ,                  ,                 ,+                   ,+                ,+                  ,                ,+                     ,+                ,+                       ,+              ,                ,                 ,                    ,              ,                 ,+                  ,                 ,                             ,              ,+                    ,+                  ,+             ,+                 ,+                       ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,139, 857,C,  2,R, 2,  67.00,     58.6700,Brunner  ,Benthic Foraminifers                         ,C              ,M                 ,+                ,                       ,+                    ,              ,                  ,+             ,                         ,               ,                    ,            ,              ,                           ,                       ,+                     ,                              ,                      ,                             ,                 ,                ,+                    ,                      ,                    ,          ,                        ,                             ,                  ,+                ,+                  ,                ,                  ,+                 ,                 ,+                   ,+                ,+                  ,                ,                      ,+                ,                        ,+              ,+               ,                 ,                    ,              ,                 ,                   ,                 ,                             ,+             ,+                    ,                   ,              ,                  ,                        ,                 ,                   ,                       ,                     ,                 ,from ODP Leg 139 IR; Chapter 7; Tables 5 & 6; pp 310-322
