Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Ogmoconcha owthorpensis,Lophocythere ? sp. 1,Kerocythere ? n. sp. 1,Judahella n. sp. 2,Cytherella acuta,Bairdiacypris cf. triassica,Bairdia sp. C,Ogmoconcha bristolensis,Cytherelloidea ?  unicostata,Triebelina (Triebelina)  aff. Triebelina (Triebelina) longiforme,Triebelina (Triebelina) aff. Triebelina (Triebelina) sp. 498,Triebelina (Nodobairdia) n. sp.,Polycope sp.,Paracypris cf. redcarensis,Nodobairdia mammilata,Lutkevichinella aff. keupera,Lobobairdia cf. salinaria,Liasina cf. lanceolata,Cornutobairdia aff.  trinodosa,Bythocypris sp. B,Bairdia sp. B,Bairdia n. sp. cf. Bairdia cassiana,Praeschuleridea? n. sp. 1,Paracypris sp. 200,Ostracode (n. gen. n. sp. 2),Kerocythere cf. hartmanni,Judahella sp. A,Hiatobairdia subsymmetrica,Bythocypris sp. A,Bairdiacypris sp. 192,Bairdia sp. A,Bairdia n. sp. 2,Bairdia cf. anisica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 761,C, 23,R, 1, 111.00,    338.3100,Depeche  ,Ostracodes                                   ,               ,                  ,                       ,                    ,                      ,                  ,                ,+                          ,             ,                       ,                            ,                                                                ,                                                            ,                               ,            ,                          ,                     ,                            ,+                        ,                      ,                              ,+                ,             ,+                                  ,+                        ,+                 ,+                           ,+                        ,+              ,+                         ,+                ,+                    ,+            ,+               ,+                  ,from ODP Leg 122 SR Chapter 26 Table 3 p 455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 761,C, 24,R, 3,  51.00,    350.2100,Depeche  ,Ostracodes                                   ,               ,                  ,                       ,                    ,+                     ,+                 ,                ,+                          ,             ,                       ,+                           ,+                                                               ,+                                                           ,+                              ,+           ,+                         ,+                    ,+                           ,+                        ,+                     ,+                             ,+                ,+            ,+                                  ,                         ,                  ,                            ,                         ,               ,                          ,                 ,                     ,             ,                ,                   ,from ODP Leg 122 SR Chapter 26 Table 3 p 455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 761,C, 25,R,CC,  38.00,    357.5500,Depeche  ,Ostracodes                                   ,               ,                  ,                       ,                    ,                      ,                  ,                ,+                          ,             ,+                      ,+                           ,                                                                ,                                                            ,                               ,            ,                          ,                     ,                            ,                         ,                      ,                              ,                 ,             ,                                   ,                         ,                  ,                            ,                         ,               ,                          ,                 ,                     ,             ,                ,                   ,from ODP Leg 122 SR Chapter 26 Table 3 p 455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 761,C, 28,R,CC,  18.00,    385.7200,Depeche  ,Ostracodes                                   ,               ,                  ,                       ,                    ,                      ,                  ,                ,                           ,+            ,                       ,                            ,                                                                ,                                                            ,                               ,            ,                          ,                     ,                            ,                         ,                      ,                              ,                 ,             ,                                   ,                         ,                  ,                            ,                         ,               ,                          ,                 ,                     ,             ,                ,                   ,from ODP Leg 122 SR Chapter 26 Table 3 p 455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Rhaetian         ,                 ,                  ,              ,122, 761,C, 31,R, 3,  70.00,    411.9200,Depeche  ,Ostracodes                                   ,               ,                  ,+                      ,+                   ,+                     ,+                 ,+               ,+                          ,             ,                       ,                            ,                                                                ,                                                            ,                               ,            ,                          ,                     ,                            ,                         ,                      ,                              ,                 ,             ,                                   ,                         ,                  ,                            ,                         ,               ,                          ,                 ,                     ,             ,                ,                   ,from ODP Leg 122 SR Chapter 26 Table 3 p 455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
