Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Discoaster variabilis,Discoaster brouweri,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster asymmetricus,Triquetrorhabdulus rugosus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discoaster berggrenii,Discoaster triradiatus,Discoaster hamatus,Discoaster bollii,Discoaster surculus,Discoaster quinqueramus,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus amplificus,Thoracosphaera spp.,Crenalithus doronicoides,Scyphosphaera spp.,Rhabdosphaera clavigera,Helicosphaera carteri,Gephyrocapsids (small),Ceratolithus cristatus,Amaurolithus tricorniculatus,Discoaster tamalis,Pseudoemiliania lacunosa,Pontosphaera spp.,Hayaster perplexus,Cyclicargolithus floridanus,Helicosphaera sellii,Pontosphaera japonica,Scapholithus fossilis,Umbilicosphaera sibogae,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Ceratolithus rugosus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  1,H, 1,  66.00,      0.6600,Clark    ,Nannofossils                                 ,C              ,M                 ,                     ,                   ,rR                      ,                     ,                       ,                          ,rF                ,rR                             ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,rR                 ,                       ,                   ,                      ,                       ,F                  ,C                       ,C                 ,A                      ,F                    ,A                     ,C                     ,                            ,                  ,R                       ,R                ,                  ,                           ,                    ,                     ,                     ,C                      ,V                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  1,H, 2,  66.00,      2.1600,Clark    ,Nannofossils                                 ,C              ,M                 ,rR                   ,rR                 ,rR                      ,                     ,                       ,                          ,rR                ,rR                             ,F                    ,                      ,C                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,C                  ,C                       ,C                 ,C                      ,F                    ,C                     ,F                     ,                            ,                  ,R                       ,R                ,                  ,                           ,                    ,                     ,                     ,F                      ,V                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  1,H, 3,  66.00,      3.6600,Clark    ,Nannofossils                                 ,R              ,P                 ,rR                   ,                   ,                        ,                     ,                       ,                          ,                  ,                               ,                     ,                      ,F                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,                   ,F                       ,                  ,                       ,                     ,F                     ,                      ,                            ,                  ,                        ,                 ,                  ,                           ,                    ,                     ,                     ,R                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 676,A,  1,H, 4,  66.00,      5.1600,Clark    ,Nannofossils                                 ,R              ,P                 ,                     ,                   ,                        ,                     ,                       ,                          ,                  ,                               ,                     ,                      ,F                     ,                     ,                      ,                  ,                 ,                   ,                       ,                   ,                      ,                       ,                   ,F                       ,                  ,                       ,                     ,F                     ,                      ,                            ,                  ,                        ,                 ,                  ,                           ,                    ,                     ,                     ,R                      ,A                    ,                         ,                    ,from ODP 110 SR. Chapter 9. Table 5. back pocket microfiche.
