leg,site,hole,core,section,top interval depth (cm),bottom interval depth (cm),top of core depth(m),top of layer depth (m),bottom of layer depth (m), describer,lithology,color,structures,deformations due to drilling,unusual occurrences,minerals,paleontology,other observations,hardness or induration,z-coding,eodp_id
87,583,,1,1,0.0,116.0,0.00,0.00,1.16,JC, MUD,,,,,,,, SOFT, 33212000,81ec6f2a11eb4e76f0cc2ff47f4264b0
87,583,,1,CC,0.0,25.0,0.00,1.26,1.41,JC, MUD,,,,,,,, SOFT, 33212000,0567ef620943096f2ddfeba77c89c2d7
87,583,,2,1,0.0,150.0,5.50,5.50,7.00,JC, MUD,,,,,,,, SOFT, 33212000,d1cdbe806bde151e5971d875adc2589c
87,583,,2,2,0.0,150.0,5.50,7.00,8.50,COUL, MUD,,,,,,,, SOFT, 33212000,81b8229fe91783ea54eceadbc7914b18
87,583,,2,3,0.0,150.0,5.50,8.50,10.00,JC, MUD,,,,,,,, SOFT, 00000000,3e5c1b7d7920a9e9f79384f4ddf58d26
87,583,,2,4,0.0,120.0,5.50,10.00,11.20,JC, MUD,,,,,,,, SOFT, 00000000,7a9224b7244dc9ae3989fb538db13cae
87,583,,2,5,0.0,139.0,5.50,11.50,12.89,COUL," MUD,CLAY",,,,,,,, SOFT, 00000000,c9e21aed0b467bef14e01b29b63abfd8
87,583,,2,6,0.0,150.0,5.50,13.00,14.50,JC," MUD,CLAY",,,,,,,, SOFT, 00000000,ffad1eee578e1f804f42c1407eb74d14
87,583,,2,7,0.0,50.0,5.50,14.50,15.00,JC, MUD,,,,,,,, SOFT, 00000000,48ef0d4df1b2f4739aff55ac837c35e6
87,583,,2,CC,0.0,30.0,5.50,16.42,16.62,JC, MUD,,,,,,,, SOFT, 00000000,612946c48e28ddeca294d2cc22e83b6d
87,583,,3,1,0.0,150.0,15.00,15.00,16.50,JC, MUD,,,,,,,, SOFT, 00000000,bd2ed02a538a09b8fa20b9ad5a1d6b84
87,583,,3,2,0.0,150.0,15.00,16.50,18.00,JC, MUD,,,,,,,, SOFT, 00000000,3165ed87ae271e20701e8ae8d8fbfe91
87,583,,3,3,0.0,150.0,15.00,18.00,19.50,JC, MUD,,,,,,,, SOFT, 00000000,81bdbde953e81654e5dd93263e698cbd
87,583,,3,4,0.0,150.0,15.00,19.50,21.00,JC, MUD,,,,,,,, SOFT, 33213000,dfe93ada9cb3ecf6a55ff14138a51eed
87,583,,3,5,0.0,150.0,15.00,21.00,22.50,JC, MUD,,,,,,,, SOFT, 33213000,da4bb6bdc4b5158412e2d80d684f0615
87,583,,3,6,0.0,134.0,15.00,22.50,23.84,JC, MUD,,,,,,,, SOFT, 00000000,e59d2f6d0ae64500c58832af6c8efca8
87,583,,3,CC,0.0,34.0,15.00,23.94,24.18,JC, MUD,,,,,,,, SOFT, 00000000,d081b98891a0ed782c82356d229a7977
87,583,,4,0,0.0,42.0,23.00,23.00,23.42,JC, MUD,,,,,,,, SOFT, 00000000,7c7e44edc4c82ef64536aeea4627c561
87,583,,4,1,0.0,150.0,23.00,23.42,24.92,JC, MUD,,,,,,,, SOFT, 00000000,d6ce15f1d5fda341a33a68f49c9115fe
87,583,,4,2,0.0,135.0,23.00,24.92,26.27,JC, MUD,,,,,,,, SOFT, 33213000,c7f3a91ee92a10e0b4780fa28f207d14
87,583,,4,3,0.0,150.0,23.00,26.42,27.92,JC, MUD,,,,,,,, SOFT, 33213000,720899923108f55639857768b3940e03
87,583,,4,4,0.0,150.0,23.00,27.92,29.42,AJS, MUD,,,,,,,, SOFT, 33213000,6524e54432b3b297bfe8c911f2c8dc81
87,583,,4,5,0.0,120.0,23.00,29.42,30.62,AJS, MUD,,,,,,,, SOFT, 00000000,49e0b15066f7e953cbdc88991331be84
87,583,,4,6,0.0,135.0,23.00,30.92,32.27,AJS, MUD,,,,,,,, SOFT, 00000000,8ec8e98dd51d682fd6594150f3c08e1e
87,583,,4,CC,0.0,39.0,23.00,32.95,33.24,AJS, MUD,,,,,,,, SOFT, 00000000,bcc7ad878103559f3f31b7c0189544bc
87,583,,5,1,0.0,150.0,32.50,32.50,34.00,AJS, MUD,,,,,,,, SOFT, 00000000,19cbd9f6596255d676aff1e5dc05c810
87,583,,5,2,0.0,112.0,32.50,34.00,35.12,CLS, SANDY MUD,,,,,,,, SOFT, 00000000,6d61d2043a4faa7e4097143422dff056
87,583,,5,3,0.0,140.0,32.50,35.50,36.90,AJS, MUD,,,,,,,, SOFT, 00000000,c394568a57d359ef75b59b8cc5cc8bbe
87,583,,5,4,0.0,135.0,32.50,37.00,38.35,CLS, MICACEOUS SANDY SILT,,,,,,,, SOFT, 00000000,2913b9923baef5641760c621fef8d4ca
87,583,,5,5,0.0,140.0,32.50,38.50,39.90,AJS, MUD,,,,,,,, SOFT, 00000000,062a2ed6208fe8b8fa0ea66693dba689
87,583,,5,6,0.0,150.0,32.50,40.00,41.50,CLS, SILTY MUD,,,,,,,, SOFT, 00000000,ce93404964218cb7b166b286ecec31c3
87,583,,5,7,0.0,45.0,32.50,41.50,41.95,CLS, MUD,,,,,,,, SOFT, 00000000,6287d9530ac811759abd18c7571ffcd2
87,583,,5,CC,0.0,26.0,32.50,42.08,42.24,CLS, MUD,,,,,,,, SOFT, 00000000,64566fd24f9b28402f7cd995814d5caa
87,583,,6,1,0.0,14.0,40.90,40.90,41.04,CLS, MUD,,,,,,,, SOFT, 00000000,90b48f29976a1dd671192baa139c3aec
87,583,,6,CC,0.0,18.0,40.90,41.25,41.33,CLS, MUD,,,,,,,, SOFT, 00000000,68118e2d11da69a86ffbe61f9774a6a0
87,583,,7,1,0.0,150.0,45.90,45.90,47.40,JC, MUD,,,,,,,, SOFT, 00000000,65726f2de899bf2aca1a3d5b33ba4995
87,583,,7,2,0.0,150.0,45.90,47.40,48.90,JC, MUD,,,,,,,, SOFT, 00000000,db0a3c1e10c5273989684269e4c48303
87,583,,7,3,0.0,150.0,45.90,48.90,50.40,JC, MUD,,,,,,,, SOFT, 00000000,bfc1c9413bb45458a8d89f25ff6f7b73
87,583,,7,4,0.0,120.0,45.90,50.40,51.60,JC, MUD,,,,,,,, SOFT, 00000000,a76f7cbd1e99acb75e3b6e29b3124f60
87,583,,7,5,0.0,150.0,45.90,51.90,53.40,JC, MUD,,,,,,,, SOFT, 00000000,4a3cf6e555fe4bc561da891930e91081
87,583,,7,6,0.0,150.0,45.90,53.40,54.90,JC, MUD,,,,,,,, SOFT, 00000000,74b91d9dbfa5d88486b6428ab27c4f9f
87,583,,7,7,0.0,50.0,45.90,54.90,55.40,JC, MUD,,,,,,,, SOFT, 00000000,c078952d9eb17007c46a3bba6daa3254
87,583,,7,CC,0.0,22.0,45.90,55.51,55.63,JC, MUD,,,,,,,, SOFT, 00000000,a9a17193dab5d08c1b63900ce2b7eb7c
87,583,,8,1,0.0,150.0,55.40,55.40,56.90,AT, MUD,,,,,,,, SOFT, 00000000,b1ee2b9ed26d99e6eb9412eac65fd94d
