Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Triquetrorhabdulus carinatus,Sphenolithus umbrellus,Sphenolithus conicus,Sphenolithus ciperoensis,Sphenolith (unspecified taxon or taxa),Reticulofenestra daviesii,Discoaster deflandrei,Dictyococcites bisectus,Cyclicargolithus floridanus,Cyclicargolithus abisectus (> 10 microns),Cyclicargolithus abisectus (< 10 microns),Coronocyclus nitescens,Coccolithus pelagicus,Coccolithus miopelagicus,Coccolithus eopelagicus,Clausicoccus fenestratus,Discoaster woodringii,Discoaster adamanteus,Sphenolithus dissimilis,Pontosphaera spp.,Helicosphaera spp.,Ilselithina fusa,Zygrhablithus bijugatus,Triquetrorhabdulus milowii,Discoaster aff. druggii,Reticulofenestrid taxa,Discoaster moorei,Discoaster extensus-dilatus group,Sphenolithus delphix,Discoaster formosus,Sphenolithus capricornutus,Triquetrorhabdulus serratus,Discoaster druggii,Thoracosphaera spp.,Sphenolithus dissimilis/belemnos,Triquetrorhabdulus challengeri,Sphenolithus pseudoheteromorphus,Reticulofenestra aff. pseudoumbilicus,Discoaster subsurculus,Discoaster variabilis,Discoaster musicus,Calcidiscus leptoporus,Dictyococcites spp.,Triquetrorhabdulus curvus,Sphenolithus heteromorphus,Sphenolithus belemnos,Discoaster exilis,Sphenolithus milanettii,Coccolithus radiatus,Discoaster signus-tuberi,Geminilithella rotula,Discoaster brouweri,Calcidiscus premacintyrei,Discoaster intercalaris,Discoaster bollii,Discoaster kugleri,Reticulofenestra pseudoumbilicus,Triquetrorhabdulus rugosus/rioensis,Minylitha convallis,Discoaster triradiatus,Discoaster sp. 1,Discoaster prepentaradiatus,Discoaster pentaradiatus,Discoaster neohamatus,Discoaster loeblichii,Discoaster bellus,Catinaster coalitus,Discoaster hamatus,Discoaster calcaris,Catinaster calyculus,Calcidiscus macintyrei,Discoaster surculus,Discoaster quinqueramus/berggrenii,Discoaster asymmetricus,Discoaster pansus,Discoaster sp. 2,Amaurolithus primus,Amaurolithus delicatus,Amaurolithus amplificus,Amaurolithus tricorniculatus,Ceratolithus armatus,Ceratolithus rugosus,Ceratolithus acutus,Discoaster tamalis,Ceratolithus cristatus,Pseudoemiliania lacunosa,Syracosphaera spp.,Umbilicosphaera spp.,Gephyrocapsa (small),Helicosphaera sellii,Gephyrocapsa oceanica s.l.,Gephyrocapsa (large),Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 711,B,  2,H, 4,  50.00,      7.1000,Rio      ,Nannofossils                                 ,A              ,G                 ,                            ,                      ,                    ,                        ,                                      ,                         ,                     ,R                      ,                           ,                                         ,                                         ,                      ,                     ,                        ,                       ,                        ,                     ,                     ,                       ,                 ,R                 ,                ,                       ,                          ,                       ,                      ,                 ,                                 ,                    ,                   ,                          ,                           ,                  ,                   ,                                ,                              ,                                ,                                     ,                      ,                     ,                  ,C                     ,                   ,                         ,                          ,                     ,                 ,                       ,                    ,                        ,R                    ,R                  ,                         ,R                      ,                 ,                  ,                                ,                                   ,                   ,                      ,                ,                           ,R                       ,                     ,                     ,                 ,                   ,                  ,                   ,                    ,R                     ,                   ,R                                 ,                       ,                 ,                ,                   ,                      ,                       ,                            ,                    ,                    ,                   ,                  ,F                     ,C                       ,                  ,R                   ,                    ,                    ,C                         ,                    ,from 115 SR. Chapter 15. Table 20. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 711,B,  2,H, 4,  75.00,      7.3500,Rio      ,Nannofossils                                 ,A              ,G                 ,                            ,                      ,                    ,                        ,                                      ,                         ,                     ,                       ,                           ,                                         ,                                         ,                      ,                     ,                        ,                       ,                        ,                     ,                     ,                       ,                 ,                  ,                ,                       ,                          ,                       ,R                     ,                 ,                                 ,                    ,                   ,                          ,                           ,                  ,                   ,                                ,                              ,                                ,                                     ,                      ,                     ,                  ,C                     ,                   ,                         ,                          ,                     ,                 ,                       ,                    ,                        ,F                    ,R                  ,                         ,R                      ,                 ,                  ,                                ,                                   ,                   ,                      ,                ,                           ,R                       ,                     ,                     ,                 ,                   ,                  ,                   ,                    ,                      ,                   ,                                  ,                       ,                 ,                ,                   ,                      ,                       ,                            ,                    ,                    ,                   ,                  ,F                     ,                        ,                  ,C                   ,R                   ,                    ,C                         ,R                   ,from 115 SR. Chapter 15. Table 20. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 711,B,  2,H, 4, 100.00,      7.6000,Rio      ,Nannofossils                                 ,A              ,M                 ,                            ,                      ,                    ,                        ,                                      ,                         ,                     ,                       ,                           ,                                         ,                                         ,                      ,                     ,                        ,                       ,                        ,                     ,                     ,                       ,                 ,R                 ,                ,                       ,                          ,                       ,F                     ,                 ,                                 ,                    ,                   ,                          ,                           ,                  ,                   ,                                ,                              ,                                ,                                     ,                      ,                     ,                  ,C                     ,                   ,                         ,                          ,                     ,                 ,                       ,                    ,                        ,C                    ,R                  ,                         ,                       ,                 ,                  ,                                ,                                   ,                   ,                      ,                ,                           ,                        ,                     ,                     ,                 ,                   ,                  ,                   ,                    ,                      ,R                  ,                                  ,                       ,                 ,                ,                   ,                      ,                       ,                            ,                    ,                    ,                   ,                  ,F                     ,R                       ,                  ,C                   ,F                   ,R                   ,C                         ,                    ,Rare reworked. from 115 SR. Chapter 15. Table 20. microfiche in back pocket.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,CN13b             ,              ,115, 711,B,  2,H, 4, 125.00,      7.8500,Rio      ,Nannofossils                                 ,A              ,M                 ,                            ,                      ,                    ,                        ,                                      ,                         ,                     ,                       ,                           ,                                         ,                                         ,                      ,                     ,                        ,                       ,                        ,                     ,                     ,                       ,                 ,F                 ,                ,                       ,                          ,                       ,                      ,                 ,                                 ,                    ,                   ,                          ,                           ,                  ,                   ,                                ,                              ,                                ,                                     ,                      ,R                    ,                  ,C                     ,                   ,                         ,                          ,                     ,                 ,                       ,                    ,                        ,C                    ,F                  ,                         ,                       ,                 ,                  ,                                ,                                   ,                   ,R                     ,                ,                           ,R                       ,                     ,                     ,                 ,                   ,                  ,                   ,                    ,C                     ,R                  ,                                  ,                       ,                 ,                ,                   ,                      ,                       ,                            ,                    ,                    ,                   ,                  ,C                     ,A                       ,                  ,C                   ,C                   ,                    ,F                         ,                    ,from 115 SR. Chapter 15. Table 20. microfiche in back pocket.
