Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Rotaliid taxa,Pseudorbitoides spp.,Nubeculariid taxa,Miliolids species,Pseudorbitoides trechmanni,Marssonella oxycona,Foraminifers (agglutinated taxa),Dicyclina sp. cf. D. schlumbergeri,Vaughanina sp.,Pseudocyclammina sp.,Planoglobulina sp.,Discorbid taxa,Planktonics sp.,Sulcoperculina sp.,Asterorbis rooki,Istriloculina sp.,Foraminifers (planispiral taxa),Earlandia? &  Aeolicassus sp.,Sulcoperculina globosa,Montsechiana sp.,Sulcoperculina dickersoni,Lagenid taxa,Sulcoperculina vermunti,Orbitoides sp.,Acervulinid taxa,Bolivinid taxa,Vidalina sp. cf. V. hispanica,Idalina antiqua,Sulcoperculina obesa,Omphalocyclus macroporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  1,R, 1,   0.00,     54.3000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,1            ,                    ,                 ,1                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,C                 ,F               ,                 ,                               ,                             ,                      ,                ,F                        ,            ,C                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  1,R, 1,  20.00,     54.5000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,                 ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,                  ,                ,                 ,                               ,                             ,                      ,                ,                         ,1           ,                       ,              ,                ,F             ,                             ,               ,                    ,C                       ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  2,R, 1,   0.00,     59.8000,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,             ,                    ,                 ,2                ,                          ,                   ,                                ,                                  ,              ,                    ,                  ,              ,               ,A                 ,F               ,                 ,                               ,                             ,                      ,                ,F                        ,            ,C                      ,              ,                ,              ,?                            ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Maestrichtian    ,                 ,                  ,              ,144, 873,A,  3,R, 1,   3.00,     69.3300,Premoli Silva,Benthic Foraminifers                         ,               ,                  ,R            ,                    ,                 ,R                ,                          ,2                  ,2                               ,                                  ,              ,1                   ,                  ,VR            ,1              ,C                 ,VR              ,                 ,                               ,                             ,                      ,                ,C                        ,F           ,C                      ,              ,                ,              ,                             ,               ,                    ,                        ,from ODP Leg 144 SR; Ch 9; Table 1; p 174
