Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Pseudoemiliania lacunosa	Helicosphaera sellii	Helicosphaera inversa	Helicosphaera carteri	Gephyrocapsa spp. (large)	Gephyrocapsa omega	Ceratolithus telesmus	Calcidiscus macintyrei	Braarudosphaera bigelowii	Ceratolithus cristatus	Calcidiscus leptoporus	Gephyrocapsa spp. (small)	Gephyrocapsa sp. medium	Florisphaera profunda	Gephyrocapsa sp.3 medium	Coccolithus pelagicus	Emiliania huxleyi	Helicosphaera wallichii	Comment



  IR	                 	                 	                  	              	172	1055	C	  1	H	CC	   9.00	      8.4900	Raffi    	Nannofossils                                 	               	                  	                        	                    	                     	                     	                         	C                 	                     	                      	                         	                      	                      	                         	A                      	                     	                        	                     	A                	+                      	< 0.085   CN 15 / NN 21b - Geph assemblage is rich and diversified

  IR	                 	                 	                  	              	172	1055	C	  2	H	CC	  15.00	     18.0700	Raffi    	Nannofossils                                 	C              	G                 	-                       	                    	                     	R                    	                         	                  	                     	                      	                         	+                     	F                     	A                        	A                      	A                    	                        	                     	+                	                       	> 0.085< 0.26

  IR	                 	                 	                  	              	172	1055	C	  3	H	CC	  13.00	     27.6000	Raffi    	Nannofossils                                 	A              	G                 	-                       	                    	                     	F                    	                         	                  	                     	                      	                         	                      	F                     	A                        	A                      	A                    	                        	F                    	                 	                       	> 0.085< 0.26 / 0.46- sandy - unkown on E huxleyi

  IR	                 	                 	                  	              	172	1055	C	  4	H	CC	  16.00	     37.3800	Raffi    	Nannofossils                                 	A              	G                 	                        	                    	                     	F                    	                         	                  	                     	                      	                         	                      	R                     	A                        	A                      	                     	A                       	F                    	R                	                       	> 0.085< 0.26 ~ - sandy- diatom frags - low diversity

  IR	                 	                 	                  	              	172	1055	C	  5	H	CC	  19.00	     47.0800	Raffi    	Nannofossils                                 	A              	G                 	-                       	                    	                     	F                    	                         	                  	                     	                      	                         	R                     	R                     	D                        	-                      	                     	                        	R                    	R                	                       	> 0.085< 0.46- sandy- small Gephs dominant

  IR	                 	                 	                  	              	172	1055	C	  6	H	CC	  15.00	     56.5300	Raffi    	Nannofossils                                 	A              	G                 	-                       	                    	                     	R                    	                         	                  	                     	                      	                         	                      	F                     	D                        	R                      	                     	                        	                     	                 	                       	> 0.085< 0.46- little/no diatoms - some organic material - small Gephs dominant

  IR	                 	                 	                  	              	172	1055	C	  7	H	CC	  21.00	     66.0600	Raffi    	Nannofossils                                 	A              	G                 	-                       	                    	                     	R                    	                         	                  	                     	                      	                         	                      	R                     	D                        	C                      	A                    	                        	                     	-                	                       	> 0.26 ~< 0.46- small Gephs dominant - hard to say if huxleyi is gone...

  IR	                 	                 	                  	              	172	1055	C	  8	H	CC	  25.00	     75.4900	Raffi    	Nannofossils                                 	A              	M                 	F                       	                    	                     	                     	                         	                  	                     	                      	                         	                      	R                     	A                        	F                      	                     	                        	R                    	                 	                       	> 0.46< 0.96

  IR	                 	                 	                  	              	172	1055	C	 11	H	CC	  36.00	    102.2400	Raffi    	Nannofossils                                 	               	                  	A                       	                    	                     	F                    	-                        	                  	                     	                      	                         	                      	R                     	A                        	A                      	                     	A                       	                     	                 	                       	> 0.46< 1.24 

  IR	                 	                 	                  	              	172	1055	C	 12	H	CC	  30.00	    110.7700	Raffi    	Nannofossils                                 	A              	G                 	A                       	                    	                     	R                    	                         	                  	                     	                      	                         	                      	F                     	A                        	R                      	A                    	                        	                     	                 	                       	> 0.46< 1.24 

  IR	                 	                 	                  	              	172	1055	C	 13	H	CC	  30.00	    121.3900	Raffi    	Nannofossils                                 	A              	G                 	A                       	F                   	R                    	C                    	A                        	C                 	C                    	F                     	F                        	                      	                      	                         	                       	                     	                        	                     	                 	                       	> 1.25< 1.67 - sandy - Good Diatoms - SIEVE!!

  IR	                 	                 	                  	              	172	1055	C	 14	H	CC	  27.00	    120.7700	Raffi    	Nannofossils                                 	A              	G                 	A                       	R                   	                     	R                    	                         	                  	                     	                      	                         	R                     	F                     	                         	                       	                     	                        	                     	                 	                       	> 1.25< 1.67 - diatoms - not as good as 13 H - odd sample for nannos - not diverse....

