leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code,eodp_id,sample
59,448,A,1,3,77.0,79.0,0.00,3.78, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCALC0050,Calocycletta costata,PRESENT,  ,1,b45a0d54fbeacf3f56247f166b54a5a9,59-448A-1-3
59,448,A,1,5,7.0,9.0,0.00,6.08, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCANN0070,Cannartus prismaticus,RARE,  ,1,730f5d40cc76fe096067c2b02bc58cf8,59-448A-1-5
59,448,A,1,7,6.0,8.0,0.00,9.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1,d8b4f6906ec0d28d11a7224731d30954,59-448A-1-7
59,448,A,1,7,6.0,8.0,0.00,9.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0090,Stichocorys wolfii,PRESENT,  ,1,b59a003d4e0bc6fb9457035af53e7ab0,59-448A-1-7
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCALC0050,Calocycletta costata,FEW,  ,1,8cc6cc4d826d59f1c8776763cac8a5a7,59-448A-1-CC
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCANN0100,Cannartus violina,RARE,  ,1,73b067a9ed0467f01ef2def769a4b8b8,59-448A-1-CC
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCYRC0020,Cyrtocapsella cornuta,PRESENT,  ,1,dd65dab508eec0c47541f7705f0630ad,59-448A-1-CC
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0080,Dorcadospyris dentata,PRESENT,  ,1,569d2561a039e415068f4de68c0556fd,59-448A-1-CC
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RGIRA0080,Giraffospyris toxaria,PRESENT,  ,1,356b0bb200671494513e623af9b7e6a5,59-448A-1-CC
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0050,Stichocorys delmontensis,COMMON,  ,1,59743e29e48dc801bfd0a1f351e3f32e,59-448A-1-CC
59,448,A,1,CC,,,0.00,9.40, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RSTIO0090,Stichocorys wolfii,RARE,  ,1,e599355b4fad97ae3a5eb04703ff4d41,59-448A-1-CC
59,448,A,2,1,4.0,6.0,33.50,33.55, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0180,Dorcadospyris simplex,PRESENT,  ,1,b91afb50eedcd38479664d8054ba6778,59-448A-2-1
59,448,A,2,1,4.0,6.0,33.50,33.55, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RGIRA0080,Giraffospyris toxaria,PRESENT,  ,1,4ed85394dda88a4f442aaf23fecb9314,59-448A-2-1
59,448,A,2,1,77.0,79.0,33.50,34.28, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,PRESENT,  ,1,a55649033d2662e1e1a515e7f25218db,59-448A-2-1
59,448,A,2,6,6.0,8.0,33.50,41.07, 1,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,PRESENT,  ,1,7af008ba3fd9fb6c6fa0154a405a81e0,59-448A-2-6
59,448,A,2,CC,,,33.50,43.05, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,COMMON,  ,1,1a0c2387918c62c9df98c776221943f7,59-448A-2-CC
59,448,A,2,CC,,,33.50,43.05, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0110,Dorcadospyris papilio,RARE,  ,1,f84e3a418e37eda91fa05457f9de5b79,59-448A-2-CC
59,448,A,3,1,6.0,8.0,62.00,62.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,FEW,  ,1,1ed63baa798912e895b83054dff23ee2,59-448A-3-1
59,448,A,3,1,6.0,8.0,62.00,62.07, 2,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0170,Dorcadospyris riedeli,RARE,  ,1,d31f3f9babe3cfcfa109b7ac55446425,59-448A-3-1
59,448,A,3,1,77.0,79.0,62.00,62.78, 4,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCALC0070,Calocycletta robusta,FEW,  ,1,09db9bdfd66a3d5f34d24048dc7cd4ec,59-448A-3-1
59,448,A,3,1,77.0,79.0,62.00,62.78, 4,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RCANN0070,Cannartus prismaticus,FEW,  ,1,b3ab0dfdcf80291197ba7747d20dd264,59-448A-3-1
59,448,A,3,1,77.0,79.0,62.00,62.78, 4,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,FEW,  ,1,4d544fe5ada4b01e028f81f45327ac82,59-448A-3-1
59,448,A,3,1,77.0,79.0,62.00,62.78, 4,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,RARE,,,POOL,NO AGE GIVEN,583,RDORC0110,Dorcadospyris papilio,RARE,  ,1,e4bea94257c38f424752dc87b65432d7,59-448A-3-1
59,448,A,3,4,6.0,8.0,62.00,66.57, 5,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,583,RCALC0070,Calocycletta robusta,FEW,  ,1,b4af7fecf218205ffc02bb9e39248985,59-448A-3-4
59,448,A,3,4,6.0,8.0,62.00,66.57, 5,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,583,RCANN0070,Cannartus prismaticus,FEW,  ,1,3aedfb979873eade93aa50b0cb1c7ea2,59-448A-3-4
59,448,A,3,4,6.0,8.0,62.00,66.57, 5,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,FEW,  ,1,ef63b0e2065d9000e0e12614edaf3948,59-448A-3-4
59,448,A,3,4,6.0,8.0,62.00,66.57, 5,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,583,RDORC0110,Dorcadospyris papilio,RARE,  ,1,6cecd3ca92ae114072c145e3f8562f05,59-448A-3-4
59,448,A,3,4,6.0,8.0,62.00,66.57, 5,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,MODERATE,NO AGE GIVEN,583,RDORC0170,Dorcadospyris riedeli,PRESENT,  ,1,6f4510c467c38c3d28f39745c65b312d,59-448A-3-4
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RCALC0070,Calocycletta robusta,ABUNDANT,  ,1,27a4ac38a821898a5493bc9b55548e85,59-448A-3-6
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RCANN0070,Cannartus prismaticus,FEW,  ,1,07293c46a6f3f77c1553a0fb2c6f956f,59-448A-3-6
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RDORC0030,Dorcadospyris ateuchus,COMMON,  ,1,122f8269e3db07688b745f1542d40bae,59-448A-3-6
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RDORC0110,Dorcadospyris papilio,RARE,  ,1,45b30230b9a27f092ab9217572eacc2c,59-448A-3-6
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RDORC0140,Dorcadospyris praeforcipata,RARE,  ,1,d03a77694dde4011e1e0cd37f6bffe5f,59-448A-3-6
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RDORC0170,Dorcadospyris riedeli,RARE,  ,1,e10cc69fd2567f7cfc15ba6f6f74924f,59-448A-3-6
59,448,A,3,6,6.0,8.0,62.00,69.57, 7,"THEYER,F.;LWEBERGER,P.",01/1981,59,RADIOLARIA,FEW,,,POOL,NO AGE GIVEN,583,RDORC0200,Dorcadospyris triceros,PRESENT,  ,1,9eeb797f335d34c7cb96917912eaa03b,59-448A-3-6
