Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Orbulina universa,Orbulina suturalis,Globorotalia scitula,Globorotalia praemenardii,Globorotalia menardii,Globorotalia mayeri,Globoquadrina praedehiscens,Globoquadrina baroemoenensis,Globigerinoides quadrilobatus s.l.,Globigerinoides obliquus s.l.,Sphaeroidinellopsis seminulina,Globoquadrina venezuelana,Globoquadrina dehiscens,Dentoglobigerina altispira altispira,Globorotaloides variabilis,Globorotaloides hexagona,Dentoglobigerina altispira globosa,Neogloboquadrina acostaensis,Globorotalia limbata,Globigerinella siphonifera,Sphaeroidinellopsis kochi,Globorotalia plesiotumida,Globigerinoides conglobatus,Sphaeroidinellopsis disjuncta,Globorotalia tumida,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pliocene         ,                 ,N18               ,              ,138, 848,B,  6,H,CC,  24.00,     50.1400,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,T                ,                  ,                    ,                         ,                     ,                   ,                           ,                            ,+                                 ,                             ,+                             ,                         ,                       ,+                                   ,                          ,                        ,                                  ,+                           ,+                   ,                          ,                         ,                         ,                           ,                             ,+                  ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 848,B,  7,H, 1,  80.00,     50.5000,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,T                ,                  ,                    ,                         ,                     ,                   ,                           ,                            ,+                                 ,T                            ,+                             ,+                        ,                       ,T                                   ,                          ,T                       ,                                  ,+                           ,T                   ,                          ,                         ,T                        ,T                          ,                             ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 848,B,  7,H, 4,  80.00,     55.0000,Vincent  ,Planktonic Foraminifers                      ,A              ,P                 ,+                ,                  ,T                   ,                         ,+                    ,                   ,                           ,+                           ,+                                 ,T                            ,+                             ,+                        ,T                      ,+                                   ,                          ,+                       ,T                                 ,+                           ,+                   ,T                         ,                         ,+                        ,T                          ,T                            ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Miocene     ,                 ,N17b              ,              ,138, 848,B,  7,H, 5,  80.00,     56.5000,Vincent  ,Planktonic Foraminifers                      ,C              ,P                 ,+                ,                  ,+                   ,                         ,T                    ,                   ,                           ,                            ,+                                 ,T                            ,+                             ,+                        ,T                      ,T                                   ,                          ,+                       ,T                                 ,+                           ,+                   ,                          ,                         ,T                        ,T                          ,+                            ,                   ,from ODP Leg 138 SR Chapter 46 Table 5 p 902
