Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Zeaglobigerina woodi,Orbulina universa,Neogloboquadrina pachyderma,Neogloboquadrina acostaensis,Globorotalia puncticulata,Globorotalia pliozea,Globorotalia crassaformis,Globorotalia crassaconica,Globigerinoides ruber,Globigerina bulloides,Sphaeroidinella dehiscens,Globigerinella aequilateralis,Globorotalia scitula,Globigerinoides trilobus,Globorotalia puncticuloides,Globorotalia inflata triangula,Globorotalia inflata,Globorotalia crassaformis dextral,Globigerina falconensis,Globorotalia crassula,Globorotalia tosaensis,Globorotalia crassacarina,Globorotalia truncatulinoides,Globorotalia crassaformis viola,Globorotalia crassaformis hessi,Globigerina umbilicata,Globigerina spp.,Globigerina quinqueloba,Globorotalia tumida,Globorotalia pseudopima,Globorotalia miozea,Globigerinoides conglobatus,Globigerinita glutinata,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  1,H,CC,   0.00,      5.9500,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                    ,R                ,A                          ,                            ,                         ,                    ,                         ,                         ,                     ,F                    ,                         ,R                            ,R                   ,                        ,                           ,                              ,F                   ,                                 ,                       ,P                    ,                      ,                         ,F                            ,                               ,                               ,F                     ,                ,D                      ,                   ,P                      ,P                  ,R                          ,P                      ,No G. hirsuta?. G.miozea dark gray colour
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  2,H,CC,  16.00,     15.6100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                    ,R                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,F                    ,                         ,                             ,R                   ,                        ,R                          ,                              ,F                   ,                                 ,                       ,P                    ,                      ,                         ,F                            ,R                              ,R                              ,R                     ,D               ,R                      ,P                  ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  3,H,CC,   0.00,     23.2100,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                    ,R                ,F                          ,                            ,                         ,                    ,R                        ,                         ,                     ,F                    ,                         ,P                            ,P                   ,                        ,F                          ,                              ,F                   ,                                 ,                       ,R                    ,                      ,                         ,P                            ,P                              ,R                              ,R                     ,D               ,R                      ,                   ,                       ,                   ,                           ,                       ,       
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,181,1123,A,  4,H,CC,   0.00,     34.7000,forams   ,Planktonic Foraminifers                      ,A              ,VG                ,                    ,P                ,F                          ,                            ,                         ,                    ,                         ,                         ,                     ,                     ,P                        ,P                            ,P                   ,                        ,F                          ,                              ,F                   ,                                 ,                       ,R                    ,                      ,R                        ,P                            ,                               ,                               ,                      ,                ,                       ,                   ,                       ,                   ,                           ,                       ,       
