Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
,,,,,,
,,,,,,
,,,,,,
162, 982,B,Initial Reports          ,       3.850,    0.260000,FO E. huxleyi
,,,,,,
162, 982,B,Initial Reports          ,       9.090,    0.460000,LO P. lacunosa
,,,,,,
162, 982,B,Initial Reports          ,      17.600,    0.780000,Bruhnes?matuyama
,,,,,,
162, 982,B,Initial Reports          ,      23.400,    0.990000,Jaramillo top
,,,,,,
162, 982,B,Initial Reports          ,      25.000,    1.070000,Jaramillo bottom
,,,,,,
162, 982,B,Initial Reports          ,      36.150,    1.770000,Olduvai top
,,,,,,
162, 982,B,Initial Reports          ,      39.150,    1.950000,Olduvai bottom
,,,,,,
162, 982,B,Initial Reports          ,      43.150,    2.140000,Reunion II top
,,,,,,
162, 982,B,Initial Reports          ,      52.550,    2.580000,Matuyama/Gauss
,,,,,,
162, 982,B,Initial Reports          ,      78.550,    3.700000,FO P. lacunosa
,,,,,,
162, 982,B,Initial Reports          ,     126.050,    4.700000,LO A. primus
,,,,,,
162, 982,B,Initial Reports          ,     246.200,    7.300000,FO D. surculus
,,,,,,
162, 982,B,Initial Reports          ,     376.850,   10.900000,LO C. miopelagicus
,,,,,,
162, 982,B,Initial Reports          ,     471.450,   13.600000,LO S. heteromorphus
,,,,,,
162, 982,B,Initial Reports          ,     565.680,   18.200001, 
,,,,,,
