Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Sumatradinium hispidum	Stelladinium reidii	Spiniferites ramosus	Spiniferites pachyderma	Spiniferites mirabilis	Spiniferites membranaceus	Spiniferites hyperacanthus	Spiniferites bulloideus	Selenopemphix nephroides	Reticulosphaera sp.	Polysphaeridium zoharyi	Operculodinium longispinigerum	Operculodinium janduchenei	Operculodinium israelianum	Operculodinium echigoense	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Multispinula quanta	Melitasphaeridium choanophorum	Lingulodinium machaerophorum	Impagidinium strialatum	Impagidinium sphaericum	Impagidinium sp.	Impagidinium patulum	Impagidinium paradoxum	Impagidinium aculeatum	Hystrichokolpoma rigaudiae	Dapsilidinium pastielsii	Cyst type A	Blysmatodinium argoi	Batiacasphaera spp.	Achomosphaera sp.	Comment



  SR	Pleistocene      	                 	                  	              	133	 815	A	  1	H	 3	 121.00	      4.2100	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.0%                       	.0%                   	.0%                	.0%                 	.0%                    	.0%                   	.0%                      	14.9%                     	17.2%                  	.0%                     	.0%                	.0%                    	1.2%                          	1.2%                      	2.3%                      	.0%                      	8.0%                       	.0%                         	.0%                	.0%                           	1.1%                        	8.1%                   	3.4%                   	.0%             	13.8%               	11.1%                 	11.5%                 	.0%                       	.0%                     	2.3%       	.0%                 	.0%                	.0%              	from ODP 133 SR Chapter 8 Table 1 p 99

  SR	Pleistocene      	                 	                  	              	133	 815	A	  2	H	 3	 122.00	     11.0200	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.0%                       	.0%                   	.0%                	7.3%                	.0%                    	.0%                   	1.2%                     	8.5%                      	9.8%                   	.0%                     	.0%                	1.2%                   	1.2%                          	.0%                       	6.1%                      	.0%                      	.0%                        	.0%                         	.0%                	.0%                           	3.7%                        	4.9%                   	7.3%                   	.0%             	18.3%               	7.3%                  	23.2%                 	.0%                       	.0%                     	.0%        	.0%                 	.0%                	.0%              	from ODP 133 SR Chapter 8 Table 1 p 99

  SR	Late Pliocene    	                 	                  	              	133	 815	A	  3	H	 3	 105.00	     20.3500	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	1.6%                      	.0%                   	.0%                	6.3%                	.0%                    	.0%                   	.0%                      	6.3%                      	.0%                    	.0%                     	.0%                	.0%                    	9.4%                          	.0%                       	4.7%                      	.0%                      	3.1%                       	.0%                         	.0%                	.0%                           	.0%                         	4.7%                   	4.7%                   	.0%             	34.4%               	10.9%                 	10.9%                 	.0%                       	.0%                     	1.6%       	.0%                 	.0%                	1.6%             	from ODP 133 SR Chapter 8 Table 1 p 99

  SR	Late Pliocene    	                 	                  	              	133	 815	A	  4	H	 3	  93.00	     29.7300	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	.0%                       	.0%                   	.0%                	4.9%                	.0%                    	.0%                   	.0%                      	.0%                       	10.6%                  	.0%                     	.0%                	.0%                    	17.6%                         	.0%                       	1.4%                      	2.1%                     	19.7%                      	.0%                         	.0%                	.7%                           	.7%                         	.0%                    	.0%                    	.0%             	9.2%                	11.3%                 	1.4%                  	.0%                       	.0%                     	.0%        	.0%                 	.0%                	.0%              	from ODP 133 SR Chapter 8 Table 1 p 99
