Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Naviculopsis lata	Distephanus speculum speculum (6-sided; multiwindowed)	Distephanus speculum speculum (6-sided)	Distephanus crux	Bachmannocena apiculata	Corbisema triacantha	Distephanus speculum pentagonus	Distephanus speculum speculum (7-sided; multiwindowed)	Dictyocha pygmaea	Distephanus longispinus	Dictyocha aspera	Distephanus speculum speculum (eight-sided; multiwindowed)	Cannopilus antarcticus	Bachmannocena paulschulzi	Distephanus speculum speculum (7-sided)	Bachmannocena circulus	Distephanus speculum pentagonus (multiwindowed)	Distephanus crux hannai	Distephanus boliviensis (six-sided)	Dictyocha fibula	Distephanus speculum speculum f. varians	Distephanus speculum speculum f. pseudofibula	Distephanus speculum speculum f. pseudocrux	Distephanus speculum speculum f. notabilis	Bachmannocena diodon	Distephanus speculum speculum f. pseudopentagonus	Distephanus boliviensis (seven-sided)	Distephanus boliviensis (eight-sided)	Distephanus boliviensis (notabilid)	Distephanus crux (multiwindowed)	Naviculopsis biapiculata	Dictyocha pumila	Dictyocha messanensis stapedia (fibulid)	Dictyocha medusa	Distephanus boliviensis (multiwindowed)	Distephanus boliviensis (varianid)	Distephanus boliviensis (pseudofibulid)	Distephanus speculum speculum (eight-sided)	Comment



  SR	Pleistocene      	                 	D. speculum speculum	              	120	 751	A	  1	H	 1	  10.00	      0.1000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                 	                                                      	290                                    	                	                       	                    	4                              	                                                      	                 	                       	                	                                                          	                      	                         	5                                      	                      	                                               	                       	                                   	                	1                                       	                                             	                                           	                                          	                    	                                                 	                                     	                                     	                                   	                                	                        	                	                                        	                	                                       	                                  	                                       	                                           	Number of aberrants = 6; from ODP Leg 120 SR Vol 2 Chapter 42 Table 5 p 822-823

  SR	Pleistocene      	                 	D. speculum speculum	              	120	 751	A	  1	H	 3	  10.00	      3.1000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                 	                                                      	29                                     	                	                       	                    	                               	                                                      	                 	                       	                	                                                          	                      	                         	1                                      	                      	                                               	                       	                                   	                	                                        	                                             	                                           	                                          	                    	                                                 	                                     	                                     	                                   	                                	                        	                	                                        	                	                                       	                                  	                                       	1                                          	Number of aberrants = 1; from ODP Leg 120 SR Vol 2 Chapter 42 Table 5 p 822-823

  SR	Early Pliocene   	                 	D. speculum speculum	              	120	 751	A	  2	H	 3	  10.00	      7.8000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                 	1                                                     	247                                    	                	                       	                    	2                              	                                                      	                 	                       	                	                                                          	                      	                         	2                                      	                      	                                               	                       	47                                 	                	                                        	                                             	                                           	                                          	                    	                                                 	                                     	                                     	                                   	                                	                        	                	                                        	                	                                       	                                  	                                       	1                                          	Number of aberrants = 7; from ODP Leg 120 SR Vol 2 Chapter 42 Table 5 p 822-823

  SR	Early Pliocene   	                 	D. speculum speculum	              	120	 751	A	  3	H	 1	  10.00	     14.3000	McCartney	Silicoflagellates/Ebridians/Actiniscidians   	               	                  	                 	                                                      	159                                    	                	                       	                    	                               	                                                      	                 	                       	                	                                                          	                      	                         	                                       	                      	                                               	                       	83                                 	                	                                        	                                             	                                           	                                          	                    	                                                 	                                     	                                     	1                                  	                                	                        	                	                                        	                	55                                     	1                                 	1                                      	                                           	Number of aberrants = 14; from ODP Leg 120 SR Vol 2 Chapter 42 Table 5 p 822-823
