Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Tuberculodinium vancampoae	Spiniferites ramosus	Spiniferites mirabilis	Spiniferites membranaceus	Spiniferites hyperacanthus	Spiniferites bulloideus	Protoperidinium subinerme	Protoperidinium pentagonum	Protoperidinium conicum	Operculodinium longispinigerum	Operculodinium israelianum	Operculodinium echigoense	Operculodinium centrocarpum	Nematosphaeropsis lemniscata	Lingulodinium machaerophorum	Impagidinium strialatum	Impagidinium sphaericum	Impagidinium sp. A	Impagidinium patulum	Impagidinium paradoxum	Impagidinium aculeatum	Hystrichokolpoma rigaudiae	Cyst type A	Achomosphaera sp.	Comment



  SR	Pleistocene      	                 	                  	              	133	 820	B	 18	X	 3	  70.00	    163.9000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	15.2%                     	12.1%               	.0%                   	.0%                      	15.2%                     	3.0%                   	.0%                      	21.2%                     	.0%                    	.0%                           	15.2%                     	9.1%                     	.0%                        	.0%                         	.0%                         	3.0%                   	.0%                    	.0%               	6.0%                	.0%                   	.0%                   	.0%                       	.0%        	.0%              	Total count =  33; from ODP 133 SR Chapter 7 Table 1 p 95

  SR	Pleistocene      	                 	                  	              	133	 820	B	 19	X	 3	  70.00	    168.9000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	14.8%                     	14.8%               	.0%                   	.0%                      	25.9%                     	22.2%                  	.0%                      	.0%                       	.0%                    	.0%                           	14.8%                     	3.7%                     	.0%                        	.0%                         	.0%                         	.0%                    	.0%                    	.0%               	.0%                 	.0%                   	.0%                   	.0%                       	3.7%       	.0%              	Total count =  27; from ODP 133 SR Chapter 7 Table 1 p 95

  SR	Pleistocene      	                 	                  	              	133	 820	B	 20	X	 3	  70.00	    178.5000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	12.5%                     	20.8%               	.0%                   	.0%                      	16.7%                     	12.5%                  	.0%                      	.0%                       	.0%                    	4.2%                          	16.7%                     	.0%                      	.0%                        	.0%                         	.0%                         	.0%                    	.0%                    	.0%               	.0%                 	.0%                   	.0%                   	.0%                       	.0%        	.0%              	Total count =  24; from ODP 133 SR Chapter 7 Table 1 p 95

  SR	Pleistocene      	                 	                  	              	133	 820	B	 21	X	 3	  70.00	    187.8000	McMinn   	Dinoflagellates/Acritarchs/Prasinophytes     	               	                  	68.4%                     	2.6%                	.0%                   	.0%                      	2.6%                      	5.3%                   	.0%                      	.0%                       	.0%                    	2.6%                          	10.5%                     	.0%                      	2.6%                       	.0%                         	.0%                         	.0%                    	.0%                    	2.6%              	.0%                 	.0%                   	.0%                   	.0%                       	2.6%       	.0%              	Total count =  38; from ODP 133 SR Chapter 7 Table 1 p 95

