Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Umbilicosphaera mirabilis,Syracosphaera histrica,Pontosphaera syracusana,Pontosphaera japonica,Helicosphaera kamptneri,Gephyrocapsa oceanica,Gephyrocapsa caribbeanica,Emiliania huxleyi,Crenalithus doronicoides,Coccolithus pelagicus,Calcidiscus leptoporus,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Pleistocene      ,                 ,                  ,              ,108, 658,B,  2,H,CC,   8.00,     11.9600,Manivit  ,Nannofossils                                 ,A              ,G                 ,R                        ,R                     ,R                      ,F                    ,F                      ,C                    ,A                        ,C                ,F                       ,C                    ,F                     ,from ODP Leg 108 SR Chapter 4 Table 4 p 43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
