Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Xestoleberis sp. 2	Typhlocythere sp. 23	Saida sp. 1	Krithe sp. 11	Hemiparacytheridea sp. 45	Eucythere sp. 9	Eucythere sp. 8	Eucythere sp. 7	Eucythere sp. 5	Eucythere sp. 4	Eucythere sp. 1	Cytheropteron sp. 9	Cytheropteron sp. 13	Cytheralison sp. 1	Bradleya sp. 11	Bairdoppilata? sp.	Xestoleberis sp. 1	Tongacythere sp. 1	Rimacytheropteron sp. 24	Pseudocythere sp. 2	Pariceratina sp. 2	Monoceratina sp. 1	Hemiparacytheridea? sp. E	Hemiparacytheridea sp. 50	Hemiparacytheridea sp. 49	Hemiparacytheridea sp. 47	Hemiparacytheridea sp. 46	Hemiparacytheridea sp. 14	Hemiparacytheridea sp. 11	Eucythere sp. 14	Eucythere sp. 13	Eucythere sp. 12	Eucythere sp. 11	Eucythere sp. 10	Cytheropteron sp. 59	Cytheropteron sp. 58	Cytheropteron sp. 57	Cytheropteron sp. 53	Bythocypris sp. 4	Aversovalva sp. 34	Aversovalva sp. 31	Australoecia micra	Argilloecia sp. 26	Krithe sp. 24	Eucythere sp. 3	Eucythere sp. 16	Eucythere sp. 15	Cytheropteron sp. 52	Cytheropteron sp. 27	Aversovalva sp. 48	Krithe sp. 22	Eucythere sp. 17	Aversovalva sp. 47	Zabythocypris sp.	Cytheropteron sp. 14	Bythocypris sp. 2	Typhlocythere sp. 10	Eucythere sp. 18	Cytheropteron sp. 29	Cytherella sp. 2	Cardobairdia sp.	Argilloecia sp. 8	Semicytherura cf. S. pulchra	Paradoxostoma sp.	Hemicytherura sp. 12	Eucytherura sp. 27	Eucytherura sp. 15	Cytheropteron tressleri	Cytheropteron sp. 10	Bythocypris sp. 3	Aversovalva sp. 30	Argilloecia cf. A. fornicata	Tongacythere sp. 15	Pedicythere sp. 38	Eucytherura sp. 45	Aversovalva sp. 36	Argilloecia sp.	Eucythere sp. 19	Cytheropteron sp. 50	Cytheropteron sp. 32	Bythocypris sp. 1	Xestoleberis sp. 3	Paranesidea? sp.	Bythocythere sp. ? E sp. ?	Bythoceratina? sp.	Parahemingwayella sp. 39	Eucythere sp. 20	Cytheropteron sp. 15	Cythere ? sp.	Palmoconcha sp. 2	Bairdoppilata sp. 4	Parahemingwayella sp. 13b	Eucytherura sp. 13	Cytheropteron sp. 60	Typhlocythere sp. 28	Eucythere sp. 2	Eucytherura sp. 29	Saida sp. 3	Eucythere sp. 22	Eucythere sp. 21	Cytheropteron sp. 35	Krithe sp. 21	Eucythere sp. 23	Eucythere sp. 24	Krithe sp. 13	Bradleya sp. 20	Comment

  SR	                 	                 	N18               	              	144	 872	C	  3	H	 5	 118.00	     24.5600	Whatley  	Ostracodes                                   	               	                  	                  	                    	           	             	                         	               	               	               	               	               	               	                   	                    	-                 	4              	                  	                  	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	                         	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	1                   	                  	             	                	                  	                 	                    	                 	                    	1               	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	                 	                 	N18               	              	144	 872	C	  3	H	CC	   0.00	     26.8700	Whatley  	Ostracodes                                   	               	                  	                  	                    	           	             	                         	               	               	               	               	               	               	                   	                    	-                 	1              	                  	                  	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	                         	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	-                   	                  	             	                	                  	                 	                    	                 	                    	-               	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	1               	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N17b              	              	144	 872	C	  4	H	 5	 115.00	     34.0600	Whatley  	Ostracodes                                   	               	                  	                  	                    	           	             	                         	               	               	               	               	               	               	                   	                    	4                 	7              	                  	                  	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	                         	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	3                   	                  	             	                	                  	                 	                    	                 	                    	2               	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	1                  	                  	                  	2                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N17b              	              	144	 872	C	  4	H	CC	  14.00	     35.5100	Whatley  	Ostracodes                                   	               	                  	                  	3                   	           	2            	                         	               	               	               	               	               	               	                   	                    	2                 	17             	                  	1                 	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	                         	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	2                   	                  	             	                	                  	                 	                    	                 	                    	1               	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	2                	                  	                            	2                  	                  	                  	-                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	2          	                	                	                    	             	1               	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N17a              	              	144	 872	C	  5	H	 4	  59.00	     41.3600	Whatley  	Ostracodes                                   	               	                  	                  	-                   	           	-            	                         	               	               	               	               	               	               	                   	                    	-                 	2              	                  	-                 	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	                         	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	2                   	                  	             	                	                  	                 	                    	                 	                    	-               	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	1                	1                 	                            	1                  	                  	                  	-                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	1                 	-          	                	                	                    	2            	1               	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N17a              	              	144	 872	C	  5	H	CC	   5.00	     44.2100	Whatley  	Ostracodes                                   	               	                  	                  	2                   	           	-            	                         	               	               	               	               	               	               	                   	                    	1                 	12             	                  	-                 	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	1                        	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	2                   	                  	             	                	                  	                 	                    	1                	                    	1               	                    	1               	                	                 	                            	                 	                    	                  	                  	                       	                    	-                	1                 	                            	2                  	                  	                  	1                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	-                 	-          	                	1               	                    	5            	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Middle Miocene   	                 	N13               	              	144	 872	C	  6	H	 5	  95.00	     52.6600	Whatley  	Ostracodes                                   	               	                  	                  	1                   	           	-            	                         	               	               	               	               	               	               	                   	                    	1                 	5              	                  	-                 	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	-                        	                	                	                	                	                	                    	                    	                    	                    	                 	                  	                  	                  	                  	             	               	                	                	                    	6                   	                  	             	                	1                 	                 	                    	1                	                    	1               	                    	-               	                	                 	                            	                 	                    	                  	                  	                       	                    	-                	-                 	                            	3                  	                  	                  	-                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	-                 	-          	                	-               	                    	1            	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Middle Miocene   	                 	N13               	              	144	 872	C	  6	H	CC	   7.00	     54.2400	Whatley  	Ostracodes                                   	               	                  	                  	2                   	           	11           	                         	               	               	               	               	               	               	                   	                    	3                 	8              	                  	-                 	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	-                        	                	                	                	                	                	                    	                    	                    	2                   	                 	                  	                  	                  	                  	             	               	                	                	                    	17                  	                  	             	                	-                 	                 	                    	-                	                    	1               	1                   	-               	                	                 	                            	                 	                    	                  	                  	                       	                    	-                	1                 	                            	1                  	                  	                  	-                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	-                 	1          	1               	1               	1                   	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Middle Miocene   	                 	N12               	              	144	 872	C	  7	H	 5	  95.00	     62.4300	Whatley  	Ostracodes                                   	               	                  	                  	2                   	           	4            	                         	               	               	               	               	               	               	                   	                    	6                 	7              	                  	1                 	                  	                        	                   	                  	                  	                         	                         	                         	                         	                         	                         	-                        	                	                	                	                	                	                    	                    	                    	-                   	                 	                  	                  	                  	                  	             	               	                	                	                    	11                  	                  	             	                	-                 	                 	                    	-                	                    	1               	-                   	-               	                	                 	                            	                 	                    	                  	                  	                       	                    	-                	-                 	                            	-                  	                  	                  	-                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	-                 	1          	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Middle Miocene   	                 	N12               	              	144	 872	C	  7	H	CC	   8.00	     64.1300	Whatley  	Ostracodes                                   	               	                  	                  	1                   	           	4            	                         	               	               	               	               	               	               	                   	                    	3                 	8              	                  	-                 	                  	1                       	                   	                  	                  	                         	                         	                         	                         	                         	                         	1                        	                	                	                	                	                	                    	                    	                    	1                   	                 	                  	                  	                  	                  	             	               	                	                	                    	9                   	                  	             	                	2                 	                 	                    	-                	                    	-               	-                   	-               	                	                 	                            	                 	                    	                  	                  	                       	                    	-                	-                 	                            	1                  	                  	                  	1                 	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	1                 	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Middle Miocene   	                 	N10               	              	144	 872	C	  8	H	 5	  95.00	     71.8600	Whatley  	Ostracodes                                   	               	                  	                  	4                   	           	3            	                         	               	               	               	               	               	               	                   	                    	1                 	9              	                  	2                 	                  	-                       	                   	                  	                  	                         	                         	                         	                         	                         	                         	3                        	                	1               	                	                	                	                    	                    	2                   	2                   	                 	                  	                  	                  	                  	             	               	                	                	                    	8                   	                  	             	                	-                 	                 	                    	-                	3                   	2               	-                   	-               	                	                 	                            	                 	                    	                  	                  	                       	                    	-                	-                 	                            	1                  	                  	                  	-                 	               	                	1                   	                    	                 	                  	                	                          	                  	                        	1               	                    	             	                 	                   	                         	                  	                    	1                   	1              	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Middle Miocene   	                 	N10               	              	144	 872	C	  8	H	CC	  12.00	     74.0300	Whatley  	Ostracodes                                   	               	                  	                  	1                   	           	2            	                         	               	               	               	               	               	               	11                 	                    	1                 	4              	                  	-                 	                  	-                       	                   	                  	                  	                         	                         	                         	                         	                         	                         	1                        	                	-               	                	                	                	                    	                    	-                   	1                   	                 	                  	                  	                  	                  	             	               	                	                	                    	3                   	                  	             	                	-                 	                 	                    	-                	-                   	-               	-                   	-               	                	                 	                            	                 	                    	                  	                  	                       	                    	2                	-                 	                            	2                  	                  	                  	-                 	               	                	-                   	                    	                 	                  	                	                          	                  	                        	-               	                    	             	                 	                   	1                        	1                 	1                   	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N8                	              	144	 872	C	  9	H	 6	  78.00	     82.9100	Whatley  	Ostracodes                                   	               	                  	                  	8                   	           	6            	                         	               	               	               	               	1              	               	14                 	2                   	5                 	6              	                  	1                 	                  	1                       	                   	1                 	                  	                         	                         	                         	                         	                         	                         	2                        	                	-               	                	                	                	                    	                    	-                   	-                   	4                	1                 	                  	                  	                  	             	               	                	                	                    	-                   	                  	             	                	3                 	                 	                    	-                	-                   	-               	3                   	-               	                	                 	                            	                 	                    	                  	1                 	1                      	                    	-                	-                 	                            	2                  	                  	                  	-                 	               	                	-                   	                    	                 	                  	1               	                          	                  	                        	-               	1                   	             	2                	1                  	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N8                	              	144	 872	C	  9	H	CC	  10.00	     83.6000	Whatley  	Ostracodes                                   	               	                  	                  	10                  	           	9            	                         	               	2              	               	               	-              	               	17                 	-                   	11                	2              	                  	2                 	                  	-                       	                   	-                 	                  	                         	                         	                         	                         	                         	                         	2                        	                	-               	1               	                	                	                    	                    	-                   	1                   	1                	2                 	                  	                  	                  	             	               	                	                	                    	-                   	                  	             	                	3                 	                 	2                   	-                	-                   	-               	-                   	-               	                	                 	                            	                 	                    	                  	-                 	1                      	                    	-                	-                 	                            	4                  	                  	                  	-                 	               	                	-                   	                    	                 	                  	-               	                          	                  	1                       	1               	1                   	1            	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N8                	              	144	 872	C	 10	H	 6	  78.00	     92.5100	Whatley  	Ostracodes                                   	               	                  	1                 	8                   	           	2            	                         	               	3              	               	               	-              	               	10                 	4                   	11                	4              	                  	1                 	                  	1                       	                   	-                 	2                 	                         	                         	                         	                         	                         	                         	2                        	                	-               	-               	                	                	                    	                    	1                   	-                   	-                	-                 	                  	2                 	                  	             	               	                	                	                    	-                   	                  	             	                	2                 	                 	-                   	6                	1                   	-               	-                   	-               	                	                 	                            	                 	                    	                  	-                 	-                      	5                   	-                	1                 	                            	1                  	1                 	                  	-                 	1              	                	-                   	                    	                 	1                 	1               	1                         	1                 	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N8                	              	144	 872	C	 10	H	CC	  14.00	     93.8700	Whatley  	Ostracodes                                   	               	                  	-                 	5                   	           	6            	                         	               	1              	               	               	-              	               	3                  	2                   	13                	-              	                  	6                 	                  	1                       	                   	-                 	-                 	                         	                         	                         	                         	                         	                         	2                        	                	-               	-               	                	                	                    	                    	1                   	4                   	-                	-                 	                  	-                 	                  	             	               	                	                	                    	-                   	                  	             	                	2                 	                 	-                   	6                	-                   	-               	-                   	-               	1               	                 	                            	                 	                    	                  	-                 	-                      	-                   	-                	-                 	                            	4                  	-                 	                  	-                 	-              	1               	5                   	1                   	2                	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N7                	              	144	 872	C	 11	H	 5	  78.00	    100.4600	Whatley  	Ostracodes                                   	               	                  	-                 	8                   	           	6            	                         	               	2              	               	               	-              	               	6                  	-                   	10                	4              	                  	3                 	                  	1                       	                   	-                 	1                 	                         	                         	                         	                         	                         	                         	2                        	                	1               	-               	                	                	                    	                    	-                   	-                   	4                	-                 	                  	2                 	                  	             	               	                	                	                    	-                   	                  	             	                	-                 	                 	-                   	5                	-                   	-               	1                   	-               	-               	                 	                            	                 	                    	                  	-                 	-                      	-                   	-                	1                 	                            	1                  	1                 	1                 	1                 	2              	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N7                	              	144	 872	C	 11	H	CC	  11.00	    102.0000	Whatley  	Ostracodes                                   	               	                  	1                 	7                   	           	9            	                         	               	1              	               	               	-              	1              	6                  	-                   	21                	5              	                  	6                 	                  	-                       	2                  	-                 	2                 	                         	1                        	                         	                         	                         	1                        	4                        	                	-               	-               	                	                	                    	                    	-                   	-                   	3                	-                 	                  	1                 	                  	             	               	                	                	                    	-                   	                  	             	                	3                 	                 	-                   	15               	1                   	1               	2                   	-               	-               	                 	1                           	1                	1                   	1                 	1                 	1                      	2                   	4                	1                 	1                           	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N4b               	              	144	 872	C	 12	H	CC	   0.00	    106.9200	Whatley  	Ostracodes                                   	               	                  	-                 	7                   	           	-            	                         	               	-              	               	               	-              	1              	8                  	-                   	7                 	6              	                  	3                 	2                 	-                       	-                  	-                 	-                 	                         	-                        	                         	                         	                         	-                        	1                        	                	-               	-               	                	                	                    	                    	-                   	-                   	-                	-                 	3                 	-                 	                  	             	               	                	                	                    	-                   	                  	11           	                	-                 	                 	-                   	8                	2                   	1               	2                   	1               	1               	2                	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	N4b               	              	144	 872	C	 13	H	CC	  17.00	    114.2800	Whatley  	Ostracodes                                   	               	                  	2                 	3                   	           	-            	                         	               	2              	               	               	1              	1              	-                  	-                   	12                	7              	                  	2                 	2                 	-                       	-                  	-                 	-                 	                         	-                        	                         	                         	                         	-                        	1                        	1               	-               	-               	                	                	                    	                    	-                   	-                   	5                	-                 	-                 	-                 	                  	3            	               	                	                	                    	-                   	                  	19           	                	1                 	1                	2                   	13               	                    	                	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Miocene     	                 	                  	              	144	 872	C	 14	H	CC	  13.00	    123.6900	Whatley  	Ostracodes                                   	               	                  	-                 	2                   	           	-            	1                        	               	1              	               	               	3              	-              	-                  	-                   	32                	3              	                  	-                 	6                 	-                       	-                  	1                 	-                 	                         	-                        	                         	                         	                         	-                        	1                        	-               	-               	-               	                	                	                    	                    	-                   	8                   	-                	-                 	-                 	-                 	                  	3            	               	                	                	                    	-                   	                  	13           	1               	1                 	                 	                    	                 	                    	                	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Oligocene   	                 	P22               	              	144	 872	C	 15	H	CC	   0.00	    130.9400	Whatley  	Ostracodes                                   	               	                  	-                 	2                   	2          	21           	1                        	               	-              	               	               	1              	-              	-                  	-                   	10                	6              	                  	-                 	3                 	-                       	-                  	-                 	-                 	                         	-                        	                         	1                        	                         	-                        	-                        	1               	-               	-               	                	                	                    	                    	-                   	7                   	-                	-                 	-                 	-                 	                  	4            	1              	2               	2               	1                   	1                   	1                 	             	                	                  	                 	                    	                 	                    	                	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

  SR	Late Oligocene   	                 	P22               	              	144	 872	C	 16	H	CC	  11.00	    136.9100	Whatley  	Ostracodes                                   	               	                  	4                 	6                   	1          	19           	10                       	               	2              	1              	3              	-              	-              	-                  	-                   	21                	10             	                  	1                 	2                 	2                       	6                  	1                 	1                 	1                        	1                        	1                        	1                        	3                        	3                        	6                        	5               	2               	1               	1               	1               	1                   	1                   	1                   	20                  	2                	7                 	2                 	8                 	2                 	             	               	                	                	                    	                    	                  	             	                	                  	                 	                    	                 	                    	                	                    	                	                	                 	                            	                 	                    	                  	                  	                       	                    	                 	                  	                            	                   	                  	                  	                  	               	                	                    	                    	                 	                  	                	                          	                  	                        	                	                    	             	                 	                   	                         	                  	                    	                    	               	                  	           	                	                	                    	             	                	                	             	               	from ODP Leg 144 SR; Ch 4; Table 2; p 92-93

