Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Reticulofenestra cf. pseudoumbilica,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Coccolithus pelagicus,Calcidiscus macintyrei,Calcidiscus leptoporus,Discolithina japonica,Pontosphaera pacifica,Braarudosphaera bigelowii,Gephyrocapsa sp.,Gephyrocapsa oceanica,Gephyrocapsa ericsonii,Syracosphaera mediterranea,Syracosphaera pulchra,Gephyrocapsa caribbeanica,Emiliania huxleyi,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 861,C,  1,H, 1,  45.00,      0.4500,Spiegler ,Nannofossils                                 ,F              ,M                 ,                                   ,                        ,                    ,F                    ,F                    ,                      ,F                     ,R                    ,                     ,                         ,                ,R                    ,F                     ,R                         ,                     ,                         ,F                ,from ODP Leg 141 SR; Chapter 14; Table 7; p. 204-206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 861,C,  1,H, 2,  87.00,      2.3700,Spiegler ,Nannofossils                                 ,C              ,G                 ,                                   ,                        ,                    ,R                    ,                     ,                      ,F                     ,                     ,                     ,R                        ,                ,F                    ,C                     ,R                         ,                     ,                         ,F                ,from ODP Leg 141 SR; Chapter 14; Table 7; p. 204-206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 861,C,  1,H,CC,  22.00,      2.9800,Spiegler ,Nannofossils                                 ,F              ,G                 ,                                   ,                        ,                    ,F                    ,C                    ,                      ,F                     ,                     ,                     ,                         ,                ,R                    ,C                     ,                          ,                     ,                         ,                 ,from ODP Leg 141 SR; Chapter 14; Table 7; p. 204-206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 861,C,  2,H, 3,   9.00,      6.0900,Spiegler ,Nannofossils                                 ,F              ,M                 ,                                   ,                        ,                    ,F                    ,                     ,                      ,F                     ,                     ,                     ,R                        ,                ,F                    ,C                     ,                          ,                     ,                         ,F                ,from ODP Leg 141 SR; Chapter 14; Table 7; p. 204-206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Late Pleistocene ,                 ,NN21              ,              ,141, 861,C,  2,H, 4,  60.00,      8.1000,Spiegler ,Nannofossils                                 ,C              ,M                 ,                                   ,                        ,                    ,F                    ,C                    ,                      ,F                     ,                     ,                     ,                         ,                ,R                    ,C                     ,R                         ,R                    ,                         ,                 ,from ODP Leg 141 SR; Chapter 14; Table 7; p. 204-206
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
