Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Otoliths (all taxa),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 10,R, 2, 145.00,    261.4500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 14,R, 1, 145.00,    297.9500,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,120, 748,C, 71,R, 5, 140.00,    823.9000,Quilty   ,Miscellaneous                                ,B              ,                  ,-                  ,from ODP Leg 120 SR Vol 2 Chapter 59 Table 2 p 1066
,,,,,,,,,,,,,,,,,,
