Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Neogloboquadrina pachyderma (sinistral),Comment
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A,  1,R,CC,  20.00,      0.2000,Osterman ,Planktonic Foraminifers                      ,R              ,P                 ,R                                      ,       
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A,  9,R,CC,  34.00,     74.7400,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,       
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 13,R, 1,  23.00,    113.2300,Osterman ,Planktonic Foraminifers                      ,R              ,                  ,R                                      ,       
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 17,R, 1,  44.00,    151.8400,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,       
,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,                  ,              ,178,1103,A, 24,R,CC,   0.00,    218.4000,Osterman ,Planktonic Foraminifers                      ,R              ,G                 ,R                                      ,       
,,,,,,,,,,,,,,,,,,
