leg,site,hole,core,section,top interval depth(cm),bottom interval depth (cm),coredepth(m),sample depth(m),total number of observed fossils,investigators name,publication date (month/year),dsdp initial report volume number,fossil group,group abundance,chemical overgrowth,chemical dissolution,mechanical preservations,age,page number reference,fossil code,fossil,fossil abundance,fossil preservation,record join code
14,140,A,2,3,0.0,0.0,235.00,238.00, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDESM0041,Desmospyris lata (q),PRESENT,  ,1
14,140,A,2,3,80.0,82.0,235.00,238.81, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RAXOP0020,Axoprunum carduum,PRESENT,  ,1
14,140,A,2,3,80.0,82.0,235.00,238.81, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLITA0021,Lithapium mitra (q),PRESENT,  ,1
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RCLIS0020,Clistophaera sp.,PRESENT,  ,1
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RCORU0050,Cornutella stiligera,PRESENT,  ,1
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDIPL0010,Diplocyclas sp.,PRESENT,  ,1
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RHALO0020,Haliometta sp.,PRESENT,  ,1
14,140,A,2,4,80.0,82.0,235.00,240.31, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RPERY0030,Peripyramis magnifica,PRESENT,  ,1
14,140,A,2,5,0.0,0.0,235.00,241.00, 1,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RDESM0021,Desmospyris anthocyrtoides (q),PRESENT,  ,1
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RACAH0021,Acanthosphaera haliformis (q),PRESENT,  ,1
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RACTN0010,Actinommura sp.,PRESENT,  ,1
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RHELS0010,Heliosestilla spicata,PRESENT,  ,1
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RSTYA0040,Stylatractus ostracion,PRESENT,  ,1
14,140,A,2,5,5.0,7.0,235.00,241.06, 5,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RTRIG0030,Trigonactinium sp.,PRESENT,  ,1
14,140,A,2,6,0.0,0.0,235.00,242.50, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RLOPY0031,Lophocyrtis jacchia (q),PRESENT,  ,1
14,140,A,2,6,0.0,0.0,235.00,242.50, 2,"PETRUSHEVSKAYA,M.;KOZLOVA,G.",,14,RADIOLARIA,,,,,NO AGE GIVEN,576,RRHOA0010,Rhopalocanium ornatum,PRESENT,  ,1
