Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Reticulofenestra asanoi	Pseudoemiliania lacunosa	Gephyrocapsa spp. medium	Gephyrocapsa spp. (small)	Gephyrocapsa sp.3 medium	Calcidiscus leptoporus	Helicosphaera inversa	Helicosphaera carteri	Florisphaera profunda	Ceratolithus cristatus	Coccolithus pelagicus	Helicosphaera sellii	Helicosphaera wallichii	Gephyrocapsa omega	Ceratolithus telesmus	Emiliania huxleyi	Discoaster pentaradiatus	Comment



  IR	                 	Holocene         	                  	              	172	1060	A	  1	H	CC	  12.00	      9.0300	Raffi    	Nannofossils                                 	C              	M                 	                       	                        	C                       	R                        	                        	                      	                     	R                    	A                    	                      	F                    	                    	R                      	R                 	                     	A                	r                       	abundant terrigenous input, clay minerals - age: <0.085

  IR	                 	Pleistocene      	                  	              	172	1060	A	  2	H	CC	  20.00	     18.9400	Raffi    	Nannofossils                                 	A              	G                 	                       	                        	A                       	C                        	                        	F                     	                     	R                    	                     	+                     	                     	                    	F                      	C                 	                     	A                	                        	age: <0.085

  IR	                 	Pleistocene      	                  	              	172	1060	A	  3	H	CC	  23.00	     28.3200	Raffi    	Nannofossils                                 	A              	G                 	                       	                        	                        	A                        	                        	A                     	                     	F                    	C                    	F                     	A                    	                    	C                      	C                 	R                    	C                	                        	Abundant Diatoms - Pliocene reworked forms. Age: >0.085 <0.26

  IR	                 	Pleistocene      	                  	              	172	1060	A	  4	H	CC	  27.00	     38.1600	Raffi    	Nannofossils                                 	A              	M                 	                       	                        	F                       	C                        	                        	C                     	                     	+                    	C                    	                      	R                    	                    	+                      	R                 	                     	C                	                        	dissolution on some nannos - reworked forms - age: >0.085 <0.26

  IR	                 	Pleistocene      	                  	              	172	1060	A	  5	H	CC	  26.00	     47.5700	Raffi    	Nannofossils                                 	A              	M                 	                       	                        	F                       	A                        	                        	F                     	                     	+                    	+                    	+                     	F                    	                    	+                      	                  	                     	-                	                        	evidence of dissolution on helicoliths and Calcidiscus - age: >0.26 <0.46

  IR	                 	Pleistocene      	                  	              	172	1060	A	  6	H	CC	  24.00	     57.1200	Raffi    	Nannofossils                                 	A              	M                 	                       	-                       	C                       	C                        	                        	C                     	                     	+                    	                     	R                     	F                    	                    	C                      	F                 	R                    	                 	                        	dissolution on helicoliths and Calcidiscus - age: >0.26 <0.46

  IR	                 	                 	                  	              	172	1060	A	  7	H	CC	  28.00	     66.5000	Raffi    	Nannofossils                                 	A              	M                 	                       	                        	A                       	A                        	C                       	C                     	R                    	F                    	A                    	                      	F                    	                    	                       	                  	                     	                 	                        	> 0.26    < 0.46

  IR	                 	                 	                  	              	172	1060	A	  8	H	CC	  31.00	     75.3100	Raffi    	Nannofossils                                 	A              	M                 	                       	-                       	A                       	A                        	                        	                      	                     	R                    	A                    	                      	R                    	                    	                       	                  	                     	                 	                        	> 0.26     < 0.46

  IR	                 	                 	                  	              	172	1060	A	  9	H	CC	  29.00	     85.6600	Raffi    	Nannofossils                                 	A              	M                 	                       	-                       	A                       	A                        	F                       	C                     	R                    	F                    	A                    	                      	F                    	                    	                       	                  	                     	                 	                        	> 0.26    < 0.46

  IR	                 	                 	                  	              	172	1060	A	 10	H	CC	  29.00	     95.1500	Raffi    	Nannofossils                                 	A              	M                 	                       	                        	A                       	A                        	F                       	C                     	                     	F                    	A                    	                      	                     	                    	R                      	                  	                     	                 	                        	> 0.26    < 0.46

  IR	                 	                 	                  	              	172	1060	A	 11	H	CC	  21.00	    104.6300	Raffi    	Nannofossils                                 	A              	G                 	                       	                        	C                       	A                        	                        	C                     	F                    	C                    	A                    	                      	F                    	R                   	                       	                  	                     	                 	                        	> 0.26     < 0.46

  IR	                 	                 	                  	              	172	1060	A	 12	H	CC	  38.00	    114.1300	Raffi    	Nannofossils                                 	A              	M                 	                       	5                       	A                       	A                        	                        	A                     	R                    	                     	                     	                      	                     	                    	                       	                  	                     	                 	                        	- 0.46

  IR	                 	                 	                  	              	172	1060	A	 13	H	CC	   0.00	    123.2500	Raffi    	Nannofossils                                 	A              	VG                	                       	A                       	F                       	D                        	                        	C                     	                     	F                    	                     	                      	F                    	                    	                       	                  	                     	                 	                        	> 0.46   < 0.96   grey clay

  IR	                 	                 	                  	              	172	1060	A	 14	H	CC	  21.00	    133.0800	Raffi    	Nannofossils                                 	A              	G                 	                       	A                       	A                       	A                        	C                       	A                     	                     	C                    	A                    	                      	                     	                    	                       	                  	                     	                 	                        	> 0.46   < 0.96

  IR	                 	                 	                  	              	172	1060	A	 16	H	CC	   0.00	    151.6300	Raffi    	Nannofossils                                 	A              	G                 	F                      	A                       	A                       	A                        	F                       	A                     	                     	F                    	A                    	R                     	                     	                    	                       	                  	                     	                 	                        	> 0.46    < 0.96

  IR	                 	                 	                  	              	172	1060	A	 17	H	CC	  20.00	    160.5400	Raffi    	Nannofossils                                 	A              	G                 	                       	A                       	F                       	D                        	                        	C                     	R                    	F                    	A                    	F                     	                     	                    	                       	                  	                     	                 	                        	> 0.46    < 0.96

  IR	                 	                 	                  	              	172	1060	A	 18	H	CC	  15.00	    170.1100	Raffi    	Nannofossils                                 	A              	G                 	F                      	D                       	R                       	A                        	7                       	C                     	                     	                     	                     	                      	                     	                    	                       	                  	                     	                 	                        	> 0.46   < 0.96

