Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Robsoniella cf. falklandensis,Arculicythere tumida,Cytherella sp.,Pirileberis aff. mkuzensis,Collisaboris? stanleyensis,Bairdia sp.,Trachyleberis anteplana,Cytherella cf. atypica,Paramunsayella? exmouthensis,Cytherelloidea cf. carnavonensis,Bairdia austracretacea,Hystricocythere sp.,Penyella ? sp. 11,Cytherella cf. jonesi,Cytherelloidea cf. colemani,Henryhowella? reticulata,Bradleya ossa,Bairdioidea (inspecified taxon or taxa),Actinocythereis orientalis,Cytherella spp.,Poseidonamicus? sp.,Krithe spp.,Henryhowella sp.,Actinocythereis n.s. sp.,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B,  2,X, 1,  77.00,    190.7700,Guernet  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,+                       ,+            ,+                                      ,+                         ,+              ,+                  ,+          ,+               ,+                       ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B,  3,X, 4,  97.00,    204.9700,Guernet  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,+                       ,             ,                                       ,                          ,+              ,+                  ,           ,                ,                        ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B,  5,X, 3,  18.00,    221.6800,Guernet  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,+                       ,+            ,                                       ,+                         ,               ,+                  ,           ,                ,                        ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,                  ,              ,122, 763,B,  6,X, 5,  78.00,    234.7800,Guernet  ,Ostracodes                                   ,               ,                  ,                             ,                    ,              ,                          ,                          ,           ,                       ,                      ,                            ,                                ,                      ,                   ,                 ,                     ,                           ,                        ,+            ,+                                      ,+                         ,+              ,                   ,           ,                ,                        ,from ODP Leg 122 SR Chpater 49 Table 1 p 836
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
