Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Lamprocyclas hannai	Eucyrtidium calvertense	Lamprocyrtis neoheteroporos	Lamprocyrtis heteroporos	Eucyrtidium teuscheri teuscheri	Didymocyrtis tetrathalamus tetrathalamus	Didymocyrtis avita	Cycladophora pliocenica	Axoprunum angelinum	Theocorythium trachelium trachelium	Pterocanium trilobum	Eucyrtidium acuminatum	Cycladophora sakaii	Cycladophora cornutoides	Amphirhopalum ypsilon	Pterocanium praetextum eucolpum	Cycladophora davisiana	Spongurus pylomaticus	Comment



  IR	                 	                 	                  	              	175	1087	A	  1	H	CC	  16.00	      8.2100	Motoyama 	Radiolarians                                 	C              	M                 	                   	                       	                           	                        	                               	+                                       	                  	                       	                   	                                   	1                   	                      	                   	                        	                     	                               	+                     	                     	       

  IR	                 	                 	                  	              	175	1087	A	  3	H	CC	  21.00	     27.7500	Motoyama 	Radiolarians                                 	A              	M                 	+                  	                       	                           	                        	                               	+                                       	                  	                       	+                  	+                                  	                    	                      	                   	                        	                     	1                              	+                     	1                    	       

  IR	                 	                 	                  	              	175	1087	A	  4	H	CC	   0.00	     36.7100	Motoyama 	Radiolarians                                 	A              	M                 	+                  	1                      	+                          	                        	                               	+                                       	                  	                       	+                  	                                   	                    	                      	                   	                        	                     	                               	+                     	                     	       

  IR	                 	                 	                  	              	175	1087	A	  5	H	CC	  15.00	     46.5500	Motoyama 	Radiolarians                                 	A              	M                 	                   	+                      	                           	1                       	                               	+                                       	                  	                       	1                  	                                   	                    	                      	                   	                        	                     	                               	+                     	                     	       

  IR	                 	                 	                  	              	175	1087	A	  6	H	CC	  19.00	     56.1200	Motoyama 	Radiolarians                                 	A              	M                 	1                  	+                      	                           	                        	                               	+                                       	                  	                       	                   	                                   	                    	                      	                   	                        	                     	                               	+                     	                     	       

  IR	                 	                 	                  	              	175	1087	A	  7	H	CC	  33.00	     65.7100	Motoyama 	Radiolarians                                 	A              	M                 	+                  	+                      	1                          	                        	1                              	+                                       	                  	                       	                   	+                                  	+                   	                      	                   	                        	1                    	                               	+                     	1                    	       

  IR	                 	                 	                  	              	175	1087	A	  8	H	CC	   0.00	     74.3400	Motoyama 	Radiolarians                                 	A              	M                 	+                  	+                      	                           	                        	                               	+                                       	+                 	                       	                   	                                   	1                   	                      	                   	                        	+                    	                               	+                     	                     	       

  IR	                 	                 	                  	              	175	1087	A	  9	H	CC	  13.00	     84.5600	Motoyama 	Radiolarians                                 	A              	M                 	+                  	+                      	                           	+                       	                               	+                                       	                  	                       	+                  	                                   	                    	1                     	                   	                        	1                    	1                              	+                     	                     	       

  IR	                 	                 	                  	              	175	1087	A	 10	H	CC	   0.00	     93.6100	Motoyama 	Radiolarians                                 	A              	M                 	1                  	+                      	1                          	+                       	1                              	+                                       	+                 	                       	+                  	+                                  	1                   	+                     	1                  	+                       	+                    	                               	                      	                     	       

  IR	                 	                 	                  	              	175	1087	A	 11	H	CC	  24.00	    103.4200	Motoyama 	Radiolarians                                 	A              	M                 	1                  	+                      	1                          	+                       	                               	1                                       	                  	                       	+                  	                                   	                    	                      	                   	                        	                     	                               	                      	                     	       

  IR	                 	                 	                  	              	175	1087	A	 12	H	CC	  14.00	    112.9700	Motoyama 	Radiolarians                                 	A              	M                 	+                  	+                      	1                          	+                       	1                              	+                                       	+                 	1                      	+                  	                                   	                    	                      	                   	                        	                     	                               	                      	                     	       

  IR	                 	                 	                  	              	175	1087	A	 13	H	CC	  55.00	    122.8500	Motoyama 	Radiolarians                                 	A              	M                 	+                  	1                      	                           	                        	                               	                                        	                  	                       	                   	                                   	                    	                      	                   	                        	                     	                               	                      	                     	       

