Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (dextral)	Globorotalia inflata	Globigerina bulloides	Globorotalia scitula	Globigerinita glutinata	Globigerina quinqueloba	Neogloboquadrina pachyderma (sinistral)	Globorotalia truncatulinoides	Globigerina aequilateralis	Orbulina universa	Globorotalia crassaformis	Comment



  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  1	H	CC	  13.00	      7.3900	Flower   	Planktonic Foraminifers                      	C              	G                 	                                     	                    	C                    	R                   	                       	                       	A                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  2	H	CC	  18.00	     17.2800	Flower   	Planktonic Foraminifers                      	A              	G                 	                                     	R                   	D                    	F                   	                       	                       	A                                      	                             	                          	R                	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  3	H	CC	  26.00	     26.8600	Flower   	Planktonic Foraminifers                      	C              	G                 	                                     	R                   	                     	F                   	                       	                       	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  4	H	CC	  15.00	     36.3400	Flower   	Planktonic Foraminifers                      	F              	G                 	R                                    	                    	R                    	R                   	                       	R                      	D                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  5	H	CC	  21.00	     45.9400	Flower   	Planktonic Foraminifers                      	C              	G                 	T                                    	F                   	C                    	T                   	T                      	                       	A                                      	                             	                          	T                	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  6	H	CC	  16.00	     55.3500	Flower   	Planktonic Foraminifers                      	F              	G                 	                                     	A                   	C                    	R                   	                       	R                      	F                                      	                             	                          	                 	R                        	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  7	H	CC	  21.00	     64.8200	Flower   	Planktonic Foraminifers                      	A              	G                 	F                                    	A                   	A                    	R                   	                       	T                      	F                                      	                             	                          	                 	R                        	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  8	H	CC	  23.00	     74.3000	Flower   	Planktonic Foraminifers                      	A              	G                 	R                                    	A                   	C                    	R                   	                       	                       	C                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 983	A	  9	H	CC	  25.00	     83.8500	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                    	A                   	C                    	R                   	                       	                       	R                                      	                             	                          	                 	                         	from 162SR.Ch 2.Table 7.

