Data	Age From (oldest)	Age To (youngest)	Zone From (bottom)	Zone To  (top)	Leg	Site	H	Cor	T	Sc	Top(cm)	Depth (mbsf)	Scientist	Fossil Group                                 	Group Abundance	Group Preservation	Neogloboquadrina pachyderma (sinistral)	Neogloboquadrina pachyderma (dextral)	Globorotalia scitula	Globorotalia inflata	Globorotalia crassaformis	Globigerinita uvula	Globigerinita glutinata	Globigerina quinqueloba	Globigerina bulloides	Orbulina universa	Globigerina aequilateralis	Globorotalia truncatulinoides	Comment



  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  1	H	 2	  67.00	      2.1700	Flower   	Planktonic Foraminifers                      	A              	G                 	A                                      	C                                    	R                   	R                   	                         	T                  	                       	                       	A                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  1	H	 5	  39.00	      6.3900	Flower   	Planktonic Foraminifers                      	A              	G                 	                                       	A                                    	                    	R                   	R                        	R                  	T                      	                       	                     	                 	A                         	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  1	H	 5	 137.00	      7.3700	Flower   	Planktonic Foraminifers                      	A              	G                 	R                                      	F                                    	F                   	C                   	                         	                   	F                      	                       	A                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  1	H	 6	  80.00	      8.3000	Flower   	Planktonic Foraminifers                      	A              	G                 	F                                      	R                                    	F                   	F                   	                         	                   	R                      	                       	A                    	R                	                          	R                            	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  1	H	CC	  14.00	      9.3600	Flower   	Planktonic Foraminifers                      	A              	G                 	F                                      	F                                    	F                   	F                   	                         	                   	F                      	F                      	A                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  2	H	CC	  15.00	     18.9500	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	F                                    	F                   	F                   	                         	                   	F                      	R                      	C                    	F                	                          	R                            	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  3	H	CC	  15.00	     28.6100	Flower   	Planktonic Foraminifers                      	A              	G                 	C                                      	C                                    	F                   	F                   	                         	                   	R                      	R                      	A                    	                 	                          	                             	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  4	H	 4	  50.00	     33.4000	Flower   	Planktonic Foraminifers                      	A              	G                 	F/C                                    	F                                    	F                   	R                   	                         	                   	T                      	F                      	A                    	T                	                          	T                            	from 162SR.Ch2.Table3.

  IR	                 	Pleistocene      	                  	N.pachyderma(s. W&C)	162	 980	A	  4	H	 5	  50.00	     34.9000	Flower   	Planktonic Foraminifers                      	A              	G                 	T/R                                    	F                                    	F                   	C                   	                         	                   	R                      	F                      	C/A                  	T                	                          	R                            	from 162SR.Ch2.Table3.

