Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Spirosigmoilinella sp.,Spirosigmoilinella spp.,Martinottiella communis,Comment
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C1                ,              ,104, 642,D,  2,X, 1,  73.00,    190.6300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,+                      ,Other taxa=+;  from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C1                ,              ,104, 642,D,  2,X, 2,  73.00,    192.1300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,+                      ,Other taxa=+;  from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C1                ,              ,104, 642,D,  2,X, 5,  73.00,    196.6300,Osterman ,Benthic Foraminifers                         ,               ,                  ,81.3%                 ,                       ,12.5%                  ,Other taxa=6.2%;  from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C1                ,              ,104, 642,D,  2,X, 6,  73.00,    198.1300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,+                      ,from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C2                ,              ,104, 642,D,  2,X,CC,   4.00,    199.2900,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,                       ,Other taxa = 0%; from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  IR,                 ,                 ,C1                ,              ,104, 642,D,  2,X,CC,  31.00,    199.5600,Osterman ,Benthic Foraminifers                         ,R              ,M                 ,                      ,                       ,T                      ,100% benthic forams; ODP 104 IR Chapter 4 Table 14 p 128-129
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C2                ,              ,104, 642,D,  3,X, 1,  73.00,    200.3300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,+                      ,Other taxa = 0%; from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C2                ,              ,104, 642,D,  3,X, 2,  73.00,    201.8300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,                       ,Other taxa = 0%; from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C2                ,              ,104, 642,D,  3,X, 3,  73.00,    203.3300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,                       ,Other taxa = 0%; from ODP 104 SR Chapter 37 Table 4  p 756
,,,,,,,,,,,,,,,,,,,,
  SR,                 ,                 ,C2                ,              ,104, 642,D,  3,X, 4,  73.00,    204.8300,Osterman ,Benthic Foraminifers                         ,               ,                  ,+                     ,                       ,                       ,Other taxa = 0%; from ODP 104 SR Chapter 37 Table 4  p 756
