Data,Age From (oldest),Age To (youngest),Zone From (bottom),Zone To  (top),Leg,Site,H,Cor,T,Sc,Top(cm),Depth (mbsf),Scientist,Fossil Group                                 ,Group Abundance,Group Preservation,Thoracosphaera spp.,Sphenolithus moriformis,Sphenolithus heteromorphus,Sphenolithus abies,Reticulofenestra pseudoumbilica,Pontosphaera spp.,Helicosphaera ampliaperta,Discoaster deflandrei,Cyclicargolithus floridanus,Coronocyclus nitescens,Coccolithus pelagicus,Calcidiscus macintyrei,Hayaster perplexus,Umbilicosphaera sibogae,Scyphosphaera spp.,Pseudoemiliania lacunosa,Helicosphaera sellii,Helicosphaera carteri,Gephyrocapsids (small),Discoaster variabilis,Discoaster triradiatus,Discoaster tamalis,Discoaster surculus,Discoaster pentaradiatus,Discoaster brouweri,Discoaster asymmetricus,Crenalithus doronicoides,Ceratolithus cristatus,Calcidiscus leptoporus,Rhabdosphaera clavigera,Pontosphaera japonica,Gephyrocapsa oceanica,Scapholithus fossilis,Gephyrocapsa caribbeanica,Comment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  1,H, 1,  80.00,      0.8000,Clark    ,Nannofossils                                 ,C              ,G                 ,F                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,A                      ,A                 ,R                       ,                    ,F                    ,A                     ,rR                   ,                      ,                  ,rR                 ,rR                      ,                   ,                       ,A                       ,F                     ,A                     ,C                      ,                     ,A                    ,F                    ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  1,H, 2,  80.00,      2.3000,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                       ,                          ,rR                ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,A                      ,C                 ,R                       ,                    ,F                    ,A                     ,rR                   ,                      ,                  ,                   ,                        ,rR                 ,                       ,C                       ,C                     ,A                     ,C                      ,                     ,V                    ,R                    ,                         ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  1,H, 3,  80.00,      3.8000,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                       ,                          ,                  ,                               ,F                ,                         ,                     ,rR                         ,                      ,F                    ,                      ,                  ,C                      ,C                 ,A                       ,                    ,F                    ,A                     ,rR                   ,                      ,                  ,                   ,rR                      ,                   ,                       ,C                       ,F                     ,C                     ,F                      ,                     ,V                    ,R                    ,A                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  SR,Early Pleistocene,                 ,P. lacunosa       ,              ,110, 673,B,  1,H, 4,  80.00,      5.3000,Clark    ,Nannofossils                                 ,A              ,G                 ,C                  ,                       ,                          ,rR                ,                               ,C                ,                         ,                     ,                           ,                      ,F                    ,                      ,R                 ,C                      ,C                 ,A                       ,                    ,F                    ,A                     ,                     ,                      ,                  ,                   ,                        ,                   ,                       ,C                       ,F                     ,A                     ,F                      ,                     ,V                    ,F                    ,F                        ,from ODP 110 SR. Chapter 9. Table 3. back pocket microfiche.
