Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Globigerina bulloides,Globigerina foliata,Globigerina umbilicata,Globigerinita glutinata,Globigerinita iota,Globigerinita uvula,Globorotalia hirsuta,Globorotalia scitula,Neogloboquadrina humerosa,Neogloboquadrina inglei,Neogloboquadrina kagaensis,Neogloboquadrina incompta (dextral),Neogloboquadrina incompta (sinsitral),Neogloboquadrina pachyderma (sinistral),Neogloboquadrina pachyderma (dextral),"Neogloboquadrina pachyderma A (dextral, inflated form)","Neogloboquadrina pachyderma B (sinistral, inflated form)","Neogloboquadrina pachyderma C (sinistral, compressed form)",Orbulina universa,Comments,Ship File Links,Shore File Links,File Data,eodp_id
341-U1417D-1H-CC-PAL,341,U1417,D,1,1-CC,H,CC,PAL,0,5,6.0,6.05,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],D,,,A,P,,P,,P,,,,,,D,R,,R,,,Foram rich sediments,,,,4c4519352acda2d13cd4e86a895360db
341-U1417D-2H-CC-PAL,341,U1417,D,2,2-CC,H,CC,PAL,0,5,14.46,14.51,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],A,P,,A,P,,,,P,,,,,F,D,P,,F,,,Sandy,,,,d49c7d17caa45480b7013e6bd7848358
341-U1417D-3H-CC-PAL,341,U1417,D,3,3-CC,H,CC,PAL,0,6,24.5,24.56,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],R,,,F,,,,,R,,,,,,D,,,R,,,Sandy. Presence of pyralitized foram surface,,,,38ee025bbe33672c28a58e23978d2c26
341-U1417D-4H-CC-PAL,341,U1417,D,4,4-CC,H,CC,PAL,0,5,34.78,34.83,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],F,,,F,,,,,,,,,,,D,P,,,,,sandy,,,,e414fa52b2053efe36baa4c8af100c9b
341-U1417D-5H-CC-PAL,341,U1417,D,5,5-CC,H,CC,PAL,0,5,44.15,44.2,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,M [P15],P,R,,A,,,,,,,,,,,D,,,A,,,,,,,c42aee1d6f73b465f9a012ee1fa50b97
341-U1417D-6H-CC-PAL,341,U1417,D,6,6-CC,H,CC,PAL,0,5,52.54,52.59,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,G [P15],R,,,D,,,,,,,,,,R,D,R,,,,,Presence of the pyritillized specimen (surface structure).,,,,5744f4e92ffcc2e24799c076f348bc9d
341-U1417D-8H-CC-PAL,341,U1417,D,8,8-CC,H,CC,PAL,0,5,66.05,66.1,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P [P15],P,,,,,,,,A,,,,,,D,,,,,,Sandy,,,,41b0f18d408226d70f066aae20f0db19
341-U1417D-10H-CC-PAL,341,U1417,D,10,10-CC,H,CC,PAL,0,5,85.0,85.05,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,,B,,,,,,,,,,,,,,,,,,,,Sandy,,,,3ec6d6a9c9a6f8c89c901da585eb3b3a
341-U1417D-12H-CC-PAL,341,U1417,D,12,12-CC,H,CC,PAL,0,5,101.82,101.87,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P [P15],P,,,,,,,,,,,,,,D,,,,,,Sandy,,,,427482c5534d283f772a6b09550575eb
341-U1417D-16H-7-PAL,341,U1417,D,16,16-7,H,7,PAL,0,5,138.1,138.15,CM1,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,P [P15],P,,,,,,,,,,,,,,D,,,,,,"Indurate ""chunky"" sediments",,,,d1a4bb216a38c25868caa75ded9ac85a
341-U1417D-20H-CC-PAL,341,U1417,D,20,20-CC,H,CC,PAL,0,5,162.49,162.54,,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,,B,,,,,,,,,,,,,,,,,,,,"Indurate ""chunky"" sediments",,,,8fb866776307097733b015784229e44c
341-U1417D-24H-CC-PAL,341,U1417,D,24,24-CC,H,CC,PAL,0,5,180.4,180.45,,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,,B,,,,,,,,,,,,,,,,,,,,"Indurate ""chunky"" sediments, Pyritallized rads/diatoms",,,,f0065044879c4b59bc9d5d16a97fe7e8
341-U1417D-26H-CC-PAL,341,U1417,D,26,26-CC,H,CC,PAL,0,5,187.49,187.54,,"N. Pachyderma B partial range zone (Kennett et al., 1990)",,,B,,,,,,,,,,,,,,,,,,,,Radiolarian rich,,,,a67e642bfd279eaa1c2daa68a16d6d7d
341-U1417D-28H-CC-PAL,341,U1417,D,28,28-CC,H,CC,PAL,0,5,192.1,192.15,CM2,"N. pachyderma B - N. pachyderma A (Kennett et al., 1990)",LO Neogloboquadrina inglei Kucera and Kennet (2000),M [P15],F,,,A,,,,,F,,A,A,,,F,D,,,,,Sandy. Presence of brown colored foraminifer shells,,,,3f8f852faf81c036134b885cf9a67554
341-U1417D-30H-CC-PAL,341,U1417,D,30,30-CC,H,CC,PAL,0,5,201.24,201.29,,,,,B,,,,,,,,,,,,,,,,,,,,Sandy,,,,71639e1e5a8d51fe193a34e85670a8a5
341-U1417D-32H-CC-PAL,341,U1417,D,32,32-CC,H,CC,PAL,0,5,208.87,208.92,,,,,B,,,,,,,,,,,,,,,,,,,,Sandy,,,,0de2c9464f66079c6233c570f42230d8
