Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],,Preservation,Group abundance,Bolivina sp.,Alabamina dissonata,Alabamina cf. dissonata,Alabamina sp.,Anomalina praeacuta,Anomalina sp.,Anomalinoides semicribratus,Anomalinoides sp.,Arenobulimina ?,Astacolus parallelus,Astacolus sp.,Bathysiphon sp.,Bulbobaculites ?,Bulimina sp.,Bulimina thanetensis,Buliminella sp.,Cancris ?,Cassidulina subglobosa,Chrysalogonium sp.,Cibicidoides subspiratus,Cibicidoides aff. laurisae,Cibicidoides eocaenus,Cibicidoides cf. eocaenus,Cibicidoides cf. havanensis,Cibicidoides grimsdalei,Cibicidoides havanensis,Cibicidoides kullenbergi,Cibicidoides praemundulus,Gaudryina pyramidata,Cibicidoides sp.,Gavelinella sp.,Gavelinella hyphalus,Dentalina sp.,Dorothia trochoides,Eggerella bradyi,Eggerella sp.,Ellipsodimorphina macrocephala,Ellipsodimorphina spp.,Ellipsoidella  sp.,Epistominella sp.,Epistominella umbonifera ?,Eponides regularis,Eponides sp.,Fissurina sp.,Globobulimina sp.,Globobulimina pacifica,Globocassidulina globosa,Glomospira sp.,Guttulina sp.,Gyroidina sp.,Gyroidinoides globosus,Gyroidinoides spp.,Hoeglundina ?,Kalamopsis (?),Karreriella sp.,Laevidentalina sp.,Lagena sp.,Laticarinina pauperata,Lenticulina cf. adenalensis,Lenticulina sp.,Melonis pompilioides,Melonis sp.,Neoeponides procerus,Neoeponides sp.,Neoflabellina sp.,Nuttallides truempyi,Nodosaria aspera,Nodosaria sp.,Nonion spp.,Oridorsalis sp.,Oridorsalis umbonatus,Plectofrondicularia cf. kerni,Plectofrondicularia lirata,Pleurostomella acuta,Paralabamina hillebrandti,Pleurostomella tenuis,Pleurostomella sp.,Polymorphina sp.,Pullenia bulloides,Pleurostomella paleocenica,Pullenia cf. jarvisis,Pullenia quinqueloba,Pyramidulina sp.,Pyrgo sp.,Pyrulina sp.,Quinqueloculina sp.,Saracenaria sp.,Spiroplectammina spectabilis,Spiroloculina depressa,Spiroplectammina sp.,Stilostomella gracillima,Stilostomella lepidula,Stilostomella paleocenica,Stilostomella sp.,Stilostomella subspinosa,Strictocostella scharbergana,Tritaxia sp.,Trochammina sp.,Turrilina sp.,Uvigerina sp.,Uvigerina elongata,Valvulina spinosa?,Others,Comments,File Data,,eodp_id
342-U1408A-1H-CC-PAL,342,U1408,A,1,1-CC,H,CC,PAL,0,5,4.33,4.38,4.36,VG,P,,,,,,,,,,,,,,P,,,,,,,,,,,,,P,,,P,,,,,,,,,,,,,P,,,,,,,,,P,,,,,,,,P,,,,,,,,,P,P,P,,,,,,,,F,,,F,,A,,P,,,,,,,,,,,,,,P,,,P,"assemblage checked in two trays only, not picked",,,73f2bee06bad281bfe88b35b37e8a724
342-U1408A-2H-CC-PAL,342,U1408,A,2,2-CC,H,CC,PAL,0,10,13.82,13.92,13.87,M,A,P,,,,,,P,,,,,D,F,F,,,,A,,,,,,,,,,,,,,,F,,,,,,,,,,,P,,,,,,,,F,,,,,P,,,,,,,,,,,,P,P,,,,P,,P,,,,,P,P,,,,,,F,,,F,,,,F,,,,,F,,,P,,,,7f64a091418b83a94eb18f870f559d36
342-U1408A-3H-CC-PAL,342,U1408,A,3,3-CC,H,CC,PAL,0,10,23.32,23.42,23.37,G,P,,,,,,,F,F,,,,,F,,,,,A,P,,,,P,P,,,,P,,,,,F,P,,,,,,,,,,P,,,,,,,,F,,P,,,P,,,,,,,,,,,P,P,P,P,,,,,,,,P,,P,F,,,,,P,,,,,A,,F,A,,,,,,A,F,,,,,5bfb645b12504664d93907e37da87abe
342-U1408A-4H-CC-PAL,342,U1408,A,4,4-CC,H,CC,PAL,0,8,31.75,31.83,31.79,VG,P,,,,,,P,F,F,,,,,,,,,,F,A,,,,,,P,,,P,,,,,F,P,,,,P,,,,,,,,,,,,P,,P,,,F,,,,,,,,,,,A,,,P,F,F,,,P,,F,,P,F,,P,P,,,,,,,,,F,F,,F,A,,,,,,,F,F,,,,5779edfc69b3e98c50b29c6ed293634f
342-U1408A-5H-CC-PAL,342,U1408,A,5,5-CC,H,CC,PAL,0,10,42.09,42.19,42.14,VG,P,,P,,,,F,P,P,,,,,,F,,,,,,,,F,,,,,,F,F,,,,F,F,,,,P,,F,,,,P,,,,,,P,,F,,P,P,,F,,,P,,,,,,A,,P,P,P,F,,,F,,P,,,F,,P,P,,,P,,P,,P,,A,F,,F,F,,,,,,,F,,,,,f5609a46c106c57f51743db1b9a5ad43
342-U1408A-6H-CC-PAL,342,U1408,A,6,6-CC,H,CC,PAL,0,12,51.68,51.8,51.74,VG,P,,,,,,F,F,F,,,,,,F,,,,P,P,,F,F,,,,,,F,,F,,,F,F,,,,,,,,,,P,,,,,,,,F,,,F,,,,,P,,,,,,A,,P,,,A,,,F,,,,P,F,,,,,,F,P,,,,,,,,P,F,P,,,,,,P,F,,,,dd3e7ac9a73dd466e92d442e8e7984a7
342-U1408A-7H-CC-PAL,342,U1408,A,7,7-CC,H,CC,PAL,0,10,61.89,61.99,61.94,VG,P,,F,,P,,,P,,,,,F,,,,,,P,F,,,,,P,,,,,P,,,,D,P,,,,P,,,,,,,,,,,,,,F,,,,,,,P,P,,,,,,P,,F,,P,P,,,F,,P,,,P,,,F,,,,,,,,,,P,,F,F,,F,,,,,F,,,,,52898fa07fb967118e7aac49a6831983
342-U1408A-8H-CC-PAL,342,U1408,A,8,8-CC,H,CC,PAL,0,10,70.76,70.86,70.81,G,P,,F,,,,P,P,F,,,,,,F,,,,,,,F,F,,P,P,,,P,,,,,A,,,,,P,,,,,P,,,,,,,,,F,,,F,,F,,,,,,,,,A,,,F,P,F,,,F,,F,,,F,,P,,,,F,,,,,,F,F,,P,F,,P,,,,,P,P,,,,f9883013c24308956320f261d52d5cca
342-U1408A-9H-CC-PAL,342,U1408,A,9,9-CC,H,CC,PAL,0,8,78.72,78.8,78.76,VG,P,,,,,,F,,F,,,,P,,F,,,,F,P,,,P,,,P,,,,,,,,F,,,,,F,,,,,P,,,,,,,P,,,,,P,,,,,P,,,,,,F,F,P,P,,A,,,F,,F,,,F,,P,P,,,F,,,,,,,F,,F,D,P,,,,,,,P,,,,680aab51832efa041476c976f725a022
342-U1408A-10H-CC-PAL,342,U1408,A,10,10-CC,H,CC,PAL,0,10,90.13,90.23,90.18,VG,P,,F,,,,,F,,,,,,,F,,,,,F,,,F,,,P,,,,,,,,F,P,,,,P,,F,,,,F,,,,,,,,F,,,F,,,,,P,,,,,,A,,P,,P,,,,,,F,,,P,,,F,,,,,,,P,,,F,,F,A,P,,,,,,P,F,,,,e77e69ec1b81e9adccdaf58d322acf2c
