Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Extra Sample ID Data,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Comments,Preservation,Group Abundance,Catapsydrax dissimilis,Catapsydrax unicavus,Globigerina bulloides,Globigerina ciperoensis,Globigerina parabulloides,Globigerina umbilicata,Globigerinita glutinata,Globigerinita uvula,Globoquadrina duterei,Globorotalia incisa,Globorotalia (Globoconella) praescitula,Globorotalia (Hirsutella) scitula,Globorotalia suterae,Neogloboquadrina atlantica atlantica,Neogloboquadrina atlantica praeatlantica,Neogloboquadrina dutertri subcretacea,Neogloboquadrina pachyderma (sin),Neogloboquadrina pachyderma(dex),Orbulina universa,Turborotalia quinqueloba,pc_fossil_group,physical_constituent_name,pc_fossil_name,pc_abundance_name_mode,pc_preservation_name_average,File Data,eodp_id
323-U1339B-1H-CC-PAL1-FORAM42,323,U1339,B,1,1-CC,H,CC,PAL1,FORAM42,0,0,3.91,3.91,abundant IRD,G [323_PF],A,,,,,,,,,,,,,,,,,P,F,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",D [323_PFs],,,605542573625dd36b526f43a506b6d55
323-U1339B-2H-CC-PAL3-FORAM53,323,U1339,B,2,2-CC,H,CC,PAL3,FORAM53,0,0,13.65,13.65,abundant IRD,G [323_PF],R,,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,e5e00e07b1c20cbb8f57817c8150f0a1
323-U1339B-3H-CC-PAL80-FORAM75,323,U1339,B,3,3-CC,H,CC,PAL80,FORAM75,0,0,23.36,23.36,few IRD,G [323_PF],A,,,,,,,,,,,,,,,,,,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,903397cd830577702f7400ad025900d2
323-U1339B-4H-CC-PAL54-FORAM91,323,U1339,B,4,4-CC,H,CC,PAL54,FORAM91,0,0,32.91,32.91,abundant IRD,G [323_PF],A,,,,,,,,,,,,,,,,,P,F,,P,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,38222835d856f93f0013049ac7211c2d
323-U1339B-5H-CC-PAL79-FORAM52,323,U1339,B,5,5-CC,H,CC,PAL79,FORAM52,0,0,42.17,42.17,"abundant IRD. Test are yellow, Fe coated?",G [323_PF],A,,,,,,P,,,,,,,,,,,P,R,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",D [323_PFs],,,308f9511a986672f3d4afb006d54825a
323-U1339B-6H-CC-PAL53-FORAM2,323,U1339,B,6,6-CC,H,CC,PAL53,FORAM2,0,0,52.23,52.23,few IRD,G [323_PF],P,,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,7170b46fee0dc4c41365d5f424fbc0ac
323-U1339B-7H-CC-PAL94-FORAM7,323,U1339,B,7,7-CC,H,CC,PAL94,FORAM7,0,0,61.5,61.5,few IRD,G [323_PF],F,,,,,,,,,,,,,,,,,P,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",F [323_PFs],,,087406bc8e6ed9bf7e7e948cbbb18402
323-U1339B-8H-CC-PAL33-FORAM45,323,U1339,B,8,8-CC,H,CC,PAL33,FORAM45,0,0,70.85,70.85,abundant IRD,G [323_PF],P,,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,03c1b581a8a4dde1a95b4af02864bdcf
323-U1339B-9H-CC-PAL37-FORAM50,323,U1339,B,9,9-CC,H,CC,PAL37,FORAM50,0,0,80.37,80.37,abundant IRD,G [323_PF],P,,,,,,,,,,,,,,,,,,,,,,,,,,,b046fa0bdbe9353280eb981c0111780d
323-U1339B-10H-CC-PAL18-FORAM41,323,U1339,B,10,10-CC,H,CC,PAL18,FORAM41,0,0,89.88,89.88,dominant IRD. Rock fragment >1cm,G [323_PF],R,,,,,,,,,,,,,,,,,,P,,P,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,1f006d764ef280b240dce155b3230556
323-U1339B-11H-CC-PAL70-FORAM90,323,U1339,B,11,11-CC,H,CC,PAL70,FORAM90,0,0,99.25,99.25,abundant IRD,G [323_PF],P,,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,a4c2659b9e9c3fc729d0bd3a55c23b04
323-U1339B-12H-CC-PAL33-FORAM95,323,U1339,B,12,12-CC,H,CC,PAL33,FORAM95,0,0,108.4,108.4,few IRD,G [323_PF],A,,,,,,,,,,,,,,,,,P,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,425e0d94bfa8e71ad6ccc094b07b9c54
323-U1339B-13H-CC-PAL53-FORAM0,323,U1339,B,13,13-CC,H,CC,PAL53,FORAM0,0,0,108.89,108.89,abundant IRD,G [323_PF],R,,,,,,,,,,,,,,,,,,,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",R [323_PFs],,,f408e951f66faed39d6467380006f849
323-U1339B-14H-CC-PAL61-FORAM5,323,U1339,B,14,14-CC,H,CC,PAL61,FORAM5,0,0,120.47,120.47,abundant IRD,G [323_PF],P,,,,,,,,,,,,,,,,,P,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,31b4f751a783fd26d578d4e930b12c46
323-U1339B-15H-CC-PAL70-FORAM60,323,U1339,B,15,15-CC,H,CC,PAL70,FORAM60,0,0,130.0,130.0,dominant IRD,G [323_PF],P,,,,,,,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",P [323_PFs],,,5253534ca8bfcd4960d3c33f0e8e78a8
323-U1339B-16H-CC-PAL-FORAM80,323,U1339,B,16,16-CC,H,CC,PAL,FORAM80,0,0,139.41,139.41,dominant IRD,G [323_PF],P,,,,,,,,,,,,,,,,,,,,,,,,,,,e0aae1a5da1a4997219781d66e70f739
323-U1339B-17H-CC-PAL-FORAM94,323,U1339,B,17,17-CC,H,CC,PAL,FORAM94,0,0,148.57,148.57,abundant IRD,G [323_PF],A,,,,,,P,,,,,,,,,,,,P,,,Planktonic foraminiferas,fossil,"Globigerina bulloides (d?Orbigny, 1826)",A [323_PFs],,,3ff2c2e7f47ea064f72aedeb4ead2a9f
