Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group Abundance,Circodiscus (Porodiscus) circularis,Cycladophora nakasekoi,Cycladophora sakaii,Lithelius barbatus,Lychnocanoma parallelipes,Acrobotrys tritubus,Acrosphaera spinosa,Actinomma delicatulum,Actinomma leptodermum,Antarctissa denticulata,Anthocyrtidium angulare,Anthocyrtidium ophirense,Bortyostrobus auritus/australis,Botryostrobus aquilonaris,Botryostrobus miralestense,Calocycletta costata,Calocycletta virginis,Ceratospyris borealis,Cycladophora bicornis,Cycladophora davisiana,Cyrtocapsella cornuta,Cyrtocapsella japonica,Cyrtocapsella tetrapera,Dendrospyris?,Diartus hughesi,Diartus petterssoni,Dictyocoryne ontongensis,Dictyocoryne profunda,Dictyophimus bullatus,Dictyophimus hirundo,Didymocyrtis antepenultima,Didymocyrtis avita,Didymocyrtis laticonus,Didymocyrtis mammifera,Didymocyrtis penultima,Didymocyrtis prismatica,Didymocyrtis tetrathalamus,Didymocyrtis tubaria,Didymocyrtis violina,Dorcadospyris alata,Dorcadospyris ateuchus,Dorcadospyris dentata,Dorcadospyris forcipata,Dorcadospyris simplex,Euchitonia furcata/elegans,Euchitonia triangulatum,Eucyrtidium asanoi,Eucyrtidium calvertense,Eucyrtidium diaphanes,Eucyrtidium inflatum,Eucyrtidium matuyamai,Giraffospyris angulata,Heliodiscus astericus,Hexacontium enthacanthus,Hymeniastrum euclidis,Lamprocyclas junonis,Lamprocyrtis hannai,Lamprocyrtis heteroporos,Lamprocyrtis neoheteroporos,Lamprocyrtis nigriniae,Larcopyle buetschlii,Liriospyris reticulata,Lithelius minor,Lithopera neotera,Lithopera renzae,Lithopera thornbergi,Lychnocanoma nipponica magnacornuta,Lychnocanoma sakaii,Octopyle/Tetrapyle Group,Phomostichoartus corbula,Phormostichoartus doliolum,Phormostichoartus fistula,Porodiscus (?) sp. B,Prunopyle antartica,Pterocanium praetextum,Pterocanium prismatium,Pterocanium sp.,Pterocorys group,Pterocorys minythorax,Siphostichartus corona,Sphaeropyle langii,Sphaeropyle robusta,Spongaster berminghami,Spongaster pentas,Spongaster tetras,Spongopyle osculosa,Spongurus (?) sp.,Spongurus cf. elliptica,Spongurus pylomaticus,Stichocorys armata,Stichocorys delmontensis,Stichocorys diploconus,Stichocorys johnsoni,Stichocorys peregrina,Stichocorys wollfii,Stylacontarium acquilonium,Stylatractus universus,Stylochlamydium asteriscus,Thecosphaera akitaensis,Thecosphaera japonica,Theocorys redondoensis,Theocorythium trachelium,Theocorythium vetulum,Tholospyris scaphipes,Comments,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
341-U1418D-2H-CC-PAL-RADS,0,5,12.39,12.44,B. aquilonaris,Botyrostrobus aquilonaris,,M,F,,,,,,,,C,C,,,,,,,,,R,,C,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,F,,,,,,,,R,,,,C,,,,,F,C,R,,,,,,,,,,,,,,,,,,,,,341,U1418,D,2,H,CC,PAL,14d8c593108f4119a64b40cbd3bccb74
341-U1418D-3H-CC-PAL-RADS,0,5,22.09,22.14,B. aquilonaris,Botyrostrobus aquilonaris,,M,R,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,3,H,CC,PAL,5e28ddc8ffb86ee6d454560344c6bd68
341-U1418D-4H-CC-PAL-RADS,0,5,31.04,31.09,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,F,F,,,,,,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,R,,F,,,,,,,A,,R,,,,,,R,,,,,,,,F,,,,F,,,,,F,R,,R,,,,,,,,,,,,,,,C,,,,,341,U1418,D,4,H,CC,PAL,97effcf509d97c8273b3dc7d7f01dfa2
341-U1418D-5H-CC-PAL-RADS,0,5,41.25,41.3,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,5,H,CC,PAL,085bffcd8dec65c3de79df8c815d9e3d
341-U1418D-6H-CC-PAL-RADS,0,5,50.65,50.7,B. aquilonaris,Botyrostrobus aquilonaris,,G,A,,,,,,,,C,F,,,,,,,,,A,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,F,,,,,,,,,,,,,,F,,C,,,,F,,,,,C,F,F,R,,,,,,,,,,,,,,,,,,,,341,U1418,D,6,H,CC,PAL,95fdd18dccab18be07ca58c7011219dc
341-U1418D-7H-CC-PAL-RADS,0,5,60.23,60.28,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,R,,,,,,,,,R,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,7,H,CC,PAL,7b2d074ce5c6af01093019a7faf0986e
341-U1418D-8H-CC-PAL-RADS,0,5,67.94,67.99,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,341,U1418,D,8,H,CC,PAL,3e7c19a873122dc74f9ab27fa8ebe532
341-U1418D-9H-CC-PAL-RADS,0,5,77.08,77.13,B. aquilonaris,Botyrostrobus aquilonaris,"LO Lychnocanoma nipponica sakaii (Morley et Nigrini, 1995)",G,C,,,,,,,,F,C,,,,,A,,,,A,,C,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,F,,,,,,,R,,,,,,,R,,,,,,,R,,F,,,,F,,,,,A,F,F,,,,,,,,,,,,,,,,,,,,,341,U1418,D,9,H,CC,PAL,aa3be806cbdbf45c43f60c2063821f1a
341-U1418D-10H-CC-PAL-RADS,0,5,85.64,85.69,B. aquilonaris,Botyrostrobus aquilonaris,,G,C,,,,,,,,,F,,,,,F,,,,C,,A,,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F,R,,,,,,,,,,,,R,,,,,C,R,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,10,H,CC,PAL,fffa136b8008df0b3efb15c62f5e70ec
341-U1418D-11H-CC-PAL-RADS,0,5,96.66,96.71,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,R,,,,,,,,,F,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,R,,,,,,,R,,,,,,,,,,,,,,,,,,,,,341,U1418,D,11,H,CC,PAL,6ad00150729c4659295816fc5f5b882f
341-U1418D-12H-CC-PAL-RADS,0,5,106.15,106.2,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,12,H,CC,PAL,e1ce78b1e4417f1c8eb28fa74a477af1
341-U1418D-13H-CC-PAL-RADS,0,5,115.25,115.3,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,13,H,CC,PAL,84f7b5e23bd1f804c3978a6f1011058a
341-U1418D-14H-CC-PAL-RADS,0,5,123.76,123.81,B. aquilonaris,Botyrostrobus aquilonaris,,P,R,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341,U1418,D,14,H,CC,PAL,1fb019f3eee439896c296fb44c4e53b5
