Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Zone name (short),Zone name,Datum name,Preservation,Group abundance,Abathomphalus intermedius,Abathomphalus mayaroensis,Archaeoglobigerina australis,Archaeoglobigerina blowi,Archaeoglobigerina bosquensis,Archaeoglobigerina cretacea,Archaeoglobigerina mateola,Contusotruncana contusa,Contusotruncana fornicata,Contusotruncana patelliformis,Contusotruncana plicata,Contusotruncana plummerae,Contusotruncana walfischensis,Dicarinella algeriana,Dicarinella asymetrica,Dicarinella concavata,Falsotruncana maslakovae,Gansserina gansseri,Gansserina wiedenmayeri,Globigerinelloides barri,Globigerinelloides bollii,Globigerinelloides caseyi,Globigerinelloides prairiehillensis,Globigerinelloides ultramicrus,Globotruncana aegyptiaca,Globotruncana arca,Globotruncana bulloides,Globotruncana dupeublei,Globotruncana esnehensis,Globotruncana falsostuarti,Globotruncana hilli,Globotruncana insignis,Globotruncana lapparenti,Globotruncana linneiana,Globotruncana marginata,Globotruncana mariei,Globotruncana morozovae,Globotruncana obliqua,Globotruncana orientalis,Globotruncana rosetta,Globotruncana rugosa,Globotruncana ventricosa,Globotruncanella citae,Globotruncanella havanensis,Globotruncanella minuta,Globotruncanella petaloidea,Globotruncanella pschadae,Globotruncanita angulata,Globotruncanita atlantica,Globotruncanita calcarata,Globotruncanita conica,Globotruncanita elevata,Globotruncanita pettersi,Globotruncanita stuarti,Globotruncanita stuartiformis,Globotruncanita subspinosa,Globoturborotalita rubescens,Guembelitrioides higginsi,Hastigerinoides subdigitata,Hedbergella delrioensis,Hedbergella holmdelensis,Hedbergella monmouthensis,Hedbergella planispira,Hedbergella simplex,Helvetoglobotruncana helvetica,Helvetoglobotruncana praehelvetica,Heterohelix dentata,Heterohelix glabrans,Heterohelix globulosa,Heterohelix labellosa,Heterohelix moremani,Heterohelix navarroensis,Heterohelix palpebra,Heterohelix planata,Heterohelix pulchra,Heterohelix punctulata,Heterohelix rajagopalani,Heterohelix reussi,Heterohelix semicostata,Heterohelix striata,Igorina albeari,Igorina broedermanni,Laeviheterohelix pulchra,Marginotruncana coronata,Marginotruncana pseudolinneiana,Marginotruncana renzi,Marginotruncana schneegansi,Marginotruncana sigali,Marginotruncana sinuosa,Planoglobulina acervulinoides,Planoglobulina carseyae,Planoglobulina multicamerata,Planoglobulina riograndensis,Planomalina buxtorfi,Planorotalites palmerae,Praeglobotruncana delrioensis,Praeglobotruncana gibba,Praeglobotruncana stephani,Praemurica inconstans,Pseudoguembelina costulata,Pseudoguembelina excolata,Pseudoguembelina hariaensis,Pseudoguembelina kempensis,Pseudoguembelina palpebra,Pseudohastigerina danvillensis,Pseudotextularia elegans,Pseudotextularia intermedia,Pseudotextularia nuttalli,Pulleniatina finalis,Racemiguembelina fructicosa,Racemiguembelina powelli,Radotruncana calcarata,Radotruncana subspinosa,Rotalipora appenninica,Rotalipora cushmani,Rotalipora globotruncanoides,Rotalipora greenhornensis,Rotalipora montsalvensis,Rotalipora reicheli,Rotalipora ticinensis,Rugoglobigerina hexacamerata,Rugoglobigerina macrocephala,Rugoglobigerina milamensis,Rugoglobigerina pennyi,Rugoglobigerina pilula,Rugoglobigerina reicheli,Rugoglobigerina rotundata,Rugoglobigerina rugosa,Rugoglobigerina scotti,Rugotruncana subcircumnodifer,Rugotruncana subpennyi,Sphaeroidinella dehiscens,Whiteinella archaeocretacea,Comments,File Data,Ship File Links,Shore File Links,Exp,Site,Hole,Core,Type,Section,A/W,eodp_id
342-U1403B-29X-CC-PAL,0,5,234.63,234.68,,,,G [P15],A,,,,,,R,,R,,,,,F,,,,,,,,,,,P,R,,R,,,,,,,R,,,F,,R,,,R,,F,,,,,,,,,,R,R,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,342,U1403,B,29,X,CC,PAL,ee22e73727b2af100a689a393604da1c
342-U1403B-30X-1-W 72/74-FORAM,0,2,236.72,236.74,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,30,X,1,W,8de1b93263885cf103f5c74807a10553
342-U1403B-30X-2-W 61/63-FORAM,0,2,238.11,238.13,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,30,X,2,W,767b8893d11841c361ad7cd389a0f24c
342-U1403B-30X-3-W 43/45-FORAM,0,2,239.43,239.45,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,30,X,3,W,ac8a95496a75220475f628680edec140
342-U1403B-30X-4-W 29/31-FORAM,0,2,240.79,240.81,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,30,X,4,W,226a307c341bb291738d3fbdb9d7faea
342-U1403B-30X-CC-PAL,0,5,241.59,241.64,,,,G [P15],F,,,,,,R,,,R,,P,,P,,,,,,,,,,,,,R,,,,,,,,R,,,R,,,,,P,,R,,P,,,,,,,,R,,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,342,U1403,B,30,X,CC,PAL,78e507960b34024352955d7c2ca7d69e
342-U1403B-31X-1-W 57/59-FORAM,0,2,246.27,246.29,,,,G [P15],C,,,,,,,,P,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,F,,,,,P,,P,,,,,,,,R,P,,,,,,,,,,,,,,P,P,,,,,,,,,,,,,F,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,31,X,1,W,8bc6923b570ab16cf0856231891a12fb
342-U1403B-31X-2-W 95/97-FORAM,0,2,248.15,248.17,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,31,X,2,W,84fffbbc6bfc4ed7ecefcba3d71b3fbc
342-U1403B-31X-3-W 95/97-FORAM,0,2,249.65,249.67,,,,P [P15],R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P,,,,,,,,,,342,U1403,B,31,X,3,W,ce37faef7383155b1758beb4f4d2cbce
342-U1403B-31X-4-W 89/91-FORAM,0,2,251.09,251.11,,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,U1403,B,31,X,4,W,c500b6c1609dbe61bbe4d49aceab5e25
